"University","CostIState","CostOState"
"Calvary Bible College and Theological Seminary",11886,11886
"University of Michigan - Flint",11334,21654
"California State University Dominguez Hills",6832,18712
"Johnson C. Smith University",18236,18236
"Rollins College",48335,48335
"Mississippi University for Women",6614,18155
"Delaware Valley University",38000,38000
"Georgia College and State University",9346,28060
"University of Georgia",11818,30392
"St. Norbert College",36593,36593
"Lewis University",31250,31250
"St. Ambrose University",30016,30016
"Pfeiffer University",29574,29574
"University of Illinois at Chicago",13704,26560
"Missouri Western State University",6652,13080
"University of Illinois at Urbana-Champaign",15868,31988
"Brigham Young University - Hawaii",5400,5400
"California College of the Arts",47266,47266
"North Park University",27990,27990
"Missouri Baptist University",26020,26020
"University of Mount Union",29890,29890
"Missouri Valley College",20200,20200
"Miami University",14958,34210
"University of Minnesota, Duluth",13344,18462
"University of Minnesota, Twin Cities",14417,26603
"Ashford University",11248,11248
"MacMurray College",NA,NA
"Minnesota State University Mankato",8161,16212
"Malone University",29900,29900
"Maharishi University of Management",27530,27530
"Grinnell College",50714,50714
"Greenville College",26356,26356
"Indiana University Northwest",7207,19038
"Illinois College",32140,32140
"Indiana University Southeast",7207,19038
"Hamline University",40822,40822
"Lincoln University",7632,14172
"Illinois Institute of Technology",45534,45534
"Edgewood College",28500,28500
"Indiana University - Purdue University Indianapolis",9334,29806
"Harris-Stowe State University",5220,9853
"Ohio Dominican University",31080,31080
"Loras College",32886,32886
"Juilliard School",43420,43420
"Nichols College",34000,34000
"Kean University",12107,19009
"Ithaca College",42884,42884
"Eugene Lang College The New School for Liberal Arts",45928,45928
"Lyndon State College",11730,23898
"Keene State College",13868,22614
"Graceland University",28110,28110
"Keuka College",30946,30946
"Ferris State University",12180,18270
"Evangel University",22745,22745
"Elizabeth City State University",4985,18129
"Haverford College",52754,52754
"Johnson State College",11730,24690
"Howard University",25997,25997
"Western New Mexico University",6824,15231
"Duke University",53500,53500
"Fort Valley State University",6664,19740
"East Carolina University",6972,23249
"Eastern Mennonite University",35800,35800
"Hampton University",25442,25442
"Faulkner University",20970,20970
"Grambling State University",7443,16466
"Florida Memorial University",15536,15536
"Goldey-Beacom College",23850,23850
"Harding University",19190,19190
"Fayetteville State University",5183,16791
"Florida Agricultural and Mechanical University",5827,17768
"George Mason University",11924,34370
"Emory University",49392,49392
"Florida Southern College",34774,34774
"Guilford College",34215,34215
"New York Institute of Technology",35870,35870
"Freed-Hardeman University",21950,21950
"Gallaudet University",16558,16558
"University of New Mexico",7146,22037
"Louisiana State University",11374,28051
"University of Miami",48484,48484
"Jackson State University",7621,18314
"Kentucky State University",8184,19638
"Lane College",10690,10690
"University of Maryland Baltimore County",11518,25654
"Livingstone College",18154,18154
"Morris College",13458,13458
"Maryland Institute College of Art",46990,46990
"Milligan College",32500,32500
"Mississippi Valley State University",6422,6422
"Millsaps College",38930,38930
"Mount St. Mary's University",40550,40550
"Maryville College",34196,34196
"Rowan University",13422,21890
"Mississippi College",17392,17392
"University of Montevallo",12400,25030
"Oral Roberts University",26792,26792
"Goddard College",16260,16260
"University of Nebraska - Kearney",7326,14106
"California Institute of the Arts",47446,47446
"Brigham Young University",5460,5460
"Mercer University",36000,36000
"California State University Stanislaus",7038,18918
"Baylor University",43970,43970
"Southern University at New Orleans",6743,15644
"California State University San Bernardino",6871,18751
"Spalding University",24000,24000
"California State Polytechnic University, Pomona",7297,19177
"Norfolk State University",9036,21238
"California State University Los Angeles",6632,18512
"Felician College",33750,33750
"Boise State University",7326,22642
"California State University Chico",7348,19228
"Benedictine College",28480,28480
"Nicholls State University",7916,9009
"University of Louisiana at Lafayette",10592,24320
"Southern University and Agricultural and Mechanical College",8666,16016
"Meredith College",35916,35916
"Fairleigh Dickinson University - Metropolitan Campus",39446,39446
"University of California, Berkeley",13928,41942
"University of California, San Diego",14028,42042
"North Carolina Central University",6282,18989
"University of California, Los Angeles",13749,41763
"New Mexico State University",7122,22701
"Curry College",38596,38596
"Arizona State University",10792,27372
"Lubbock Christian University",21794,21794
"Dallas Baptist University",27480,27480
"Idaho State University",7166,21942
"University of Hawaii at Manoa",11732,33764
"Hastings College",29200,29200
"University of Houston - Clear Lake",8188,23668
"Huston-Tillotson University",14346,14346
"University of Hawaii at Hilo",7662,20622
"Howard Payne University",27690,27690
"Lamar University",10111,22561
"John F. Kennedy University",17721,17721
"Colorado Mesa University",8972,21782
"MidAmerica Nazarene University",29670,29670
"University of Nebraska - Lincoln",8901,24201
"Langston University",5950,13299
"Hope International University",31800,31800
"Northern Arizona University",11059,24841
"Mills College",46236,46236
"Minot State University",6810,6810
"Mount St. Mary's University",39608,39608
"Nebraska Wesleyan University",32774,32774
"National University",16350,16350
"Northern State University",8280,11209
"Pepperdine University",51992,51992
"University of Northern Colorado",9545,21131
"Montana State University - Northern",5861,18061
"Peru State College",7226,7256
"University of Redlands",48072,48072
"Northwest Nazarene University",29000,29000
"Pacific Union College",29469,29469
"Pitzer College",52236,52236
"Occidental College",52838,52838
"San Francisco Art Institute",44778,44778
"St. John's College",52320,52320
"Seattle Pacific University",40893,40893
"Samuel Merritt University",45491,45491
"University of San Francisco",46250,46250
"Tarleton State University",8903,20886
"University of South Dakota",8772,12020
"Vanguard University of Southern California",32430,32430
"University of Southern California",54323,54323
"Texas Southern University",9173,21623
"Woodbury University",38460,38460
"Texas Woman's University",9366,21816
"Whittier College",46310,46310
"Southwestern College",28750,28750
"Colorado State University - Pueblo",10090,25548
"Utah State University",7174,20726
"Westminster College",33040,33040
"Southern Methodist University",52498,52498
"Fordham University",50986,50986
"Baruch College (City University of New York)",7061,17931
"Concordia College New York",31600,31600
"Lehman College (City University of New York)",7010,17880
"Wichita State University",8094,17052
"Covenant College",33170,33170
"Kentucky Christian University",19256,19256
"Dickinson College",52955,52955
"Tabor College",27220,27220
"Golden Gate University",15584,15584
"McPherson College",28569,28569
"Texas A&M University - Commerce",8723,21173
"Concordia University Irvine",34100,34100
"Eastern Washington University",7085,23837
"Fresno Pacific University",30458,30458
"Queens College (City University of New York)",7138,18008
"Doane College",32250,32250
"Southern New Hampshire University",31136,31136
"University of the Sacred Heart",7200,7200
"Saint Mary's College of California",45686,45686
"Pontifical Catholic University of Puerto Rico",5370,5370
"University of Texas at El Paso",7651,21396
"University of Puerto Rico at Bayamon",2022,2022
"Franklin & Marshall College",54580,54580
"Universidad Adventista de las Antillas",6570,6570
"University of Puerto Rico at Cayey",NA,NA
"Lincoln University",11379,16389
"University of Puerto Rico at Ponce",2048,2048
"Jacksonville University",35260,35260
"University of Puerto Rico at Arecibo",2048,2048
"California Baptist University",32566,32566
"University of Puerto Rico at Mayaguez",NA,NA
"Georgetown University",52300,52300
"Ball State University",9774,25942
"Aquinas College",31244,31244
"Ashland University",20700,20700
"Alverno College",28277,28277
"Augsburg College",37615,37615
"Baldwin Wallace University",31668,31668
"Adrian College",36010,36010
"Canisius College",36454,36454
"Lewis & Clark College",48988,48988
"Murray State University",8340,22728
"Carroll College",34480,34480
"Curtis Institute of Music",NA,NA
"New Jersey Institute of Technology",16898,31918
"Niagara University",31950,31950
"Nyack College",25350,25350
"Elon University",34273,34273
"Emory & Henry College",35050,35050
"Ferrum College",33025,33025
"Fisk University",21480,21480
"Georgia State University",10858,29432
"University of Colorado Boulder",12086,36220
"University of Dallas",38716,38716
"Friends University",27565,27565
"Five Towns College",19380,19380
"Edward Waters College",13725,13725
"Hellenic College ",22490,22490
"Judson College",17896,17896
"Kansas City Art Institute",37800,37800
"Philander Smith College",12414,12414
"Empire State College",7185,16835
"Cumberland University",21810,21810
"Lourdes University",21540,21540
"Thomas Edison State College",7300,9820
"Union Institute & University",16076,16076
"University of Pittsburgh at Greensburg",13870,25114
"Loma Linda University",33932,33932
"Concordia University Texas",30600,30600
"Athens State University",6690,12630
"Brewton-Parker College",18190,18190
"Life University",11715,11715
"Rush University",24630,24630
"Indiana University East",7207,19038
"Louisiana State University Health Sciences Center",6923,13705
"Bay Path College",33557,33557
"Endicott College",32154,32154
"Baker College of Flint",11250,11250
"University of Nebraska Medical Center",NA,NA
"Granite State College",9435,10575
"Beth Medrash Govoha",20788,20788
"Vaughn College of Aeronautics and Technology",24710,24710
"Metropolitan College of New York",19180,19180
"SUNY Downstate Medical Center",7074,16924
"Chowan University",24480,24480
"Lees-McRae College",26198,26198
"Oregon Health & Science University",18765,32985
"Anderson University",26920,26920
"Medical University of South Carolina",15168,23182
"Oglala Lakota College",3284,3284
"Texas A&M University - Texarkana",7635,21900
"University of Houston - Victoria",7627,20077
"University of Texas Medical Branch",7422,19954
"City University of Seattle",NA,NA
"Midway College",23850,23850
"Clayton State University",6410,19486
"Shawnee State University",7460,13268
"Wisconsin Lutheran College",29140,29140
"Humphreys College",14004,14004
"Hilbert College",21800,21800
"Champlain College",39818,39818
"Art Institute of Portland",17316,17316
"Lasell College",34600,34600
"Mount Aloysius College",22430,22430
"Alfred State College",8327,17977
"Charter Oak State College",9771,12591
"Martin University",16410,16410
"Montserrat College of Art",32000,32000
"Chamberlain College of Nursing",19500,19500
"Montreat College",25730,25730
"Valley Forge University",21271,21271
"Presentation College",19450,19450
"Sinte Gleska University",3700,3700
"Criswell College",12138,12138
"Southwestern Christian College",8074,8074
"Arkansas Baptist College",8760,8760
"Central Baptist College",15750,15750
"Life Pacific College",14884,14884
"Lincoln University",10800,10800
"Emmanuel College",19710,19710
"Lincoln Christian University",13020,13020
"Great Lakes Christian College",15550,15550
"Research College of Nursing",36600,36600
"Grace University",23030,23030
"Piedmont International University",10100,10100
"Trinity Bible College",16040,16040
"Mid-America Christian University",17830,17830
"Allen University",13040,13040
"University of Minnesota, Crookston",12202,12202
"State University of New York College of Agriculture and Technology at Cobleskill",NA,NA
"Art Institute of Fort Lauderdale",22105,22105
"Thomas University",16715,16715
"University of Maryland University College",7386,12426
"University of Mississippi Medical Center",8268,24246
"California State University San Marcos",7648,19528
"O'More College of Design",29880,29880
"Concordia College Alabama",10120,10120
"York College",18760,18760
"Design Institute of San Diego",22510,22510
"Holy Apostles College and Seminary",9670,9670
"Rabbinical College of America",11100,11100
"Talmudical Academy of New Jersey",13000,13000
"The Jewish Theological Seminary",21740,21740
"Excelsior College",NA,NA
"Heritage Christian University",11232,11232
"Amridge University",7180,7180
"Johnson University Florida",14920,14920
"St. John Vianney College Seminary",14760,14760
"Talmudic University",13250,13250
"Point University",20600,20600
"Reinhardt University",22422,22422
"Clear Creek Baptist Bible College",9020,9020
"Kentucky Mountain Bible College",7760,7760
"Sullivan University",NA,NA
"Ner Israel Rabbinical College",11900,11900
"Southeastern Baptist College",6550,6550
"John Wesley University",13330,13330
"Mid-Atlantic Christian University",13200,13200
"North Greenville University",18750,18750
"American Baptist College",11894,11894
"Martin Methodist College",23800,23800
"Appalachian Bible College",14290,14290
"Ohio Valley University",21100,21100
"Blessing-Reiman College of Nursing",24750,24750
"Saint Anthony College of Nursing",25342,25342
"Saint Francis Medical Center College of Nursing",21224,21224
"Resurrection University",26134,26134
"Divine Word College",13030,13030
"Emmaus Bible College",17520,17520
"Grace Bible College",19650,19650
"Kuyper College",21090,21090
"Sacred Heart Major Seminary",18706,18706
"Oak Hills Christian College",17314,17314
"Central Christian College of the Bible",NA,NA
"St. Louis Christian College",11025,11025
"Saint Luke's College of Health Sciences",15674,15674
"Ohio Christian University",20240,20240
"God's Bible School and College",7040,7040
"Mount Carmel College of Nursing",13107,13107
"Ozark Christian College",11980,11980
"Alaska Bible College",9300,9300
"Arizona Christian University",4680,4680
"William Jessup University",29950,29950
"Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary",14300,14300
"Naropa University",31790,31790
"Nazarene Bible College",14620,14620
"Southwestern Christian University",16950,16950
"New Hope Christian College",14880,14880
"Arlington Baptist College",12650,12650
"Baptist Missionary Association Theological Seminary",5650,5650
"Dallas Christian College",17620,17620
"Bastyr University",25455,25455
"Boise Bible College",12080,12080
"Barclay College",18320,18320
"Central Christian College of Kansas",25760,25760
"Salish Kootenai College",6279,11463
"Nebraska Christian College",16830,16830
"Nebraska Methodist College",17720,17720
"Becker College",38250,38250
"Johnson & Wales University",31508,31508
"William Peace University",28700,28700
"Robert Morris University",27180,27180
"Maranatha Baptist Bible College",14910,14910
"Goldfarb School of Nursing at Barnes-Jewish College",20188,20188
"Columbia College of Nursing",28900,28900
"Bellin College",21513,21513
"Davis College",16800,16800
"Allen College",20243,20243
"Lakeview College of Nursing",16160,16160
"Yehiva Gedolah of Greater Detroit",6800,6800
"Pennsylvania College of Technology",16350,23280
"The Art Institute of Atlanta",NA,NA
"Caribbean University",6380,6380
"Universidad del Este",5820,5820
"University of Puerto Rico, Medical Sciences Campus",2196,2196
"Inter American University of Puerto Rico - Aguadilla Campus",6262,6262
"Inter American University of Puerto Rico - Arecibo Campus",6180,6180
"Inter American University of Puerto Rico - Barranquitas Campus",6262,6262
"Inter American University of Puerto Rico - Bayamon Campus",6180,6180
"Inter American University of Puerto Rico - Fajardo Campus",6180,6180
"Inter American University of Puerto Rico - Guayama Campus",6452,6452
"Inter American University of Puerto Rico - Ponce Campus",6180,6180
"Universidad del Turabo",5820,5820
"Universidad Metropolitana",7050,7050
"Columbia University, School of General Studies",55478,55478
"Aquinas College",22850,22850
"Interior Designers Institute",NA,NA
"Rutgers, The State University of New Jersey - Camden",14501,29924
"Rutgers, The State University of New Jersey",14638,30579
"Rutgers, The State University of New Jersey - Newark",14085,30026
"Bridgewater College",33820,33820
"Campbell University",31190,31190
"Campbellsville University",25400,25400
"Capitol College",24788,24788
"Carson-Newman University",27400,27400
"Catawba College",29920,29920
"Claflin University",16302,16302
"Catholic University of America",44060,44060
"Centenary College of Louisiana",35900,35900
"University of Central Arkansas",8524,15047
"Southern Wesleyan University",24700,24700
"University of Central Florida",6368,22467
"Centre College",40500,40500
"College of Charleston",12318,30706
"University of Charleston",30400,30400
"Christian Brothers University",31860,31860
"Christopher Newport University",13654,25450
"The Citadel",14348,36111
"Clark Atlanta University",23082,23082
"Clemson University",14712,35654
"Coker College",28464,28464
"Columbia College",19500,19500
"Columbia International University",22390,22390
"Washington Adventist University",23400,23400
"Columbus State University",7200,20682
"Concord University",7574,16654
"Converse College",18030,18030
"Coppin State University",6536,12684
"University of the Cumberlands",23000,23000
"Lipscomb University",30932,30932
"Agnes Scott College",39960,39960
"Eckerd College",43044,43044
"Francis Marion University",10742,20918
"Furman University",48348,48348
"Georgia Institute of Technology",12418,33014
"Glenville State College",7342,16598
"Hampden-Sydney College",43940,43940
"High Point University",34005,34005
"Hollins University",38285,38285
"Huntingdon College",26400,26400
"Kentucky Wesleyan College",26080,26080
"King College",28572,28572
"LaGrange College",29450,29450
"Lee University",16730,16730
"LeMoyne-Owen College",10880,10880
"Limestone College",25150,25150
"Longwood University",12720,27660
"Louisiana College",16000,16000
"Mars Hill University",31804,31804
"McNeese State University",7310,18386
"Methodist University",32860,32860
"DeVry University - Atlanta",17512,17512
"Florida Atlantic University",6039,21595
"Welch College",18458,18458
"Frostburg State University",8914,22262
"Johnson University",14920,14920
"Georgia Southwestern State University",6332,19408
"Miles College",11604,11604
"Georgia Southern University",7422,20904
"Kennesaw State University",7432,21158
"Georgia Regents University",10718,29756
"Louisiana State University Shreveport",7055,13632
"Hendrix College",44070,44070
"Hood College",37960,37960
"Johns Hopkins University",52670,52670
"University of Mary Washington",12128,27374
"University of West Alabama",9204,16818
"University of North Carolina School of the Arts",9211,25081
"Tennessee Wesleyan College",23800,23800
"University of North Alabama",10370,18680
"Morehouse College",27278,27278
"Lenoir-Rhyne University",35350,35350
"Lander University",10700,20300
"North Carolina A&T State University",6419,19309
"Louisiana Tech University",9255,30297
"New College of Florida",6916,29944
"University of New Orleans",8694,13530
"Morgan State University",7767,17833
"Marymount University",30426,30426
"University of Maryland",10399,33606
"Loyola University New Orleans",39242,39242
"Lincoln Memorial University",21410,21410
"University of Memphis",9700,21413
"Morehead State University",8956,13426
"Liberty University",24304,24304
"University of Kentucky",11772,27856
"Middle Tennessee State University",8948,27578
"Mississippi State University",8318,22358
"Lynchburg College",37690,37690
"University of Mississippi",8300,23564
"George Washington University",53518,53518
"Embry-Riddle Aeronautical University - Daytona Beach",36536,36536
"Talladega College",12510,12510
"University of Tampa",28426,28426
"Tennessee State University",7776,21132
"Tennessee Technological University",8873,25529
"University of Tennessee at Chattanooga",8664,26558
"University of Tennessee",12970,31160
"University of Tennessee at Martin",9236,14996
"Thomas More College",30270,30270
"Toccoa Falls College",22104,22104
"Tougaloo College",10607,10607
"Towson University",9694,22140
"Transylvania University",37290,37290
"Trevecca Nazarene University",25100,25100
"Trinity Washington University",23690,23690
"Troy University",12155,22267
"Tulane University",52960,52960
"Tusculum College",23700,23700
"Tuskegee University",22170,22170
"Union College",26080,26080
"Union University",31510,31510
"United States Naval Academy",NA,NA
"Valdosta State University",7476,20958
"Vanderbilt University",47664,47664
"Stevenson University",35490,35490
"University of the Virgin Islands",5235,14496
"Virginia Commonwealth University",13570,32942
"Virginia Military Institute",18214,43902
"Virginia Polytechnic Institute and State University",13230,30410
"Virginia State University",8726,18841
"Virginia Union University",16772,16772
"University of Virginia",16781,46634
"University of Virginia's College at Wise",9825,26385
"Virginia Wesleyan College",36660,36660
"Voorhees College",12630,12630
"Wake Forest University",51400,51400
"Warner University",21116,21116
"Warren Wilson College",35244,35244
"Washington College",44700,44700
"Washington and Lee University",50170,50170
"Webber International University",25358,25358
"Wesley College",26406,26406
"Wesleyan College",22370,22370
"University of West Florida",6569,19451
"University of West Georgia",7292,20774
"West Liberty University",7380,15020
"West Virginia University Institute of Technology",6960,17544
"West Virginia State University",7165,15572
"West Virginia University",8376,23616
"West Virginia Wesleyan College",30752,30752
"Western Carolina University",7191,17584
"Western Kentucky University",10202,25512
"College of William and Mary",22044,43099
"Wilmington University",10940,10940
"Wingate University",31120,31120
"Winston-Salem State University",5850,16097
"Winthrop University",15220,29136
"North Carolina State University",9058,27406
"University of North Carolina at Asheville",7002,23725
"University of North Carolina at Chapel Hill",9005,34588
"University of North Carolina at Charlotte",7023,20457
"University of North Carolina at Greensboro",7137,22296
"University of North Carolina at Wilmington",7048,21064
"North Carolina Wesleyan College",30150,30150
"University of North Florida",6394,20112
"University of North Georgia",7336,21148
"University of Louisiana at Monroe",8470,20568
"Northern Kentucky University",9744,19104
"Northwestern State University of Louisiana",7880,18668
"Notre Dame of Maryland University",36070,36070
"Nova Southeastern University",29940,29940
"Oakwood University",16720,16720
"Oglethorpe University",36680,36680
"Old Dominion University",10350,28200
"Ouachita Baptist University",25870,25870
"Our Lady of Holy Cross College",16100,16100
"University of the Ozarks",23750,23750
"Paine College",14224,14224
"Palm Beach Atlantic University",29950,29950
"University of North Carolina at Pembroke",5956,17547
"Piedmont College",24464,24464
"University of Pikeville",20350,20350
"Presbyterian College",37842,37842
"Queens University of Charlotte",35202,35202
"Radford University",10627,22262
"Randolph-Macon College",40100,40100
"Randolph College",38155,38155
"Rust College",9700,9700
"Rhodes College",46504,46504
"University of Richmond",50910,50910
"Ringling College of Art and Design",45100,45100
"Roanoke College",42694,42694
"St. Andrews University",25874,25874
"St. Augustine's University",17890,17890
"St. John's College",51670,51670
"Saint Joseph Seminary College",17490,17490
"Saint Leo University",22280,22280
"Salem College",28566,28566
"Salisbury University",9582,18622
"Samford University",30490,30490
"Savannah State University",6734,19810
"University of South Alabama",9390,18780
"South Carolina State University",10740,21120
"Coastal Carolina University",11200,25872
"University of South Carolina Upstate",11520,22848
"University of South Florida",6410,17324
"Southeastern Louisiana University",8153,20629
"Southeastern University",24160,24160
"Southern Adventist University",21550,21550
"Salem International University",12920,12920
"St. Mary's College of Maryland",14496,29947
"Spring Hill College",37584,37584
"University of South Carolina Aiken",10502,20702
"Savannah College of Art and Design",35910,35910
"University of Southern Mississippi",7964,9964
"Spelman College",28431,28431
"Sweet Briar College",37155,37155
"Stetson University",44480,44480
"St. Thomas University",31550,31550
"Shaw University",16480,16480
"Shenandoah University",31910,31910
"Shorter University",21670,21670
"University of South Carolina",12262,32362
"Sewanee: University of the South",45120,45120
"Delaware State University",7352,16138
"University of Delaware",13160,33150
"Delta State University",6859,6859
"Dillard University",18099,18099
"University of the District of Columbia",8060,15956
"Emporia State University",6345,19918
"Saint Martin's University",35656,35656
"Oklahoma State University",8738,23776
"University of St. Thomas",32560,32560
"Pomona College",51075,51075
"Pacific Lutheran University",41092,41092
"Northwestern Oklahoma State University",6706,13823
"Midwestern State University",8485,10435
"Jarvis Christian College",11720,11720
"Hardin-Simmons University",27440,27440
"Multnomah University",24680,24680
"California State University Fullerton",6830,18710
"Baker University",28960,28960
"University of Colorado Denver",11258,31448
"Northeastern State University",6334,14022
"Youngstown State University",8397,14397
"Xavier University",37230,37230
"Wright State University",8730,17608
"College of Wooster",48600,48600
"Wittenberg University",38730,38730
"University of Wisconsin - Whitewater",7662,16235
"University of Wisconsin - Superior",8109,15682
"University of Wisconsin - Stout",9456,17423
"University of Wisconsin - Stevens Point",8031,16498
"University of Wisconsin - River Falls",7850,15425
"University of Wisconsin - Platteville",7381,15231
"University of Wisconsin - Parkside",7529,15518
"University of Wisconsin - Oshkosh",7587,15160
"University of Wisconsin - Milwaukee",11008,22288
"University of Wisconsin - Madison",10533,34783
"University of Wisconsin - La Crosse",8922,17591
"University of Wisconsin - Green Bay",7878,15728
"University of Wisconsin - Eau Claire",8816,16736
"Winona State University",9381,15302
"Wilmington College",25500,25500
"William Woods University",23260,23260
"William Penn University",25000,25000
"William Jewell College",33620,33620
"Wilberforce University",13250,13250
"Wheaton College",35190,35190
"Westminster College",25940,25940
"Western Michigan University",11943,14699
"Western Illinois University",11267,15538
"Webster University",27225,27225
"Wayne State University",12979,27453
"Washington University in St. Louis",51533,51533
"Wartburg College",39730,39730
"Walsh College",14050,14050
"Walsh University",29150,29150
"Wabash College",42250,42250
"Viterbo University",26920,26920
"VanderCook College of Music",28344,28344
"Valparaiso University",38760,38760
"Urbana University",22452,22452
"Upper Iowa University",29600,29600
"Trine University",31540,31540
"Trinity International University",30750,30750
"Trinity Christian College",28675,28675
"University of Toledo",9975,19313
"Tiffin University",23850,23850
"Taylor University",32885,32885
"Franciscan University of Steubenville",26430,26430
"Stephens College",30344,30344
"Spring Arbor University",27750,27750
"Southwest Minnesota State University",8619,8619
"Missouri State University",7306,14746
"Southwest Baptist University",23290,23290
"University of Southern Indiana",7900,18556
"Southern Illinois University Edwardsville",11491,25118
"Southern Illinois University Carbondale",13936,13936
"Southeast Missouri State University",7185,12720
"Simpson College",37663,37663
"Silver Lake College of the Holy Family",27360,27360
"Siena Heights University",25932,25932
"University of St. Thomas",41133,41133
"Gustavus Adolphus College",44080,44080
"University of Indianapolis",28390,28390
"Pontifical College Josephinum",22750,22750
"Purdue University",9992,28794
"St. Olaf College",46000,46000
"University of Illinois at Springfield",11613,21138
"Faith Baptist Bible College and Theological Seminary",16766,16766
"Franklin College",30920,30920
"Goshen College",33200,33200
"Hillsdale College",26742,26742
"Hope College",32780,32780
"Kalamazoo College",46840,46840
"Lake Forest College",45548,45548
"Lawrence University",46101,46101
"Madonna University",20700,20700
"Indiana State University",8916,19452
"Huntington University",25540,25540
"University of Iowa",8964,30608
"Marquette University",39900,39900
"Michigan Technological University",15074,32318
"Milwaukee School of Engineering",39429,39429
"Michigan State University",14460,39405
"University of Missouri - Columbia",9787,26506
"Moody Bible Institute",12960,12960
"University of Notre Dame",51505,51505
"University of Missouri - St. Louis",10275,27327
"Northwest Missouri State University",9572,16136
"Oakland University",12420,23873
"Oberlin College",53460,53460
"Truman State University",7656,14440
"Eastern Illinois University",11678,13868
"Elmhurst College",36570,36570
"University of Findlay",33320,33320
"Hiram College",34300,34300
"Iowa State University",8636,22472
"Otterbein University",31874,31874
"North Central University",23490,23490
"Morningside College",30390,30390
"Lake Superior State University",11600,11600
"Macalester College",52464,52464
"Ohio Northern University",30990,30990
"University of Rio Grande",26130,26130
"St. Catherine University",38349,38349
"Purdue University Northwest",7581,17129
"Rockhurst University",36670,36670
"Saint John's University",43356,43356
"Quincy University",27770,27770
"Saginaw Valley State University",9819,23063
"University of St. Francis",29430,29430
"Saint Louis University",42166,42166
"Saint Mary's University of Minnesota",33560,33560
"Park University",12370,12370
"Northwestern University",52678,52678
"College of the Ozarks",19200,19200
"Olivet Nazarene University",34940,34940
"Olivet College",26695,26695
"Ohio State University",10591,29695
"Henderson State University",8311,9961
"James Madison University",10830,27194
"Jacksonville State University",9975,19245
"John Brown University",26144,26144
"Northland College",35157,35157
"University of Massachusetts Lowell",14800,31865
"Goucher College",43440,43440
"LIU Brooklyn",36978,36978
"University of New England",36530,36530
"American Academy of Art",33100,33100
"Art Institute of Phoenix",NA,NA
"Hamilton Technical College",NA,NA
"Bacone College",14850,14850
"Global University",24958,24958
"Beth Hatalmud Rabbinical College",11750,11750
"Columbia College",NA,NA
"Independence University",NA,NA
"California State University Monterey Bay",7048,18928
"Carlos Albizu University - Miami",10294,10294
"Central Yeshiva Tomchei Tmimim-Lubavitch",7700,7700
"Rogers State University",6870,15210
"Jefferson College of Health Sciences",25850,25850
"Dalton State College",4212,12634
"EDP University of Puerto Rico",NA,NA
"Escuela de Artes Plasticas de Puerto Rico",4002,6702
"Grantham University",6540,6540
"Haskell Indian Nations University",NA,NA
"Hebrew Theological College",12430,12430
"Hobe Sound Bible College",6490,6490
"Holy Trinity Orthodox Seminary",7450,7450
"Kehilath Yakov Rabbinical Seminary",9700,9700
"Machzikei Hadath Rabbinical College",11500,11500
"Northeast Catholic College",NA,NA
"Mesivta Torah Vodaath Seminary",10000,10000
"Midstate College",16230,16230
"Mirrer Yeshiva",7260,7260
"Mount Angel Seminary",15912,15912
"National American University - Rio Rancho",16200,16200
"New Orleans Baptist Theological Seminary - Leavell College",8175,8175
"Ohio University Southern",4872,6718
"Ohio University Lancaster",5060,9596
"Ohio University Zanesville",5002,9538
"Ohio University Eastern",4806,6718
"Ohr Somayach/Joseph Tanenbaum Educational Center",9000,9000
"Oregon College of Art & Craft",33160,33160
"Our Lady of the Lake College",15583,15583
"Peabody Conservatory of Johns Hopkins University",47863,47863
"Rabbinical Academy Mesivta Rabbi Chaim Berlin",12450,12450
"Rabbinical College Bobover Yeshiva B'nei Zion",7750,7750
"Rabbinical College of Long Island",8800,8800
"Rabbinical College of Telshe",10800,10800
"St. Augustine College",16500,16500
"St. Charles Borromeo Seminary, Overbrook",20655,20655
"Talmudical Institute of Upstate New York",5800,5800
"Talmudical Seminary Oholei Torah",9300,9300
"Talmudical Yeshiva of Philadelphia",8900,8900
"Telshe Yeshiva - Chicago",15000,15000
"Texas College",10008,10008
"United Talmudical Seminary",13800,13800
"University of Puerto Rico at Aguadilla",2048,2048
"University of Puerto Rico at Utuado",2053,2053
"University of South Carolina Beaufort",10422,21198
"Yeshiva Beth Moshe",9000,9000
"Yeshiva Derech Chaim",11800,11800
"Yeshiva of Nitra",8500,8500
"Yeshiva Shaar Hatorah",17250,17250
"Yeshiva Zichron Moshe",NA,NA
"Southwest University of Visual Arts",22944,22944
"Atlantic University College",6870,6870
"DeVry University - Westminster",17512,17512
"Pennsylvania College of Art & Design",25000,25000
"Mercy College of Health Sciences",17600,17600
"College of Biblical Studies - Houston",8590,8590
"Bethesda University of California",8050,8050
"New Charter University",NA,NA
"Cox College",14010,14010
"Western Governors University",6070,6070
"Northcentral University",10680,10680
"Columbia Southern University",6635,6635
"Northpoint Bible College",12055,12055
"DeVry University - Miramar",17512,17512
"DeVry University - Ft. Washington",NA,NA
"The King's University",14400,14400
"Beacon College",39188,39188
"The King's College",35400,35400
"Neumont University",24750,24750
"Soka University of America",30106,30106
"Argosy University, Chicago",NA,NA
"Regent University",17450,17450
"University of Management and Technology",9450,9450
"Baptist University of the Americas",7800,7800
