"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"franklin pierce university","private",1752,"minimally difficult",0.81,6506,"rindge","NH"
"hamilton college","private",1879,"very difficult",0.26,5230,"clinton","NY"
"hampshire college","private",1321,"moderately difficult",0.64,2347,"amherst","MA"
"university of hartford","private",5150,"moderately difficult",0.72,15526,"west hartford","CT"
"hobart & william smith colleges","private",2262,"very difficult",0.6,4614,"geneva","NY"
"hofstra university","private",6899,"moderately difficult",0.62,28617,"hempstead","NY"
"holy family university","private",1950,"minimally difficult",0.68,1441,"philadelphia","PA"
"immaculata university","private",1555,"moderately difficult",0.82,1582,"immaculata","PA"
"grand valley state university","public",22209,"moderately difficult",0.82,17104,"allendale","MI"
"indiana university purdue university fort wayne","public",12674,"minimally difficult",0.91,3386,"fort wayne","IN"
"indiana university of pennsylvania","public",10618,"minimally difficult",0.92,8943,"indiana","PA"
"kutztown university of pennsylvania","public",7718,"moderately difficult",0.8,7668,"kutztown","PA"
"la roche college","private",1406,"minimally difficult",0.92,1320,"pittsburgh","PA"
"la salle university","private",3652,"moderately difficult",0.77,5673,"philadelphia","PA"
"lebanon valley college","private",1712,"moderately difficult",0.76,2561,"annville","PA"
"le moyne college","private",2897,"moderately difficult",0.65,6832,"syracuse","NY"
"lesley university","private",1929,"",0.64,3386,"cambridge","MA"
"lock haven university of pennsylvania","public",3845,"moderately difficult",0.88,3750,"lock haven","PA"
"lycoming college","private",1272,"moderately difficult",0.7,1876,"williamsport","PA"
"new england conservatory of music","private",409,"very difficult",0.32,1170,"boston","MA"
"university of new hampshire","public",12871,"moderately difficult",0.76,20203,"durham","NH"
"university of new haven","private",4936,"moderately difficult",0.81,10720,"west haven","CT"
"college of new rochelle","private",936,"moderately difficult",0.32,1727,"new rochelle","NY"
"new york university","private",24985,"very difficult",0.35,50804,"new york","NY"
"massachusetts college of liberal arts","public",1444,"moderately difficult",0.77,2013,"north adams","MA"
"norwich university","private",2649,"moderately difficult",0.66,3138,"northfield","VT"
"iona college","private",3329,"moderately difficult",0.91,10896,"new rochelle","NY"
"liu post","private",6224,"moderately difficult",0.81,6371,"brookville","NY"
"juniata college","private",3796,"moderately difficult",0.75,2386,"huntingdon","PA"
"houghton college","private",1043,"moderately difficult",0.75,1074,"houghton","NY"
"husson university","private",2834,"moderately difficult",0.8,2460,"bangor","ME"
"harvard university","private",6712,"most difficult",0.05,39041,"cambridge","MA"
"grove city college","private",2392,"moderately difficult",0.82,1517,"grove city","PA"
"gordon college","private",1657,"moderately difficult",0.92,2714,"wenham","MA"
"geneva college","private",1457,"moderately difficult",0.71,1587,"beaver falls","PA"
"medgar evers college","public",6819,"noncompetitive",0.98,10105,"brooklyn","NY"
"emmanuel college","private",2012,"",0.71,6223,"boston","MA"
"emerson college","private",3790,"very difficult",0.48,9149,"boston","MA"
"eastern nazarene college","private",784,"moderately difficult",0.63,989,"quincy","MA"
"fairfield university","private",4032,"very difficult",0.61,11055,"fairfield","CT"
"brandeis university","private",3608,"most difficult",0.33,11351,"waltham","MA"
"college of saint benedict","private",1958,"moderately difficult",0.88,1859,"saint joseph","MN"
"eastern connecticut state university","public",5097,"moderately difficult",0.64,5370,"willimantic","CT"
"northeastern university","private",17923,"very difficult",0.29,51063,"boston","MA"
"alma college","private",1451,"moderately difficult",0.68,4695,"alma","MI"
"avila university","private",1320,"minimally difficult",0.56,1382,"kansas city","MO"
"augustana college","private",2537,"moderately difficult",0.52,6587,"rock island","IL"
"school of the art institute of chicago","private",2849,"very difficult",0.59,5244,"chicago","IL"
"anderson university","private",1883,"moderately difficult",0.66,2650,"anderson","IN"
"andrews university","private",1688,"moderately difficult",0.4,2417,"berrien springs","MI"
"aurora university","private",3796,"moderately difficult",0.88,2615,"aurora","IL"
"art academy of cincinnati","private",164,"moderately difficult",0.21,541,"cincinnati","OH"
"alabama state university","public",4727,"minimally difficult",0.46,9053,"montgomery","AL"
"alabama a&m university","public",4940,"minimally difficult",0.51,5363,"huntsville","AL"
"university of alabama birmingham","public",12369,"moderately difficult",0.89,5838,"birmingham","AL"
"university of alabama huntsville","public",6507,"moderately difficult",0.76,4545,"huntsville","AL"
"university of alabama","public",32563,"moderately difficult",0.53,38237,"tuscaloosa","AL"
"albany state university","public",2594,"minimally difficult",0.5,2915,"albany","GA"
"alice lloyd college","private",599,"",NA,NA,"pippa passes","KY"
"alcorn state university","public",2825,"moderately difficult",0.78,2078,"lorman","MS"
"alderson-broaddus college","private",981,"moderately difficult",0.41,4103,"philippi","WV"
"lyon college","private",690,"moderately difficult",0.59,1776,"batesville","AR"
"american university","private",7901,"very difficult",0.26,19325,"washington","DC"
"appalachian state university","public",16595,"moderately difficult",0.68,13202,"boone","NC"
"arkansas state university","public",9592,"moderately difficult",0.7,5346,"state university","AR"
"arkansas tech university","public",11053,"moderately difficult",0.64,5232,"russellville","AR"
"university of arkansas","public",22548,"moderately difficult",0.63,21539,"fayetteville","AR"
"university of arkansas little rock","public",9384,"minimally difficult",0.59,1751,"little rock","AR"
"university of arkansas monticello","public",3802,"noncompetitive",0.46,2761,"monticello","AR"
"university of arkansas pine bluff","public",2545,"",0.46,4452,"pine bluff","AR"
"armstrong state university","public",6397,"",NA,NA,"savannah","GA"
"asbury university","private",1624,"moderately difficult",0.7,1285,"wilmore","KY"
"barton college","private",988,"minimally difficult",0.41,2828,"wilson","NC"
"baptist college of florida","private",440,"noncompetitive",0.6,119,"graceville","FL"
"auburn university","public",22658,"moderately difficult",0.81,18256,"auburn university","AL"
"auburn university montgomery","public",4273,"moderately difficult",0.77,2905,"montgomery","AL"
"austin peay state university","public",9513,"moderately difficult",0.89,6255,"clarksville","TN"
"averett university","private",859,"moderately difficult",0.55,2238,"danville","VA"
"university of baltimore","public",3526,"minimally difficult",0.6,806,"baltimore","MD"
"charleston southern university","private",3206,"moderately difficult",0.61,4399,"charleston","SC"
"barry university","private",3541,"moderately difficult",0.62,4982,"miami shores","FL"
"belhaven university","private",2715,"moderately difficult",0.43,2474,"jackson","MS"
"bellarmine university","private",2650,"moderately difficult",0.82,6212,"louisville","KY"
"belmont abbey college","private",1524,"moderately difficult",NA,NA,"belmont","NC"
"belmont university","private",6293,"moderately difficult",0.87,6765,"nashville","TN"
"benedict college","private",2641,"minimally difficult",NA,NA,"columbia","SC"
"bennett college","private",474,"minimally difficult",0.98,1488,"greensboro","NC"
"berea college","private",1665,"moderately difficult",0.33,1744,"berea","KY"
"berry college","private",2073,"moderately difficult",0.62,3477,"mount berry","GA"
"bethany college","private",710,"moderately difficult",0.7,1168,"bethany","WV"
"bethel university","private",4239,"minimally difficult",0.62,1573,"mckenzie","TN"
"bethune-cookman university","private",3796,"minimally difficult",0.53,13007,"daytona beach","FL"
"birmingham-southern college","private",1231,"moderately difficult",0.65,1846,"birmingham","AL"
"blue mountain college","private",544,"moderately difficult",0.48,386,"blue mountain","MS"
"bluefield college","private",969,"",NA,NA,"bluefield","VA"
"bluefield state college","public",1362,"noncompetitive",0.83,653,"bluefield","WV"
"lynn university","private",2095,"moderately difficult",0.82,3514,"boca raton","FL"
"bowie state university","public",4711,"minimally difficult",0.41,6720,"bowie","MD"
"brenau university","private",1653,"moderately difficult",0.36,1975,"gainesville","GA"
"brescia university","private",1272,"moderately difficult",0.47,4438,"owensboro","KY"
"bryan college","private",1422,"moderately difficult",0.42,1041,"dayton","TN"
"new york school of interior design","private",381,"moderately difficult",0.42,155,"new york","NY"
"university of new hampshire manchester","public",762,"moderately difficult",0.73,205,"manchester","NH"
"southeastern baptist theological seminary","private",414,"noncompetitive",0.76,46,"wake forest","NC"
"mt. sierra college","private for profit",511,"moderately difficult",NA,NA,"monrovia","CA"
"culinary institute of america","private",2774,"moderately difficult",0.94,1045,"hyde park","NY"
"paier college of art","private for profit",128,"",NA,NA,"hamden","CT"
"schiller international university","private for profit",191,"minimally difficult",NA,NA,"largo","FL"
"brevard college","private",705,"minimally difficult",0.43,2858,"brevard","NC"
"florida college","private",533,"moderately difficult",0.79,284,"temple terrace","FL"
"south university savannah","private for profit",NA,"",NA,NA,"savannah","GA"
"charles r. drew university of medicine & science","private",230,"moderately difficult",0.21,872,"los angeles","CA"
"florida gulf coast university","public",13711,"moderately difficult",0.56,15152,"fort myers","FL"
"fairleigh dickinson university college florham","private",2513,"moderately difficult",0.79,4179,"madison","NJ"
"coleman university","private",477,"moderately difficult",1,12,"san diego","CA"
"university of advancing technology","private for profit",1013,"",NA,NA,"tempe","AZ"
"university of the potomac","private for profit",165,"noncompetitive",NA,NA,"washington","DC"
"platt college","private for profit",134,"noncompetitive",NA,NA,"aurora","CO"
"art institute of california san diego","private for profit",NA,"",NA,NA,"san diego","CA"
"laguna college of art + design","private",567,"very difficult",0.39,472,"laguna beach","CA"
"columbia college hollywood","private",359,"minimally difficult",0.57,196,"tarzana","CA"
"art institute of california san francisco","private for profit",NA,"",NA,NA,"san francisco","CA"
"newschool of architecture & design","private for profit",408,"moderately difficult",0.79,39,"san diego","CA"
"pacific states university","private",19,"noncompetitive",NA,NA,"los angeles","CA"
"rocky mountain college of art & design","private for profit",1079,"moderately difficult",NA,NA,"lakewood","CO"
"hodges university","private",1487,"minimally difficult",NA,NA,"naples","FL"
"trinity college of florida","private",202,"noncompetitive",0.71,75,"trinity","FL"
"illinois institute of art chicago","private for profit",NA,"",NA,NA,"chicago","IL"
"st. john's college","private",122,"moderately difficult",0.68,90,"springfield","IL"
"waldorf college","private",2058,"moderately difficult",0.67,748,"forest city","IA"
"cambridge college","private",1090,"noncompetitive",0.64,107,"cambridge","MA"
"newbury college","private",862,"minimally difficult",0.7,3162,"brookline","MA"
"finlandia university","private",545,"minimally difficult",0.67,646,"hancock","MI"
"thomas more college of liberal arts","private",99,"moderately difficult",0.7,100,"merrimack","NH"
"st. gregory's university","private",636,"minimally difficult",0.85,184,"shawnee","OK"
"utah valley university","public",34706,"noncompetitive",1,10339,"orem","UT"
"vermont technical college","public",1625,"moderately difficult",0.7,584,"randolph center","VT"
"northwest college of art & design","private for profit",114,"",NA,NA,"poulsbo","WA"
"northwestern polytechnic university","private",164,"",1,249,"fremont","CA"
"devry university new york","private for profit",915,"minimally difficult",NA,NA,"new york","NY"
"sterling college","private",119,"",NA,NA,"craftsbury common","VT"
"penn state abington","public",3950,"very difficult",0.82,3794,"abington","PA"
"international fine arts college","private for profit",NA,"",NA,NA,"miami","FL"
"illinois institute of art schaumburg","private for profit",NA,"",NA,NA,"schaumburg","IL"
"shasta bible college","private",44,"noncompetitive",0.83,18,"redding","CA"
"beulah heights university","private",454,"noncompetitive",NA,NA,"atlanta","GA"
"everest university",NA,3386,"minimally difficult",0.74,2225,"tampa","FL"
"devry university north brunswick","private for profit",583,"minimally difficult",NA,NA,"north brunswick","NJ"
"art institute of pittsburgh","private for profit",NA,"",NA,NA,"pittsburgh","PA"
"dixie state college","public",8993,"noncompetitive",1,15486,"st george","UT"
"johnson & wales university","private",1356,"moderately difficult",0.81,2319,"denver","CO"
"penn state schuylkill","public",759,"moderately difficult",0.76,631,"schuylkill haven","PA"
"penn state lehigh valley","public",868,"moderately difficult",0.87,966,"center valley","PA"
"penn state berks","public",2888,"very difficult",0.87,2164,"reading","PA"
"devry university orlando","private for profit",534,"minimally difficult",NA,NA,"orlando","FL"
"penn state altoona","public",3491,"very difficult",0.89,5120,"altoona","PA"
"peirce college","private",1491,"noncompetitive",NA,NA,"philadelphia","PA"
"art institute of california orange county","private for profit",NA,"",NA,NA,"santa ana","CA"
"art institute of washington","private for profit",NA,"",NA,NA,"arlington","VA"
"mitchell college","private",723,"minimally difficult",0.74,787,"new london","CT"
"stevens-henager college ogden","private for profit",364,"noncompetitive",NA,NA,"west haven","UT"
"bethany lutheran college","private",587,"moderately difficult",0.8,328,"mankato","MN"
"paul smith's college","private",875,"minimally difficult",0.73,1103,"paul smiths","NY"
"university of arkansas fort smith","public",6823,"minimally difficult",0.56,4001,"fort smith","AR"
"devry university crystal city","private for profit",252,"minimally difficult",NA,NA,"arlington","VA"
"cabarrus college of health sciences","private",443,"moderately difficult",1,28,"concord","NC"
"muhlenberg college","private",2408,"very difficult",0.48,4862,"allentown","PA"
"california state university sacramento","public",27876,"moderately difficult",0.72,23944,"sacramento","CA"
"nazareth college","private",2159,"moderately difficult",0.72,4118,"rochester","NY"
"neumann university","private",2278,"minimally difficult",0.94,1486,"aston","PA"
"bellevue university","private",6828,"noncompetitive",NA,NA,"bellevue","NE"
"misericordia university","private",2195,"moderately difficult",0.74,1823,"dallas","PA"
"new england college","private",1756,"minimally difficult",0.99,4204,"henniker","NH"
"art center college of design","private",1915,"very difficult",0.8,610,"pasadena","CA"
"augustana university","private",1665,"moderately difficult",0.69,1464,"sioux falls","SD"
"colorado school of mines","public",4612,"very difficult",0.4,12284,"golden","CO"
"university of california santa barbara","public",21574,"very difficult",0.36,77098,"santa barbara","CA"
"chaminade university of honolulu","private",1183,"moderately difficult",0.91,842,"honolulu","HI"
"university of alaska anchorage","public",16463,"noncompetitive",0.8,3533,"anchorage","AK"
"concordia university nebraska","private",1794,"moderately difficult",0.73,1396,"seward","NE"
"east central university","public",3455,"minimally difficult",0.58,1423,"ada","OK"
"alaska pacific university","private",294,"minimally difficult",0.55,474,"anchorage","AK"
"montana state university billings","public",3972,"minimally difficult",1,1478,"billings","MT"
"eastern new mexico university","public",4600,"noncompetitive",0.63,2217,"portales","NM"
"university of great falls","private",881,"noncompetitive",0.76,805,"great falls","MT"
"eastern oregon university","public",2873,"minimally difficult",0.97,1043,"la grande","OR"
"fort lewis college","public",3556,"moderately difficult",0.92,4164,"durango","CO"
"jamestown college","private",955,"minimally difficult",0.57,1560,"jamestown","ND"
"university of colorado colorado springs","public",10414,"moderately difficult",0.93,9664,"colorado springs","CO"
"embry-riddle aeronautical university prescott","private",2377,"moderately difficult",0.76,2130,"prescott","AZ"
"university of california davis","public",29546,"very difficult",0.42,67472,"davis","CA"
"montana state university","public",14400,"moderately difficult",0.83,15996,"bozeman","MT"
"hawaii pacific university","private",3436,"moderately difficult",0.75,5452,"honolulu","HI"
"midland university","private",827,"moderately difficult",0.88,920,"fremont","NE"
"california state university east bay","public",13340,"moderately difficult",0.7,15670,"hayward","CA"
"university of mary hardin-baylor","private",3278,"moderately difficult",0.79,8954,"belton","TX"
"california maritime academy","public",1107,"moderately difficult",0.68,1217,"vallejo","CA"
"grand canyon university","private for profit",NA,"moderately difficult",NA,NA,"phoenix","AZ"
"caldwell university","private",1633,"moderately difficult",0.85,2831,"caldwell","NJ"
"abilene christian university","private",3758,"moderately difficult",0.51,10252,"abilene","TX"
"creighton university","private",4203,"moderately difficult",0.71,10352,"omaha","NE"
"chapman university","private",6410,"very difficult",0.54,12821,"orange","CA"
"azusa pacific university","private",5770,"moderately difficult",0.84,6605,"azusa","CA"
"humboldt state university","public",7968,"moderately difficult",0.76,12967,"arcata","CA"
"bethany college","private",665,"moderately difficult",0.59,1139,"lindsborg","KS"
"texas a&m international university","public",6591,"moderately difficult",0.54,6306,"laredo","TX"
"cal poly san luis obispo","public",20426,"moderately difficult",0.29,48162,"san luis obispo","CA"
"newman university","private",2535,"minimally difficult",0.58,1331,"wichita","KS"
"college of idaho","private",962,"moderately difficult",0.85,975,"caldwell","ID"
"colorado college","private",2101,"very difficult",0.16,7894,"colorado springs","CO"
"colorado technical university","private for profit",1896,"minimally difficult",NA,NA,"colorado springs","CO"
"dakota wesleyan university","private",759,"moderately difficult",0.73,659,"mitchell","SD"
"marylhurst university","private",398,"noncompetitive",1,2,"marylhurst","OR"
"university of nevada reno","public",18191,"moderately difficult",0.83,9644,"reno","NV"
"mount marty college","private",1006,"minimally difficult",0.65,473,"yankton","SD"
"mcmurry university","private",1073,"moderately difficult",0.48,1884,"abilene","TX"
"willamette university","private",2002,"very difficult",0.78,6181,"salem","OR"
"austin college","private",1278,"very difficult",0.53,3352,"sherman","TX"
"university of texas of the permian basin","public",5663,"moderately difficult",0.81,1307,"odessa","TX"
"biola university","private",4091,"moderately difficult",0.69,3941,"la mirada","CA"
"texas a&m university corpus christi","public",10212,"moderately difficult",0.86,9002,"corpus christi","TX"
"chadron state college","public",2199,"noncompetitive",NA,NA,"chadron","NE"
"western oregon university","public",4833,"moderately difficult",0.88,2901,"monmouth","OR"
"montana tech of the university of montana","public",2594,"moderately difficult",0.89,894,"butte","MT"
"union college","private",805,"moderately difficult",0.64,1811,"lincoln","NE"
"university of idaho","public",9586,"moderately difficult",0.76,5953,"moscow","ID"
"menlo college","private",777,"moderately difficult",0.41,2195,"atherton","CA"
"texas christian university","private",8891,"very difficult",0.38,19972,"fort worth","TX"
"northwest christian university","private",566,"minimally difficult",0.67,427,"eugene","OR"
"concordia university portland","private",1369,"moderately difficult",0.54,1961,"portland","OR"
"whitworth university","private",2308,"moderately difficult",0.89,3262,"spokane","WA"
"evergreen state college","public",3787,"moderately difficult",0.97,1901,"olympia","WA"
"university of denver","private",5754,"moderately difficult",0.53,20322,"denver","CO"
"regis university","private",4070,"moderately difficult",0.57,6756,"denver","CO"
"rocky mountain college","private",908,"moderately difficult",0.62,1545,"billings","MT"
"southeastern oklahoma state university","public",3132,"moderately difficult",0.77,1107,"durant","OK"
"devry university phoenix","private for profit",515,"minimally difficult",NA,NA,"phoenix","AZ"
"devry university pomona","private for profit",784,"minimally difficult",NA,NA,"pomona","CA"
"westmont college","private",1298,"moderately difficult",0.83,2001,"santa barbara","CA"
"united states air force academy","public",4237,"most difficult",0.15,9894,"usaf academy","CO"
"devry university irving","private for profit",403,"minimally difficult",NA,NA,"irving","TX"
"oklahoma christian university","private",1974,"moderately difficult",0.61,2256,"oklahoma city","OK"
"houston baptist university","private",2332,"moderately difficult",0.35,15256,"houston","TX"
"texas a&m university kingsville","public",6811,"moderately difficult",0.82,7373,"kingsville","TX"
"university of alaska fairbanks","public",7239,"minimally difficult",0.73,1557,"fairbanks","AK"
"california institute of technology","private",979,"most difficult",0.08,6855,"pasadena","CA"
"university of utah","public",23789,"moderately difficult",0.76,14308,"salt lake city","UT"
"university of north texas","public",31209,"moderately difficult",0.72,16826,"denton","TX"
"san francisco conservatory of music","private",188,"",NA,NA,"san francisco","CA"
"university of hawaii west oahu","public",2692,"moderately difficult",0.7,892,"kapolei","HI"
"valley city state university","public",1295,"noncompetitive",0.98,372,"valley city","ND"
"academy of art university","private for profit",8303,"noncompetitive",1,2761,"san francisco","CA"
"holy names university","private",526,"moderately difficult",0.49,972,"oakland","CA"
"university of wyoming","public",10045,"moderately difficult",0.96,4657,"laramie","WY"
"washington state university","public",17716,"moderately difficult",0.73,21410,"pullman","WA"
"claremont mckenna college","private",1347,"most difficult",0.09,6342,"claremont","CA"
"oregon institute of technology","public",3881,"moderately difficult",0.93,713,"klamath falls","OR"
"prescott college","private",356,"moderately difficult",0.8,167,"prescott","AZ"
"weber state university","public",26112,"noncompetitive",1,6199,"ogden","UT"
"alliant international university","private",163,"minimally difficult",NA,NA,"san diego","CA"
"university of sioux falls","private",1243,"moderately difficult",0.97,645,"sioux falls","SD"
"fort hays state university","public",11831,"",NA,NA,"hays","KS"
"bethel college","private",460,"moderately difficult",0.56,770,"north newton","KS"
"st. edward's university","private",4056,"moderately difficult",0.74,6046,"austin","TX"
"simpson university","private",790,"moderately difficult",0.52,627,"redding","CA"
"linfield college","private",1632,"moderately difficult",0.81,2296,"mcminnville","OR"
"otis college of art & design","private",1032,"moderately difficult",0.46,1584,"los angeles","CA"
"national american university rapid city","private for profit",481,"noncompetitive",NA,NA,"rapid city","SD"
"western state colorado university","public",2495,"moderately difficult",0.92,2191,"gunnison","CO"
"university of california irvine","public",27331,"very difficult",0.41,77810,"irvine","CA"
"rice university","private",3893,"most difficult",0.15,18236,"houston","TX"
"gonzaga university","private",5160,"moderately difficult",0.67,7324,"spokane","WA"
"university of nevada las vegas","public",24714,"moderately difficult",0.83,8533,"las vegas","NV"
"cogswell polytechnical college","private for profit",656,"moderately difficult",0.83,281,"san jose","CA"
"university of north dakota","public",11255,"minimally difficult",0.84,5144,"grand forks","ND"
"thomas aquinas college","private",389,"very difficult",0.74,193,"santa paula","CA"
"american jewish university","private",112,"minimally difficult",0.61,41,"bel air","CA"
"university of science & arts of oklahoma","public",888,"moderately difficult",0.66,706,"chickasha","OK"
"university of texas arlington","public",29883,"moderately difficult",0.61,10245,"arlington","TX"
"texas lutheran university","private",1283,"",NA,NA,"seguin","TX"
"whitman college","private",1493,"very difficult",0.51,3749,"walla walla","WA"
"university of arizona","public",34072,"moderately difficult",0.79,36166,"tucson","AZ"
"southern california institute of architecture","private",255,"moderately difficult",0.73,214,"los angeles","CA"
"kansas state university","public",19472,"minimally difficult",0.94,9018,"manhattan","KS"
"university of st. mary","private",837,"moderately difficult",0.49,888,"leavenworth","KS"
"university of la verne","private",2809,"moderately difficult",0.48,8072,"la verne","CA"
"colorado state university","public",25688,"moderately difficult",0.78,21759,"fort collins","CO"
"university of oklahoma","public",21609,"moderately difficult",0.7,14522,"norman","OK"
"university of tulsa","private",3406,"very difficult",0.37,8089,"tulsa","OK"
"north dakota state university","public",12010,"moderately difficult",0.93,5128,"fargo","ND"
"oklahoma city university","private",1764,"",NA,NA,"oklahoma city","OK"
"point loma nazarene university","private",3053,"moderately difficult",0.69,3162,"san diego","CA"
"loyola marymount university","private",6261,"",NA,NA,"los angeles","CA"
"trinity university","private",2334,"very difficult",0.27,7255,"san antonio","TX"
"university of oregon","public",20047,"moderately difficult",0.78,21821,"eugene","OR"
"pacific university","private",1924,"moderately difficult",0.79,3004,"forest grove","OR"
"walla walla university","private",1700,"moderately difficult",NA,NA,"college place","WA"
"university of houston","public",35871,"moderately difficult",0.59,19860,"houston","TX"
"texas a&m university","public",50735,"moderately difficult",0.66,35494,"college station","TX"
"patten university","private",994,"noncompetitive",NA,NA,"oakland","CA"
"new mexico highlands university","public",2181,"minimally difficult",1,1158,"las vegas","NM"
"university of portland","private",3770,"moderately difficult",0.62,11202,"portland","OR"
"pittsburg state university","public",5905,"minimally difficult",0.87,2503,"pittsburg","KS"
"university of washington","public",30933,"very difficult",0.45,43517,"seattle","WA"
"reed college","private",1410,"very difficult",0.31,5705,"portland","OR"
"southwestern adventist university","private",789,"moderately difficult",0.5,1551,"keene","TX"
"st. mary's university","private",2309,"moderately difficult",0.55,5832,"san antonio","TX"
"san jose state university","public",26822,"very difficult",0.55,30583,"san jose","CA"
"sierra nevada college","private",479,"moderately difficult",0.51,851,"incline village","NV"
"scripps college","private",1039,"very difficult",0.3,3032,"claremont","CA"
"university of montana","public",10778,"moderately difficult",0.84,2401,"missoula","MT"
"seattle university","private",4776,"moderately difficult",0.74,8149,"seattle","WA"
"southwestern oklahoma state university","public",4510,"minimally difficult",0.91,3131,"weatherford","OK"
"south dakota state university","public",10959,"minimally difficult",0.91,5173,"brookings","SD"
"san francisco state university","public",25945,"moderately difficult",0.68,36223,"san francisco","CA"
"santa clara university","private",5438,"very difficult",0.48,15834,"santa clara","CA"
"wayland baptist university","private",3776,"minimally difficult",1,651,"plainview","TX"
"southern nazarene university","private",1647,"noncompetitive",0.33,979,"bethany","OK"
"sul ross state university","public",1359,"noncompetitive",0.8,1143,"alpine","TX"
"southern oregon university","public",5314,"moderately difficult",0.78,2766,"ashland","OR"
"stanford university","private",7034,"most difficult",0.05,43997,"stanford","CA"
"stephen f. austin state university","public",11140,"moderately difficult",0.62,11382,"nacogdoches","TX"
"university of the southwest","private",450,"moderately difficult",0.66,263,"hobbs","NM"
"texas state university","public",34244,"moderately difficult",0.71,21524,"san marcos","TX"
"southwestern university","private",1486,"very difficult",0.45,3773,"georgetown","TX"
"fashion institute of technology","public",9096,"moderately difficult",0.4,4632,"new york","NY"
"cornell university","private",14566,"most difficult",0.14,44965,"ithaca","NY"
"university of texas austin","public",40168,"moderately difficult",0.4,47501,"austin","TX"
"brooklyn college","public",14406,"moderately difficult",0.37,20608,"brooklyn","NY"
"college of saint mary","private",760,"minimally difficult",0.53,333,"omaha","NE"
"york college","public",8258,"moderately difficult",0.61,13726,"jamaica","NY"
"east stroudsburg university of pennsylvania","public",6159,"moderately difficult",0.73,7449,"east stroudsburg","PA"
"gettysburg college","private",2384,"most difficult",0.43,6816,"gettysburg","PA"
"lehigh university","private",5080,"most difficult",0.26,13403,"bethlehem","PA"
"hartwick college","private",1396,"moderately difficult",0.94,3085,"oneonta","NY"
"gwynedd-mercy college","private",2035,"moderately difficult",0.91,904,"gwynedd valley","PA"
"college of the holy cross","private",2941,"very difficult",0.38,6693,"worcester","MA"
"king's college","private",2082,"moderately difficult",0.71,3852,"wilkes barre","PA"
"lafayette college","private",2550,"",NA,NA,"easton","PA"
"elizabethtown college","private",1737,"moderately difficult",0.73,2904,"elizabethtown","PA"
"lancaster bible college","private",786,"minimally difficult",0.57,192,"lancaster","PA"
"sonoma state university","public",8606,"moderately difficult",0.76,16487,"rohnert park","CA"
"dominican university","private",2306,"moderately difficult",0.64,4568,"river forest","IL"
"governors state university","public",3517,"moderately difficult",0.42,1176,"university park","IL"
"indiana wesleyan university","private",2933,"moderately difficult",0.96,2444,"marion","IN"
"illinois state university","public",18643,"moderately difficult",0.89,12078,"normal","IL"
"erskine college","private",622,"moderately difficult",0.64,991,"due west","SC"
"iowa wesleyan college","private",473,"moderately difficult",0.41,1696,"mount pleasant","IA"
"loyola university chicago","private",11129,"moderately difficult",0.73,22712,"chicago","IL"
"kenyon college","private",1708,"most difficult",0.29,5927,"gambier","OH"
"roosevelt university","private",3239,"moderately difficult",0.72,3303,"chicago","IL"
"john carroll university","private",3026,"moderately difficult",0.83,3857,"university heights","OH"
"crown college","private",1088,"minimally difficult",0.56,838,"st bonifacius","MN"
"knox college","private",1357,"very difficult",0.65,3514,"galesburg","IL"
"indiana university bloomington","public",39184,"moderately difficult",0.79,34646,"bloomington","IN"
"ripon college","private",793,"moderately difficult",0.65,2553,"ripon","WI"
"florida state university","public",32929,"very difficult",0.58,29027,"tallahassee","FL"
"university of michigan dearborn","public",7141,"moderately difficult",0.65,5328,"dearborn","MI"
"missouri university of science & technology","public",6909,"very difficult",0.79,4166,"rolla","MO"
"northern illinois university","public",14079,"moderately difficult",0.52,14980,"de kalb","IL"
"university of the pacific","private",3483,"moderately difficult",0.66,8870,"stockton","CA"
"colorado christian university","private",1306,"moderately difficult",0.63,1917,"lakewood","CO"
"florida international university","public",45813,"moderately difficult",0.49,17218,"miami","FL"
"cameron university","public",4444,"noncompetitive",1,1102,"lawton","OK"
"william carey university","private",2090,"moderately difficult",0.93,465,"hattiesburg","MS"
"mcdaniel college","private",1559,"moderately difficult",0.79,2385,"westminster","MD"
"fontbonne university","private",1099,"moderately difficult",0.97,494,"st louis","MO"
"wheeling jesuit university","private",945,"moderately difficult",0.93,1020,"wheeling","WV"
"university of missouri kansas city","public",11708,"moderately difficult",0.62,5138,"kansas city","MO"
"saint mary-of-the-woods college","private",690,"minimally difficult",0.73,367,"saint mary of the woods","IN"
"cornerstone university","private",1856,"minimally difficult",0.63,2892,"grand rapids","MI"
"eastern university","private",2082,"moderately difficult",0.61,1992,"st davids","PA"
"georgian court university","private",1591,"moderately difficult",0.78,526,"lakewood","NJ"
"new york city college of technology","public",17282,"noncompetitive",0.75,16846,"brooklyn","NY"
"hunter college","public",16723,"moderately difficult",0.39,28510,"new york","NY"
"monmouth college","private",1147,"moderately difficult",0.52,3248,"monmouth","IL"
"northern michigan university","public",8001,"minimally difficult",0.72,6848,"marquette","MI"
"greensboro college","private",960,"minimally difficult",0.36,2687,"greensboro","NC"
"manhattan christian college","private",327,"minimally difficult",0.6,162,"manhattan","KS"
"loyola university maryland","private",4104,"moderately difficult",0.66,12727,"baltimore","MD"
"california state university fresno","public",21528,"minimally difficult",0.54,18731,"fresno","CA"
