"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"state university of new york cortland","public",6304,"moderately difficult",0.52,10875,"cortland","NY"
"robert morris university","private",4384,"minimally difficult",0.8,7164,"moon township","PA"
"state university of new york of environmental science & forestry","public",2271,"very difficult",0.54,1651,"syracuse","NY"
"state university of new york fredonia","public",4386,"moderately difficult",0.62,5381,"fredonia","NY"
"plymouth state university","public",4125,"moderately difficult",0.79,6864,"plymouth","NH"
"roberts wesleyan college","private",1316,"moderately difficult",0.65,1270,"rochester","NY"
"state university of new york geneseo","public",5431,"moderately difficult",0.67,8892,"geneseo","NY"
"point park university","private",3276,"moderately difficult",0.71,4073,"pittsburgh","PA"
"state university of new york new paltz","public",6717,"very difficult",0.43,14042,"new paltz","NY"
"college old westbury","public",4242,"moderately difficult",0.69,3545,"old westbury","NY"
"state university of new york oneonta","public",5852,"very difficult",0.43,12338,"oneonta","NY"
"maine college of art","private",369,"",NA,NA,"portland","ME"
"state university of new york oswego","public",7150,"moderately difficult",0.54,10715,"oswego","NY"
"post university","private for profit",828,"moderately difficult",0.47,1244,"waterbury","CT"
"state university of new york plattsburgh","public",5215,"moderately difficult",0.51,9404,"plattsburgh","NY"
"rochester institute of technology","private",13384,"moderately difficult",0.55,19824,"rochester","NY"
"pratt institute","private",3310,"very difficult",0.52,5711,"brooklyn","NY"
"state university of new york potsdam","public",3416,"moderately difficult",0.72,5454,"potsdam","NY"
"princeton university","private",5400,"most difficult",0.07,29303,"princeton","NJ"
"purchase college","public",4121,"moderately difficult",0.44,6762,"purchase","NY"
"providence college","private",4270,"",NA,NA,"providence","RI"
"state university of new york institute of technology","public",2012,"moderately difficult",0.66,2428,"utica","NY"
"quinnipiac university","private",7099,"moderately difficult",0.76,23492,"hamden","CT"
"bard college","private",1995,"moderately difficult",0.56,5181,"annandale on hudson","NY"
"university of rochester","private",6345,"very difficult",0.35,17484,"rochester","NY"
"state university of new york maritime college","public",1635,"very difficult",0.58,1449,"throggs neck","NY"
"barnard college","private",2548,"most difficult",0.2,6655,"new york","NY"
"state university of new york upstate medical university","public",296,"moderately difficult",0.34,477,"syracuse","NY"
"maine maritime academy","public",1037,"moderately difficult",0.79,805,"castine","ME"
"university of maine","public",9323,"moderately difficult",0.9,12952,"orono","ME"
"roger williams university","private",4902,"moderately difficult",0.79,9829,"bristol","RI"
"susquehanna university","private",2195,"moderately difficult",0.68,6629,"selinsgrove","PA"
"bates college","private",1780,"very difficult",0.23,5356,"lewiston","ME"
"arcadia university","private",2473,"moderately difficult",0.63,8987,"glenside","PA"
"swarthmore college","private",1620,"",NA,NA,"swarthmore","PA"
"bennington college","private",711,"very difficult",0.6,1236,"bennington","VT"
"university of maine farmington","public",1782,"",NA,NA,"farmington","ME"
"syracuse university","private",15218,"very difficult",0.52,30923,"syracuse","NY"
"university of maine fort kent","public",1904,"minimally difficult",0.96,411,"fort kent","ME"
"bentley university","private",4222,"very difficult",0.46,8281,"waltham","MA"
"thomas college","private",1212,"",NA,NA,"waterville","ME"
"berklee college of music","private",5112,"moderately difficult",0.26,7682,"boston","MA"
"bloomfield college","private",1947,"moderately difficult",0.62,3623,"bloomfield","NJ"
"bloomsburg university of pennsylvania","public",8995,"minimally difficult",0.78,9330,"bloomsburg","PA"
"temple university","public",29275,"moderately difficult",0.52,33139,"philadelphia","PA"
"bowdoin college","private",1806,"most difficult",0.15,6799,"brunswick","ME"
"university of maine machias","public",786,"moderately difficult",0.87,449,"machias","ME"
"boricua college","private",1004,"moderately difficult",0.4,924,"new york","NY"
"university of maine presque isle","public",1326,"minimally difficult",0.87,1491,"presque isle","ME"
"thiel college","private",926,"moderately difficult",0.61,2275,"greenville","PA"
"boston architectural college","private",472,"noncompetitive",0.16,152,"boston","MA"
"boston college","private",9309,"very difficult",0.31,28956,"chestnut hill","MA"
"thomas jefferson university","private",1131,"moderately difficult",NA,NA,"philadelphia","PA"
"boston university","private",17944,"very difficult",0.29,57441,"boston","MA"
"touro college","private",6912,"moderately difficult",0.34,2201,"new york","NY"
"the college of new jersey","public",6787,"very difficult",0.49,11825,"ewing","NJ"
"manhattan college","private",3637,"moderately difficult",0.67,8313,"riverdale","NY"
"rosemont college","private",646,"moderately difficult",0.69,1404,"rosemont","PA"
"trinity college","private",2289,"most difficult",0.33,7569,"hartford","CT"
"manhattan school of music","private",389,"very difficult",0.45,897,"new york","NY"
"manhattanville college","private",1794,"moderately difficult",0.77,4132,"purchase","NY"
"tufts university","private",5508,"most difficult",0.14,20223,"medford","MA"
"university of bridgeport","private",2941,"moderately difficult",0.58,6969,"bridgeport","CT"
"union college","private",2203,"very difficult",0.37,6648,"schenectady","NY"
"bridgewater state university","public",9562,"moderately difficult",0.81,6007,"bridgewater","MA"
"united states coast guard academy","public",986,"very difficult",0.15,2026,"new london","CT"
"mansfield university of pennsylvania","public",2112,"moderately difficult",0.66,2997,"mansfield","PA"
"brown university","private",6926,"most difficult",0.09,32390,"providence","RI"
"united states merchant marine academy","public",904,"very difficult",0.15,1872,"kings point","NY"
"united states military academy","public",4389,"",NA,NA,"west point","NY"
"marist college","private",5616,"very difficult",0.41,11087,"poughkeepsie","NY"
"unity college","private",709,"moderately difficult",0.91,1011,"unity","ME"
"marlboro college","private",196,"moderately difficult",0.96,161,"marlboro","VT"
"ursinus college","private",1556,"moderately difficult",0.82,2491,"collegeville","PA"
"utica college","private",3550,"moderately difficult",0.82,5419,"utica","NY"
"marymount manhattan college","private",2069,"moderately difficult",0.78,5265,"new york","NY"
"vassar college","private",2424,"very difficult",0.27,7284,"poughkeepsie","NY"
"marywood university","private",1931,"moderately difficult",0.69,2202,"scranton","PA"
"bryant university","private",3462,"moderately difficult",0.67,7314,"smithfield","RI"
"bryn mawr college","private",1381,"most difficult",0.4,3012,"bryn mawr","PA"
"bucknell university","private",3571,"most difficult",0.3,10487,"lewisburg","PA"
"cabrini university","private",1650,"moderately difficult",0.71,3186,"radnor","PA"
"california university of pennsylvania","public",5522,"moderately difficult",0.94,3202,"california","PA"
"massachusetts college of art & design","public",1835,"moderately difficult",0.71,1531,"boston","MA"
"university of vermont","public",11159,"moderately difficult",0.69,22476,"burlington","VT"
"massachusetts college of pharmacy & health sciences","private",3843,"",0.84,5531,"boston","MA"
"villanova university","private",6999,"very difficult",0.44,17272,"villanova","PA"
"massachusetts institute of technology","private",4524,"most difficult",0.08,19020,"cambridge","MA"
"carlow university","private",1408,"minimally difficult",0.86,806,"pittsburgh","PA"
"school of visual arts","private for profit",3707,"moderately difficult",0.74,3648,"new york","NY"
"wagner college","private",1807,"",NA,NA,"staten island","NY"
"washington & jefferson college","private",1396,"very difficult",0.46,7155,"washington","PA"
"massachusetts maritime academy","public",1677,"moderately difficult",0.8,825,"buzzards bay","MA"
"waynesburg university","private",1400,"moderately difficult",0.94,1478,"waynesburg","PA"
"university of massachusetts amherst","public",23373,"moderately difficult",0.6,40703,"amherst","MA"
"webb institute","private",92,"most difficult",0.29,116,"glen cove","NY"
"wellesley college","private",2356,"most difficult",0.3,4555,"wellesley","MA"
"university of massachusetts boston","public",12847,"moderately difficult",0.69,9886,"boston","MA"
"medaille college","private",1803,"moderately difficult",0.54,1505,"buffalo","NY"
"wells college","private",515,"moderately difficult",0.58,2222,"aurora","NY"
"mercy college","private",7157,"moderately difficult",0.78,6617,"dobbs ferry","NY"
"mercyhurst university","private",2494,"moderately difficult",0.75,3254,"erie","PA"
"wentworth institute of technology","private",3974,"moderately difficult",0.71,7556,"boston","MA"
"carnegie mellon university","private",6673,"most difficult",0.22,21189,"pittsburgh","PA"
"wesleyan university","private",2971,"most difficult",0.18,11928,"middletown","CT"
"merrimack college","private",3448,"moderately difficult",0.82,8214,"north andover","MA"
"west chester university of pennsylvania","public",14398,"moderately difficult",0.64,12609,"west chester","PA"
"messiah college","private",2788,"moderately difficult",0.8,2596,"mechanicsburg","PA"
"castleton state college","public",1985,"moderately difficult",0.78,2397,"castleton","VT"
"western connecticut state university","public",5181,"moderately difficult",0.67,5484,"danbury","CT"
"western new england university","private",2724,"moderately difficult",0.8,6399,"springfield","MA"
"middlebury college","private",2532,"most difficult",0.16,8819,"middlebury","VT"
"westfield state university","public",5610,"moderately difficult",0.78,4740,"westfield","MA"
"millersville university of pennsylvania","public",6980,"moderately difficult",0.69,6943,"millersville","PA"
"cedar crest college","private",1428,"moderately difficult",0.66,1193,"allentown","PA"
