"University","CostIState","CostOState"
"Cedar Crest College",52150,52150
"Westminster College",49750,49750
"Centenary University",43690,43690
"Wheelock College",54725,54725
"Central Connecticut State University",25215,37904
"Wheaton College",65818,65818
"Widener University",61218,61218
"Chatham University",53176,53176
"Wilkes University",53966,53966
"Chestnut Hill College",55362,55362
"William Paterson University",28762,36800
"Cheyney University of Pennsylvania",23963,28833
"Clarion University of Pennsylvania",26898,30644
"Williams College",70650,70650
"Wilson College",39496,39496
"Clark University",55010,55010
"Clarkson University",66106,66106
"Colby College",69082,69082
"Worcester Polytechnic Institute",64846,64846
"Colgate University",69860,69860
"Molloy College",50184,50184
"Monmouth University",55072,55072
"Cooper Union for the Advancement of Science and Art",65345,65345
"Worcester State University",21662,27742
"Drew University",66586,66586
"Montclair State University",29531,37643
"Moore College of Art and Design",60454,60454
"Yale University",71290,71290
"Yeshiva University",61778,61778
"Gannon University",46876,46876
"York College of Pennsylvania",33460,33460
"Colby-Sawyer College",55786,55786
"Fitchburg State University",23363,29443
"Green Mountain College",50274,50274
"LIM College",50300,50300
"Moravian College",58718,58718
"Mount Holyoke College",63900,63900
"Johnson & Wales University",48057,48057
"Mount St. Mary College",47298,47298
"California State University Long Beach",24200,36080
"College of Mount St. Vincent",49525,49525
"Ohio State Universitiy at Lima",NA,NA
"Ohio State University at Mansfield",21195,40299
"Ohio State Universitity at Marion",NA,NA
"Ohio State University at Newark",22351,41455
"Clarkson College",NA,NA
"University of Puerto Rico at Rio Piedras ",14880,14880
"Paul Quinn College",15595,15595
"Wiley College",23086,23086
"Ursuline College",43596,43596
"University of Maine at Augusta",NA,NA
"University of Texas at Dallas",28360,50476
"Williams Baptist College",29370,29370
"American University of Puerto Rico",NA,NA
"Inter American University of Puerto Rico - San German Campus",NA,NA
"University of Puerto Rico at Humacao",NA,NA
"Polytechnic University of Puerto Rico",NA,NA
"Lindsey Wilson College",39789,39789
"Mount Olive College",31400,31400
"Schreiner University",38502,38502
"Heritage University",NA,NA
"Bayamon Central University",NA,NA
"College of St. Joseph",39200,39200
"Christendom College",36756,36756
"University of Phoenix",NA,NA
"Pacific Oaks College",NA,NA
"East-West University",NA,NA
"Farmingdale State College",24168,33818
"Mount Ida College",52472,52472
"Warner Pacific College",37870,37870
"Cazenovia College",50216,50216
"University of Akron",26086,34617
"Albion College",56750,56750
"Baptist Bible College",21950,21950
"Beloit College",59842,59842
"Bemidji State University",20631,20631
"Bethel College",40630,40630
"Bethel University",50350,50350
"Blackburn College",31402,31402
"Bluffton University",46156,46156
"Bowling Green State University",24589,32125
"Bradley University",46606,46606
"Briar Cliff University",43426,43426
"Buena Vista University",45619,45619
"Butler University",57055,57055
"Calumet College of St. Joseph",NA,NA
"Calvin College",46790,46790
"Capital University",48674,48674
"Cardinal Stritch University",42654,42654
"Carleton College",68835,68835
"Carroll University",44150,44150
"Carthage College",57650,57650
"Cedarville University",39804,39804
"Central College",50531,50531
"Central Methodist University",35140,35140
"Central Michigan University",24184,35344
"University of Central Missouri",19456,26086
"Central State University",19330,21180
"Chicago State University",26510,35210
"University of Chicago",74526,74526
"Cincinnati Christian University ",29772,29772
"University of Cincinnati",28156,43490
"Clarke University",45900,45900
"Cleary University",33060,33060
"Cleveland Institute of Art",58860,58860
"Cleveland Institute of Music",66701,66701
"Cleveland State University",25896,29947
"Coe College",55240,55240
"Columbia College Chicago",44904,44904
"Columbia College",34020,34020
"Columbus College of Art and Design",48830,48830
"Conception Seminary College",36635,36635
"Concordia University Chicago",43610,43610
"Concordia University Ann Arbor",42636,42636
"Concordia College",49488,49488
"Concordia University St. Paul",34500,34500
"Concordia University Wisconsin",40630,40630
"Cornell College",54933,54933
"Culver-Stockton College",38850,38850
"University of Dayton",58680,58680
"Defiance College",46100,46100
"Denison University",64320,64320
"DePaul University",57034,57034
"DePauw University",62667,62667
"University of Detroit Mercy",57146,57146
"DeVry University - Chicago",NA,NA
"DeVry University - Columbus",NA,NA
"Martin Luther College",21270,21270
"Drake University",54020,54020
"Drury University",39441,39441
"University of Dubuque",41010,41010
"Kettering University",58344,58344
"Grace College",36012,36012
"Hanover College",50450,50450
"Benedictine University",47550,47550
"Indiana Institute of Technology",40290,40290
"Indiana University Kokomo",NA,NA
"Kendall College",NA,NA
"Lake Erie College",44732,44732
"Lakeland University",41018,41018
"Lindenwood University",30560,30560
"Manchester University",44028,44028
"Marietta College",47360,47360
"McKendree University",42440,42440
"Metropolitan State University",NA,NA
"Rochester College",33986,33986
"University of Michigan",29526,62176
"Millikin University",47764,47764
"Milwaukee Institute of Art & Design",48166,48166
"Missouri Southern State University",16932,22433
"Mount Mercy University",44806,44806
"North Central College",51228,51228
"University of Northern Iowa",20430,30972
"Northwestern College",43650,43650
"University of Northwestern St. Paul",43404,43404
"Northwood University",41378,41378
"Notre Dame College",42740,42740
"Oakland City University",39042,39042
"Ohio University",27142,36606
"Ohio Wesleyan University",60190,60190
"Rockford University",42920,42920
"University of St. Francis",44628,44628
"Saint Mary's College",55200,55200
"College of St. Scholastica",49104,49104
"Saint Xavier University",47776,47776
"Columbia University",74173,74173
"Connecticut College",69440,69440
"University of Connecticut",31044,53112
"John Jay College of Criminal Justice",NA,NA
"Dartmouth College",72853,72853
"College of Staten Island (City University of New York)",31349,42219
"City College of New York",NA,NA
"Daemen College",43459,43459
"Drexel University",68792,68792
"Duquesne University",52108,52108
"Edinboro University",22716,27102
"Elmira College",55050,55050
"Elms College",50792,50792
"Framingham State University",24876,30956
"Franklin Pierce University",50177,50177
"Hamilton College",68170,68170
"Hampshire College",66964,66964
"University of Hartford",54662,54662
"Hobart and William Smith Colleges",69160,69160
"Hofstra University",61460,61460
"Holy Family University",46552,46552
"Immaculata University",45960,45960
"Grand Valley State University",21694,26764
"Indiana University - Purdue University Fort Wayne",NA,NA
"Indiana University of Pennsylvania",27496,31232
"Kutztown University of Pennsylvania",24553,28299
"La Roche College",42570,42570
"La Salle University",46136,46136
"Lebanon Valley College",57140,57140
"Le Moyne College",49995,49995
"Lesley University",46250,46250
"Lock Haven University of Pennsylvania",26484,35722
"Lycoming College",54023,54023
"New England Conservatory of Music",66030,66030
"University of New Hampshire",33000,47570
"University of New Haven",56380,56380
"College of New Rochelle",52954,52954
"New York University",72900,72900
"Massachusetts College of Liberal Arts",21034,29979
"Norwich University",56234,56234
"Iona College",55864,55864
"LIU Post",55198,55198
"Juniata College",58165,58165
"Houghton College",44408,44408
"Husson University",30759,30759
"Harvard College",69510,69510
"Grove City College",28504,28504
"Gordon College",50066,50066
"Geneva College",38180,38180
"Medgar Evers College (City University of New York)",NA,NA
"Emmanuel College",56737,56737
"Emerson College",66539,66539
"Eastern Nazarene College",44474,44474
"Fairfield University",64325,64325
"Brandeis University",70943,70943
"College of Saint Benedict",56880,56880
"Eastern Connecticut State University",27020,38478
"Northeastern University",68537,68537
"Alma College",49410,49410
"Avila University",40320,40320
"Augustana College",53422,53422
"School of the Art Institute of Chicago",65090,65090
"Anderson University",43450,43450
"Andrews University",40814,40814
"Aurora University",37752,37752
"Art Academy of Cincinnati",NA,NA
"Alabama State University",21482,29810
"Alabama A&M University",22767,30987
"University of Alabama at Birmingham",26846,40226
"University of Alabama in Huntsville",25633,36833
"University of Alabama",26074,43394
"Albany State University",19082,32158
"Alice Lloyd College",24190,24190
"Alcorn State University",22918,22918
"Alderson-Broaddus College",38750,38750
"Lyon College",39120,39120
"American University",63038,63038
"Appalachian State University",19158,33965
"Arkansas State University",23071,29371
"Arkansas Tech University",20481,27261
"University of Arkansas",24916,40162
"University of Arkansas at Little Rock",22535,34790
"University of Arkansas at Monticello",19211,25061
"University of Arkansas at Pine Bluff",18292,24544
"Armstrong State University",23174,36250
"Asbury University",40460,40460
"Barton College",45454,45454
"Baptist College of Florida",21662,21662
"Auburn University",31282,49954
"Auburn University at Montgomery",20480,31880
"Austin Peay State University",24473,40469
"Averett University",46344,46344
"University of Baltimore",NA,NA
"Charleston Southern University",36100,36100
"Barry University",46584,46584
"Belhaven University",34850,34850
"Bellarmine University",58476,58476
"Belmont Abbey College",32990,32990
"Belmont University",57740,57740
"Benedict College",32930,32930
"Bennett College",32904,32904
"Berea College",35394,35394
"Berry College",50632,50632
"Bethany College",42624,42624
"Bethel University",31570,31570
"Bethune-Cookman University",29212,29212
"Birmingham-Southern College",48841,48841
"Blue Mountain College",22103,22103
"Bluefield College",37783,37783
"Bluefield State College",NA,NA
"Lynn University",55923,55923
"Bowie State University",22545,33134
"Brenau University",44878,44878
"Brescia University",34550,34550
"Bryan College",36775,36775
"New York School of Interior Design",56250,56250
"University of New Hampshire at Manchester",NA,NA
"Southeastern Baptist Theological Seminary",NA,NA
"Mt. Sierra College",NA,NA
"Culinary Institute of America",46846,46846
"Paier College of Art",NA,NA
"Schiller International University",NA,NA
"Brevard College",42650,42650
"Florida College",29862,29862
"South University - Savannah",NA,NA
"Charles R. Drew University of Medicine and Science",NA,NA
"Florida Gulf Coast University",20443,39486
"Fairleigh Dickinson University - College at Florham",60426,60426
"Coleman University",NA,NA
"University of Advancing Technology",37950,37950
"University of the Potomac",NA,NA
"Platt College",NA,NA
"Art Institute of California - San Diego",NA,NA
"Laguna College of Art + Design",NA,NA
"Columbia College Hollywood",40459,40459
"Art Institute of California - San Francisco",NA,NA
"NewSchool of Architecture & Design",NA,NA
"Pacific States University",NA,NA
"Rocky Mountain College of Art & Design",NA,NA
"Hodges University",NA,NA
"Trinity College of Florida",27140,27140
"Illinois Institute of Art - Chicago",NA,NA
"St. John's College",NA,NA
"Waldorf College",33612,33612
"Cambridge College",NA,NA
"Newbury College",52470,52470
"Finlandia University",33958,33958
"Thomas More College of Liberal Arts",32900,32900
"St. Gregory's University",35626,35626
"Utah Valley University",NA,NA
"Vermont Technical College",27830,40142
"Northwest College of Art and Design",NA,NA
"Northwestern Polytechnic University",NA,NA
"DeVry University - New York",NA,NA
"Sterling College",51084,51084
"Penn State Abington",NA,NA
"International Fine Arts College",NA,NA
"Illinois Institute of Art - Schaumburg",NA,NA
"Shasta Bible College",NA,NA
"Beulah Heights University",NA,NA
"Everest University - Tampa",NA,NA
"DeVry University - North Brunswick",NA,NA
"Art Institute of Pittsburgh",NA,NA
"Dixie State College",20186,29654
"Johnson & Wales University",47678,47678
"Penn State Schuylkill",29452,37370
"Penn State Lehigh Valley",NA,NA
"Penn State Berks",34218,42720
"DeVry University - Orlando",NA,NA
"Penn State Altoona",33098,41600
"Peirce College",NA,NA
"Art Institute of California - Orange County",NA,NA
"Art Institute of Washington",NA,NA
"Mitchell College",48892,48892
"Stevens-Henager College, Ogden",NA,NA
"Bethany Lutheran College",37470,37470
"Paul Smith's College",41991,41991
"University of Arkansas at Fort Smith",19411,28252
"DeVry University - Crystal City",NA,NA
"Cabarrus College of Health Sciences",NA,NA
"Muhlenberg College",65330,65330
"California State University Sacramento",26526,38406
"Nazareth College",50634,50634
"Neumann University",46028,46028
"Bellevue University",19222,19222
"Misericordia University",47460,47460
"New England College",54578,54578
"Art Center College of Design",NA,NA
"Augustana University",42368,42368
"Colorado School of Mines",33648,52698
"University of California, Santa Barbara",33324,61338
"Chaminade University of Honolulu",41107,41107
"University of Alaska Anchorage",28184,43574
"Concordia University Nebraska",42520,42520
"East Central University",16843,25963
"Alaska Pacific University",32760,32760
"Montana State University - Billings",19179,31944
"Eastern New Mexico University",18201,23976
"University of Great Falls",35150,35150
"Eastern Oregon University",22846,34166
"Fort Lewis College",24839,34991
"Jamestown College",33214,33214
"University of Colorado Colorado Springs",26701,40681
"Embry-Riddle Aeronautical University - Prescott",52290,52290
"University of California, Davis",36499,64513
"Montana State University",21273,37977
"Hawaii Pacific University",38704,38704
"Midland University",43820,43820
"California State University East Bay",25092,36972
"University of Mary Hardin-Baylor",39622,39622
"California Maritime Academy",23304,35184
"Grand Canyon University",35870,35870
"Caldwell University",50510,50510
"Abilene Christian University",48300,48300
"Creighton University",53452,53452
"Chapman University",69464,69464
"Azusa Pacific University",52396,52396
"Humboldt State University",24722,36602
"Bethany College",43603,43603
"Texas A&M International University",19400,31784
"California Polytechnic State University, San Luis Obispo",27153,39033
"Newman University",40910,40910
"College of Idaho",41489,41489
"Colorado College",67546,67546
"Colorado Technical University",NA,NA
"Dakota Wesleyan University",37950,37950
"Marylhurst University",NA,NA
"University of Nevada, Reno",24006,38194
"Mount Marty College",39418,39418
"McMurry University",40470,40470
"Willamette University",60988,60988
"Austin College",52934,52934
"University of Texas of the Permian Basin",20576,33026
"Biola University",51286,51286
"Texas A&M University - Corpus Christi",22504,34802
"Chadron State College",17831,17861
