"University","CostIState","CostOState"
"University of Michigan - Flint",24721,35041
"California State University Dominguez Hills",NA,NA
"Johnson C. Smith University",32136,32136
"Rollins College",67695,67695
"Mississippi University for Women",18019,29560
"Delaware Valley University",54750,54750
"Georgia College and State University",26466,45180
"University of Georgia",25314,43888
"St. Norbert College",48110,48110
"Lewis University",45340,45340
"St. Ambrose University",44838,44838
"Pfeiffer University",44682,44682
"University of Illinois at Chicago",27034,39890
"Missouri Western State University",18682,25110
"University of Illinois at Urbana-Champaign",31216,47336
"Brigham Young University - Hawaii",18264,18264
"California College of the Arts",NA,NA
"North Park University",41210,41210
"Missouri Baptist University",40294,40294
"University of Mount Union",42725,42725
"Missouri Valley College",35770,35770
"Miami University",31946,51198
"University of Minnesota, Duluth",24424,29542
"University of Minnesota, Twin Cities",27469,39655
"Ashford University",NA,NA
"MacMurray College",NA,NA
"Minnesota State University Mankato",18046,26097
"Malone University",43400,43400
"Maharishi University of Management",39730,39730
"Grinnell College",65814,65814
"Greenville College",39070,39070
"Indiana University Northwest",NA,NA
"Illinois College",42830,42830
"Indiana University Southeast",NA,NA
"Hamline University",52178,52178
"Lincoln University",19657,26197
"Illinois Institute of Technology",62486,62486
"Edgewood College",42690,42690
"Indiana University - Purdue University Indianapolis",21701,42173
"Harris-Stowe State University",16734,21367
"Ohio Dominican University",45220,45220
"Loras College",43837,43837
"Juilliard School",64468,64468
"Nichols College",51400,51400
"Kean University",29261,36163
"Ithaca College",61339,61339
"Eugene Lang College The New School for Liberal Arts",67688,67688
"Lyndon State College",24620,36788
"Keene State College",27354,36100
"Graceland University",41120,41120
"Keuka College",47568,47568
"Ferris State University",24178,30268
"Evangel University",35675,35675
"Elizabeth City State University",13696,26840
"Haverford College",71374,71374
"Johnson State College",24570,37530
"Howard University",43501,43501
"Western New Mexico University",19934,28341
"Duke University",72554,72554
"Fort Valley State University",16836,29912
"East Carolina University",17418,33695
"Eastern Mennonite University",49600,49600
"Hampton University",40060,40060
"Faulkner University",34570,34570
"Grambling State University",22311,31334
"Florida Memorial University",28234,28234
"Goldey-Beacom College",NA,NA
"Harding University",29698,29698
"Fayetteville State University",15119,26727
"Florida Agricultural and Mechanical University",24153,36094
"George Mason University",28288,50734
"Emory University",66950,66950
"Florida Southern College",49900,49900
"Guilford College",49497,49497
"New York Institute of Technology",54178,54178
"Freed-Hardeman University",34950,34950
"Gallaudet University",37188,37188
"University of New Mexico",21844,36735
"Louisiana State University",29704,46381
"University of Miami",66274,66274
"Jackson State University",20123,30816
"Kentucky State University",19056,30510
"Lane College",21610,21610
"University of Maryland Baltimore County",27066,41202
"Livingstone College",29130,29130
"Morris College",25270,25270
"Maryland Institute College of Art",62850,62850
"Milligan College",43934,43934
"Mississippi Valley State University",20265,20265
"Millsaps College",55280,55280
"Mount St. Mary's University",56080,56080
"Maryville College",49266,49266
"Rowan University",30985,39453
"Mississippi College",32302,32302
"University of Montevallo",24112,36742
"Oral Roberts University",41024,41024
"Goddard College",18508,18508
"University of Nebraska - Kearney",22070,28850
"California Institute of the Arts",66453,66453
"Brigham Young University",18370,18370
"Mercer University",51293,51293
"California State University Stanislaus",16804,28684
"Baylor University",60413,60413
"Southern University at New Orleans",20277,29178
"California State University San Bernardino",24685,36565
"Spalding University",36875,36875
"California State Polytechnic University, Pomona",25939,37819
"Norfolk State University",24371,36573
"California State University Los Angeles",24518,36398
"Felician College",48780,48780
"Boise State University",21932,37248
"California State University Chico",24312,36192
"Benedictine College",38450,38450
"Nicholls State University",20591,21684
"University of Louisiana at Lafayette",23498,37226
"Southern University and Agricultural and Mechanical College",22218,29568
"Meredith College",49234,49234
"Fairleigh Dickinson University - Metropolitan Campus",58214,58214
"University of California, Berkeley",36015,64029
"University of California, San Diego",31567,59581
"North Carolina Central University",21003,33710
"University of California, Los Angeles",31916,59930
"New Mexico State University",20820,36399
"Curry College",57306,57306
"Arizona State University",27530,44110
"Lubbock Christian University",34152,34152
"Dallas Baptist University",39453,39453
"Idaho State University",21111,35887
"University of Hawaii at Manoa",29316,51348
"Hastings College",42340,42340
"University of Houston - Clear Lake",NA,NA
"Huston-Tillotson University",21914,21914
"University of Hawaii at Hilo",18726,31686
"Howard Payne University",39890,39890
"Lamar University",24151,36601
"John F. Kennedy University",NA,NA
"Colorado Mesa University",24297,37107
"MidAmerica Nazarene University",42042,42042
"University of Nebraska - Lincoln",24840,40140
"Langston University",19426,26775
"Hope International University",46689,46689
"Northern Arizona University",27073,40855
"Mills College",63767,63767
"Minot State University",17754,17754
"Mount St. Mary's University",59028,59028
"Nebraska Wesleyan University",46526,46526
"National University",NA,NA
"Northern State University",20770,23699
"Pepperdine University",70862,70862
"University of Northern Colorado",24617,36203
"Montana State University - Northern",12331,24531
"Peru State College",14856,14886
"University of Redlands",66877,66877
"Northwest Nazarene University",39690,39690
"Pacific Union College",42576,42576
"Pitzer College",70500,70500
"Occidental College",71756,71756
"San Francisco Art Institute",65395,65395
"St. John's College",66183,66183
"Seattle Pacific University",56415,56415
"Samuel Merritt University",NA,NA
"University of San Francisco",65980,65980
"Tarleton State University",23049,35032
"University of South Dakota",22186,25434
"Vanguard University of Southern California",47000,47000
"University of Southern California",72277,72277
"Texas Southern University",25508,37958
"Woodbury University",55058,55058
"Texas Woman's University",21495,33945
"Whittier College",62189,62189
"Southwestern College",42821,42821
"Colorado State University - Pueblo",24616,40074
"Utah State University",17898,31450
"Westminster College",46904,46904
"Southern Methodist University",72884,72884
"Fordham University",72239,72239
"Baruch College (City University of New York)",NA,NA
"Concordia College New York",46306,46306
"Lehman College (City University of New York)",NA,NA
"Wichita State University",24772,33730
"Covenant College",45920,45920
"Kentucky Christian University",27336,27336
"Dickinson College",69971,69971
"Tabor College",41225,41225
"Golden Gate University",NA,NA
"McPherson College",41636,41636
"Texas A&M University - Commerce",21862,34312
"Concordia University Irvine",49980,49980
"Eastern Washington University",22118,38870
"Fresno Pacific University",41810,41810
"Queens College (City University of New York)",NA,NA
"Doane College",42340,42340
"Southern New Hampshire University",50436,50436
"University of the Sacred Heart",NA,NA
"Saint Mary's College of California",65574,65574
"Pontifical Catholic University of Puerto Rico",NA,NA
"University of Texas at El Paso",NA,NA
"University of Puerto Rico at Bayamon",NA,NA
"Franklin & Marshall College",70730,70730
"Universidad Adventista de las Antillas",17370,17370
"University of Puerto Rico at Cayey",NA,NA
"Lincoln University",25656,30666
"University of Puerto Rico at Ponce",NA,NA
"Jacksonville University",53150,53150
"University of Puerto Rico at Arecibo",NA,NA
"California Baptist University",49046,49046
"University of Puerto Rico at Mayaguez",NA,NA
"Georgetown University",72214,72214
"Ball State University",24280,40448
"Aquinas College",42870,42870
"Ashland University",30302,30302
"Alverno College",40418,40418
"Augsburg College",51504,51504
"Baldwin Wallace University",46004,46004
"Adrian College",52074,52074
"Canisius College",52172,52172
"Lewis & Clark College",64186,64186
"Murray State University",22390,36778
"Carroll College",48754,48754
"Curtis Institute of Music",NA,NA
"New Jersey Institute of Technology",36498,51518
"Niagara University",47400,47400
"Nyack College",40395,40395
"Elon University",49642,49642
"Emory & Henry College",50270,50270
"Ferrum College",46560,46560
"Fisk University",36470,36470
"Georgia State University",25430,44004
"University of Colorado Boulder",30180,54314
"University of Dallas",54976,54976
"Friends University",44235,44235
"Five Towns College",37280,37280
"Edward Waters College",25283,25283
"Hellenic College ",41282,41282
"Judson College",31972,31972
"Kansas City Art Institute",54450,54450
"Philander Smith College",25137,25137
"Empire State College",NA,NA
"Cumberland University",37900,37900
"Lourdes University",35290,35290
"Thomas Edison State College",NA,NA
"Union Institute & University",NA,NA
"University of Pittsburgh at Greensburg",NA,NA
"Loma Linda University",NA,NA
"Concordia University Texas",42280,42280
"Athens State University",NA,NA
"Brewton-Parker College",30073,30073
"Life University",31265,31265
"Rush University",NA,NA
"Indiana University East",NA,NA
"Louisiana State University Health Sciences Center",NA,NA
"Bay Path College",49356,49356
"Endicott College",50306,50306
"Baker College of Flint",NA,NA
"University of Nebraska Medical Center",NA,NA
"Granite State College",NA,NA
"Beth Medrash Govoha",24960,24960
"Vaughn College of Aeronautics and Technology",44759,44759
"Metropolitan College of New York",NA,NA
"SUNY Downstate Medical Center",NA,NA
"Chowan University",36320,36320
"Lees-McRae College",43570,43570
"Oregon Health & Science University",NA,NA
"Anderson University",42065,42065
"Medical University of South Carolina",NA,NA
"Oglala Lakota College",NA,NA
"Texas A&M University - Texarkana",20026,34291
"University of Houston - Victoria",20002,32452
"University of Texas Medical Branch",NA,NA
"City University of Seattle",NA,NA
"Midway College",35330,35330
"Clayton State University",20696,33772
"Shawnee State University",23112,28920
"Wisconsin Lutheran College",41996,41996
"Humphreys College",NA,NA
"Hilbert College",33350,33350
"Champlain College",58034,58034
"Art Institute of Portland",NA,NA
"Lasell College",52900,52900
"Mount Aloysius College",38268,38268
"Alfred State College",24859,34509
"Charter Oak State College",NA,NA
"Martin University",NA,NA
"Montserrat College of Art",NA,NA
"Chamberlain College of Nursing",NA,NA
"Montreat College",37021,37021
"Valley Forge University",33764,33764
"Presentation College",31475,31475
"Sinte Gleska University",NA,NA
"Criswell College",NA,NA
"Southwestern Christian College",15890,15890
"Arkansas Baptist College",22511,22511
"Central Baptist College",23850,23850
"Life Pacific College",27861,27861
"Lincoln University",NA,NA
"Emmanuel College",31490,31490
"Lincoln Christian University",26137,26137
"Great Lakes Christian College",26606,26606
"Research College of Nursing",52170,52170
"Grace University",33942,33942
"Piedmont International University",21535,21535
"Trinity Bible College",26250,26250
"Mid-America Christian University",30752,30752
"Allen University",22720,22720
"University of Minnesota, Crookston",23346,23346
"State University of New York College of Agriculture and Technology at Cobleskill",NA,NA
"Art Institute of Fort Lauderdale",NA,NA
"Thomas University",NA,NA
"University of Maryland University College",NA,NA
"University of Mississippi Medical Center",NA,NA
"California State University San Marcos",24971,36851
"O'More College of Design",NA,NA
"Concordia College Alabama",16820,16820
"York College",28510,28510
"Design Institute of San Diego",NA,NA
"Holy Apostles College and Seminary",NA,NA
"Rabbinical College of America",18600,18600
"Talmudical Academy of New Jersey",16000,16000
"The Jewish Theological Seminary",NA,NA
"Excelsior College",NA,NA
"Heritage Christian University",17272,17272
"Amridge University",NA,NA
"Johnson University Florida",NA,NA
"St. John Vianney College Seminary",30960,30960
"Talmudic University",22150,22150
"Point University",28500,28500
"Reinhardt University",46048,46048
"Clear Creek Baptist Bible College",18209,18209
"Kentucky Mountain Bible College",17629,17629
"Sullivan University",NA,NA
"Ner Israel Rabbinical College",18500,18500
"Southeastern Baptist College",NA,NA
"John Wesley University",NA,NA
"Mid-Atlantic Christian University",26800,26800
"North Greenville University",35565,35565
"American Baptist College",23274,23274
"Martin Methodist College",41000,41000
"Appalachian Bible College",26250,26250
"Ohio Valley University",31800,31800
"Blessing-Reiman College of Nursing",NA,NA
"Saint Anthony College of Nursing",NA,NA
"Saint Francis Medical Center College of Nursing",NA,NA
"Resurrection University",NA,NA
"Divine Word College",19599,19599
"Emmaus Bible College",27870,27870
"Grace Bible College",30287,30287
"Kuyper College",31746,31746
"Sacred Heart Major Seminary",30530,30530
"Oak Hills Christian College",24694,24694
"Central Christian College of the Bible",16910,16910
"St. Louis Christian College",19905,19905
"Saint Luke's College of Health Sciences",NA,NA
"Ohio Christian University",36286,36286
"God's Bible School and College",16015,16015
"Mount Carmel College of Nursing",NA,NA
"Ozark Christian College",21248,21248
"Alaska Bible College",15400,15400
"Arizona Christian University",NA,NA
"William Jessup University",45859,45859
"Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary",23300,23300
"Naropa University",50382,50382
"Nazarene Bible College",NA,NA
"Southwestern Christian University",27330,27330
"New Hope Christian College",26193,26193
"Arlington Baptist College",21670,21670
"Baptist Missionary Association Theological Seminary",NA,NA
"Dallas Christian College",28010,28010
"Bastyr University",41345,41345
"Boise Bible College",21215,21215
"Barclay College",31120,31120
"Central Christian College of Kansas",36210,36210
"Salish Kootenai College",NA,NA
"Nebraska Christian College",29240,29240
"Nebraska Methodist College",NA,NA
"Becker College",55710,55710
"Johnson & Wales University",47678,47678
"William Peace University",44030,44030
"Robert Morris University",45072,45072
"Maranatha Baptist Bible College",23150,23150
"Goldfarb School of Nursing at Barnes-Jewish College",NA,NA
"Columbia College of Nursing",NA,NA
"Bellin College",NA,NA
"Davis College",27200,27200
"Allen College",33994,33994
"Lakeview College of Nursing",NA,NA
"Yehiva Gedolah of Greater Detroit",12000,12000
"Pennsylvania College of Technology",32561,39491
"The Art Institute of Atlanta",NA,NA
"Caribbean University",NA,NA
"Universidad del Este",NA,NA
"University of Puerto Rico, Medical Sciences Campus",NA,NA
"Inter American University of Puerto Rico - Aguadilla Campus",NA,NA
"Inter American University of Puerto Rico - Arecibo Campus",NA,NA
"Inter American University of Puerto Rico - Barranquitas Campus",NA,NA
"Inter American University of Puerto Rico - Bayamon Campus",NA,NA
"Inter American University of Puerto Rico - Fajardo Campus",NA,NA
"Inter American University of Puerto Rico - Guayama Campus",NA,NA
"Inter American University of Puerto Rico - Ponce Campus",NA,NA
"Universidad del Turabo",NA,NA
"Universidad Metropolitana",NA,NA
"Columbia University, School of General Studies",70828,70828
"Aquinas College",38781,38781
"Interior Designers Institute",NA,NA
"Rutgers, The State University of New Jersey - Camden",31696,47119
"Rutgers, The State University of New Jersey",32191,48132
"Rutgers, The State University of New Jersey - Newark",32452,48393
"Bridgewater College",49690,49690
"Campbell University",43790,43790
"Campbellsville University",38080,38080
"Capitol College",NA,NA
"Carson-Newman University",40640,40640
"Catawba College",44921,44921
"Claflin University",32164,32164
"Catholic University of America",62482,62482
"Centenary College of Louisiana",52750,52750
"University of Central Arkansas",21854,28377
"Southern Wesleyan University",36710,36710
"University of Central Florida",22501,38600
"Centre College",54280,54280
"College of Charleston",29565,47953
"University of Charleston",43900,43900
"Christian Brothers University",42740,42740
"Christopher Newport University",29680,41476
"The Citadel",32535,54298
"Clark Atlanta University",37032,37032
"Clemson University",29258,50200
"Coker College",39796,39796
"Columbia College",32650,32650
"Columbia International University",34750,34750
"Washington Adventist University",34530,34530
"Columbus State University",21530,35012
"Concord University",21135,30215
"Converse College",34540,34540
"Coppin State University",20516,26664
"University of the Cumberlands",38200,38200
"Lipscomb University",47706,47706
"Agnes Scott College",54065,54065
"Eckerd College",59200,59200
"Francis Marion University",23237,33413
"Furman University",63706,63706
"Georgia Institute of Technology",23850,44446
"Glenville State College",NA,NA
"Hampden-Sydney College",61170,61170
"High Point University",51105,51105
"Hollins University",54205,54205
"Huntingdon College",38585,38585
"Kentucky Wesleyan College",38690,38690
"King College",41936,41936
"LaGrange College",44930,44930
"Lee University",30130,30130
"LeMoyne-Owen College",20580,20580
"Limestone College",40982,40982
"Longwood University",27819,42759
"Louisiana College",25463,25463
"Mars Hill University",43204,43204
"McNeese State University",20582,31658
"Methodist University",53235,53235
"DeVry University - Atlanta",NA,NA
"Florida Atlantic University",24567,40123
"Welch College",32919,32919
"Frostburg State University",21586,34934
"Johnson University",22390,22390
"Georgia Southwestern State University",20436,33512
"Miles College",22566,22566
"Georgia Southern University",24346,37828
"Kennesaw State University",18112,31838
"Georgia Regents University",20288,39326
"Louisiana State University Shreveport",NA,NA
"Hendrix College",60096,60096
"Hood College",54840,54840
"Johns Hopkins University",71023,71023
"University of Mary Washington",27134,42380
"University of West Alabama",25274,32888
"University of North Carolina School of the Arts",21862,37732
"Tennessee Wesleyan College",35250,35250
"University of North Alabama",20816,29126
"Morehouse College",48723,48723
"Lenoir-Rhyne University",51260,51260
"Lander University",24246,33846
"North Carolina A&T State University",17303,30193
"Louisiana Tech University",20844,41886
"New College of Florida",20650,43678
"University of New Orleans",23942,28778
"Morgan State University",22982,33048
"Marymount University",46411,46411
"University of Maryland",26093,49300
"Loyola University New Orleans",56986,56986
"Lincoln Memorial University",34430,34430
"University of Memphis",20481,32194
"Morehead State University",22163,26633
"Liberty University",41476,41476
"University of Kentucky",28004,44088
"Middle Tennessee State University",23757,42387
"Mississippi State University",24370,38410
"Lynchburg College",51490,51490
"University of Mississippi",18983,34247
"George Washington University",70443,70443
"Embry-Riddle Aeronautical University - Daytona Beach",53542,53542
"Talladega College",22514,22514
"University of Tampa",43708,43708
"Tennessee State University",20485,33841
"Tennessee Technological University",26089,42745
"University of Tennessee at Chattanooga",22718,40612
"University of Tennessee",29266,47456
"University of Tennessee at Martin",20156,25916
"Thomas More College",40668,40668
"Toccoa Falls College",36200,36200
"Tougaloo College",21807,21807
"Towson University",26418,38864
"Transylvania University",50550,50550
"Trevecca Nazarene University",42372,42372
"Trinity Washington University",37360,37360
"Troy University",24536,34648
"Tulane University",70764,70764
"Tusculum College",37520,37520
"Tuskegee University",39481,39481
"Union College",38520,38520
"Union University",50128,50128
"United States Naval Academy",NA,NA
"Valdosta State University",21094,34576
"Vanderbilt University",67392,67392
"Stevenson University",52234,52234
"University of the Virgin Islands",19915,29176
"Virginia Commonwealth University",28361,47733
"Virginia Military Institute",30600,56288
"Virginia Polytechnic Institute and State University",26010,43190
"Virginia State University",22581,32696
"Virginia Union University",30255,30255
"University of Virginia",32141,61994
"University of Virginia's College at Wise",24103,40663
"Virginia Wesleyan College",49703,49703
"Voorhees College",27836,27836
"Wake Forest University",70558,70558
"Warner University",33964,33964
"Warren Wilson College",49744,49744
"Washington College",59580,59580
"Washington and Lee University",65770,65770
"Webber International University",40048,40048
"Wesley College",42448,42448
"Wesleyan College",33940,33940
"University of West Florida",17831,30713
"University of West Georgia",25905,39387
"West Liberty University",20442,28082
"West Virginia University Institute of Technology",21784,32368
"West Virginia State University",20035,28442
"West Virginia University",22472,37712
"West Virginia Wesleyan College",45253,45253
"Western Carolina University",19560,29953
"Western Kentucky University",22229,37539
"College of William and Mary",37386,58441
"Wilmington University",NA,NA
"Wingate University",46700,46700
"Winston-Salem State University",18668,28915
"Winthrop University",28566,42482
"North Carolina State University",23700,42048
"University of North Carolina at Asheville",19708,36431
"University of North Carolina at Chapel Hill",25407,50990
"University of North Carolina at Charlotte",22151,35585
"University of North Carolina at Greensboro",19149,34308
"University of North Carolina at Wilmington",24661,38677
"North Carolina Wesleyan College",43400,43400
"University of North Florida",21210,34928
"University of North Georgia",19940,33752
"University of Louisiana at Monroe",15950,28048
"Northern Kentucky University",22104,31464
"Northwestern State University of Louisiana",21357,32145
"Notre Dame of Maryland University",51490,51490
"Nova Southeastern University",45430,45430
"Oakwood University",33922,33922
"Oglethorpe University",53490,53490
"Old Dominion University",25593,43443
"Ouachita Baptist University",37600,37600
"Our Lady of Holy Cross College",NA,NA
"University of the Ozarks",31050,31050
"Paine College",24910,24910
"Palm Beach Atlantic University",45904,45904
"University of North Carolina at Pembroke",19484,31075
"Piedmont College",38624,38624
"University of Pikeville",36850,36850
"Presbyterian College",51910,51910
"Queens University of Charlotte",50446,50446
"Radford University",23858,35493
"Randolph-Macon College",54280,54280
"Randolph College",54225,54225
"Rust College",16500,16500
"Rhodes College",61606,61606
"University of Richmond",64890,64890
"Ringling College of Art and Design",65984,65984
"Roanoke College",59202,59202
"St. Andrews University",42770,42770
"St. Augustine's University",33362,33362
"St. John's College",64933,64933
"Saint Joseph Seminary College",37469,37469
"Saint Leo University",36822,36822
"Salem College",43091,43091
"Salisbury University",25062,34102
"Samford University",46474,46474
"Savannah State University",18524,31600
"University of South Alabama",22290,31680
"South Carolina State University",30630,41010
"Coastal Carolina University",25314,39986
"University of South Carolina Upstate",24918,36246
"University of South Florida",21410,32324
"Southeastern Louisiana University",20843,33319
"Southeastern University",37610,37610
"Southern Adventist University",34450,34450
"Salem International University",23400,23400
"St. Mary's College of Maryland",29678,45129
"Spring Hill College",55168,55168
"University of South Carolina Aiken",24386,34586
"Savannah College of Art and Design",55872,55872
"University of Southern Mississippi",21746,23746
"Spelman College",51892,51892
"Sweet Briar College",53897,53897
"Stetson University",61364,61364
"St. Thomas University",49010,49010
"Shaw University",28972,28972
"Shenandoah University",46190,46190
"Shorter University",36188,36188
"University of South Carolina",27487,47587
"Sewanee: University of the South",60950,60950
"Delaware State University",23339,32125
"University of Delaware",27792,47782
"Delta State University",19584,19584
"Dillard University",33065,33065
"University of the District of Columbia",29285,37181
"Emporia State University",19439,33012
"Saint Martin's University",50686,50686
"Oklahoma State University",22498,37536
"University of St. Thomas",46406,46406
"Pomona College",69725,69725
"Pacific Lutheran University",55170,55170
"Northwestern Oklahoma State University",16116,23233
"Midwestern State University",21963,23913
"Jarvis Christian College",22040,22040
"Hardin-Simmons University",39836,39836
"Multnomah University",38740,38740
"California State University Fullerton",27322,39202
"Baker University",43444,43444
"University of Colorado Denver",23390,43580
"Northeastern State University",16484,24172
"Youngstown State University",22222,28222
"Xavier University",52380,52380
"Wright State University",22412,31290
"College of Wooster",61900,61900
"Wittenberg University",51856,51856
"University of Wisconsin - Whitewater",17854,26427
"University of Wisconsin - Superior",14559,22132
"University of Wisconsin - Stout",19786,27753
"University of Wisconsin - Stevens Point",18180,26647
"University of Wisconsin - River Falls",18451,26026
"University of Wisconsin - Platteville",18211,26061
"University of Wisconsin - Parkside",19949,27938
"University of Wisconsin - Oshkosh",16669,24242
"University of Wisconsin - Milwaukee",25674,36954
"University of Wisconsin - Madison",25699,49949
"University of Wisconsin - La Crosse",18348,27017
"University of Wisconsin - Green Bay",19334,27184
"University of Wisconsin - Eau Claire",20070,27990
"Winona State University",21707,27628
"Wilmington College",39000,39000
"William Woods University",38860,38860
"William Penn University",36846,36846
"William Jewell College",47928,47928
"Wilberforce University",25450,25450
"Wheaton College",47696,47696
"Westminster College",40510,40510
"Western Michigan University",25139,27895
"Western Illinois University",24205,28476
"Webster University",41119,41119
"Wayne State University",26543,41017
"Washington University in St. Louis",71976,71976
"Wartburg College",51878,51878
"Walsh College",NA,NA
"Walsh University",43112,43112
"Wabash College",54600,54600
"Viterbo University",39680,39680
"VanderCook College of Music",44718,44718
"Valparaiso University",52980,52980
"Urbana University",36924,36924
"Upper Iowa University",42670,42670
"Trine University",46910,46910
"Trinity International University",42670,42670
"Trinity Christian College",42255,42255
"University of Toledo",26844,36182
"Tiffin University",38250,38250
"Taylor University",45530,45530
"Franciscan University of Steubenville",38550,38550
"Stephens College",44068,44068
"Spring Arbor University",39946,39946
"Southwest Minnesota State University",20945,20945
"Missouri State University",20609,28049
"Southwest Baptist University",34390,34390
"University of Southern Indiana",20035,30691
"Southern Illinois University Edwardsville",25883,39510
"Southern Illinois University Carbondale",28599,28599
"Southeast Missouri State University",21004,26539
"Simpson College",50254,50254
"Silver Lake College of the Holy Family",39366,39366
"Siena Heights University",38878,38878
"University of St. Thomas",55933,55933
"Gustavus Adolphus College",55600,55600
"University of Indianapolis",42902,42902
"Pontifical College Josephinum",34000,34000
"Purdue University",22812,41614
"St. Olaf College",58780,58780
"University of Illinois at Springfield",23273,32798
"Faith Baptist Bible College and Theological Seminary",24730,24730
"Franklin College",44350,44350
"Goshen College",46500,46500
"Hillsdale College",40552,40552
"Hope College",45240,45240
"Kalamazoo College",57407,57407
"Lake Forest College",58672,58672
"Lawrence University",58908,58908
"Madonna University",34112,34112
"Indiana State University",22265,32801
"Huntington University",37296,37296
"University of Iowa",22606,44250
"Marquette University",55002,55002
"Michigan Technological University",29100,46344
"Milwaukee School of Engineering",51731,51731
"Michigan State University",28428,53373
"University of Missouri - Columbia",26611,43330
"Moody Bible Institute",28694,28694
"University of Notre Dame",69395,69395
"University of Missouri - St. Louis",24100,41152
"Northwest Missouri State University",22317,28881
"Oakland University",25128,36581
"Oberlin College",71930,71930
"Truman State University",21286,28070
"Eastern Illinois University",23631,25821
"Elmhurst College",48514,48514
"University of Findlay",44715,44715
"Hiram College",47535,47535
"Iowa State University",20606,34442
"Otterbein University",46655,46655
"North Central University",31910,31910
"Morningside College",44334,44334
"Lake Superior State University",24494,24494
"Macalester College",66868,66868
"Ohio Northern University",46118,46118
"University of Rio Grande",41448,41448
"St. Catherine University",51245,51245
"Purdue University Northwest",21790,31338
"Rockhurst University",52291,52291
"Saint John's University",55872,55872
"Quincy University",41670,41670
"Saginaw Valley State University",21762,35006
"University of St. Francis",42220,42220
"Saint Louis University",57214,57214
