"University","IndexVal","SchoolID","Reason"
"University of Pittsburgh at Greensburg","1123","1225","Not Applicable"
"Loma Linda University","1124","1226","Not Applicable"
"Athens State University","1126","1230","Not Applicable"
"Rush University","1129","1236","Not Applicable"
"Indiana University East","1130","1237","Not Applicable"
"Louisiana State University Health Sciences Center","1131","1238","Not Applicable"
"Baker College of Flint","1134","1242","Not Applicable"
"University of Nebraska Medical Center","1135","1243","Not Applicable"
"Granite State College","1136","1244","Not Applicable"
"Metropolitan College of New York","1139","1247","Not Applicable"
"SUNY Downstate Medical Center","1140","1248","Not Applicable"
"Oregon Health & Science University","1143","1251","Not Applicable"
"Medical University of South Carolina","1145","1253","Not Applicable"
"Oglala Lakota College","1146","1254","Not Applicable"
"University of Texas Medical Branch","1149","1259","Not Applicable"
"City University of Seattle","1150","1260","Not Applicable"
"Humphreys College","1155","1267","Not Applicable"
"Art Institute of Portland","1158","1271","Not Applicable"
"Charter Oak State College","1162","1275","Not Applicable"
"Martin University","1163","1276","Not Applicable"
"Montserrat College of Art","1164","1278","Not Applicable"
"Chamberlain College of Nursing","1165","1279","Not Applicable"
"Sinte Gleska University","1169","1283","Not Applicable"
"Criswell College","1170","1285","Not Applicable"
"Lincoln University","1175","1290","Not Applicable"
"State University of New York College of Agriculture and Technology at Cobleskill","1186","1302","Not Applicable"
"Art Institute of Fort Lauderdale","1187","1303","Not Applicable"
"Thomas University","1188","1304","Not Applicable"
"University of Maryland University College","1189","1305","Not Applicable"
"University of Mississippi Medical Center","1190","1306","Not Applicable"
"O'More College of Design","1192","1311","Not Applicable"
"Design Institute of San Diego","1195","1319","Not Applicable"
"Holy Apostles College and Seminary","1196","1320","Not Applicable"
"The Jewish Theological Seminary","1199","1326","Not Applicable"
"Excelsior College","1200","1327","Not Applicable"
"Amridge University","1202","1329","Not Applicable"
"Johnson University Florida","1203","1330","Not Applicable"
"Sullivan University","1210","1337","Not Applicable"
"Southeastern Baptist College","1212","1341","Not Applicable"
"John Wesley University","1213","1343","Not Applicable"
"Blessing-Reiman College of Nursing","1220","1352","Not Applicable"
"Saint Anthony College of Nursing","1221","1354","Not Applicable"
"Saint Francis Medical Center College of Nursing","1222","1355","Not Applicable"
