University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
duke university,53500,53500,private,6639,most difficult,0.12,30112,durham,NC,Southern,58900
amherst college,54310,54310,private,1849,most difficult,0.14,8406,amherst,MA,Northeastern,54500
bowdoin college,51848,51848,private,1806,most difficult,0.15,6799,brunswick,ME,Northeastern,48100
columbia university,57208,57208,private,6158,most difficult,0.06,36292,new york,NY,Northeastern,59400
colgate university,53980,53980,private,2853,most difficult,0.27,8724,hamilton,NY,Northeastern,52800
brown university,53419,53419,private,6926,most difficult,0.09,32390,providence,RI,Northeastern,56200
rensselaer polytechnic institute,52305,52305,private,6265,very difficult,0.44,18524,troy,NY,Northeastern,61100
bucknell university,53986,53986,private,3571,most difficult,0.3,10487,lewisburg,PA,Northeastern,54100
rice university,45608,45608,private,3893,most difficult,0.15,18236,houston,TX,Southern,64000
cornell university,52853,52853,private,14566,most difficult,0.14,44965,ithaca,NY,Northeastern,60300
georgetown university,52300,52300,private,7453,most difficult,0.17,19997,washington,DC,Southern,55000
carnegie mellon university,53910,53910,private,6673,most difficult,0.22,21189,pittsburgh,PA,Northeastern,61800
university of chicago,54825,54825,private,5941,most difficult,0.08,31484,chicago,IL,Midwestern,53400
worcester polytechnic institute,48628,48628,private,4432,very difficult,0.48,10468,worcester,MA,Northeastern,61000
university of notre dame,51505,51505,private,8530,most difficult,0.19,19505,notre dame,IN,Midwestern,56300
university of pennsylvania,53534,53534,private,10019,most difficult,0.09,38918,philadelphia,PA,Northeastern,60900
harvey mudd college,54886,54886,private,829,most difficult,0.13,4180,claremont,CA,California,71800
california institute of technology,49908,49908,private,979,most difficult,0.08,6855,pasadena,CA,California,75500
harvard university,48859,48859,private,6712,most difficult,0.05,39041,cambridge,MA,Northeastern,63400
massachusetts institute of technology,49892,49892,private,4524,most difficult,0.08,19020,cambridge,MA,Northeastern,72200
yale university,51400,51400,private,5532,most difficult,0.07,30236,new haven,CT,Northeastern,59100
stanford university,49617,49617,private,7034,most difficult,0.05,43997,stanford,CA,California,70400
princeton university,47140,47140,private,5400,most difficult,0.07,29303,princeton,NJ,Northeastern,66500
dartmouth college,53786,53786,private,4310,most difficult,0.11,20675,hanover,NH,Northeastern,58000
