University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
university of alaska anchorage,7374,22764,public,16463,noncompetitive,0.8,3533,anchorage,AK,Western,45900
university of nebraska omaha,8207,22037,public,12335,minimally difficult,0.71,4955,omaha,NE,Midwestern,41500
lewis & clark college,48988,48988,private,2134,very difficult,0.55,7796,portland,OR,Western,38900
florida state university,6507,21673,public,32929,very difficult,0.58,29027,tallahassee,FL,Southern,42100
cleveland state university,9696,13747,public,12433,moderately difficult,0.88,8351,cleveland,OH,Midwestern,43500
ohio university,11896,21360,public,23788,moderately difficult,0.75,20623,athens,OH,Midwestern,42200
illinois state university,14061,25168,public,18643,moderately difficult,0.89,12078,normal,IL,Midwestern,42000
idaho state university,7166,21942,public,11087,minimally difficult,1,2950,pocatello,ID,Western,44900
south dakota state university,8441,11689,public,10959,minimally difficult,0.91,5173,brookings,SD,Midwestern,41100
regis university,34450,34450,private,4070,moderately difficult,0.57,6756,denver,CO,Western,48300
letourneau university,29320,29320,private,2253,moderately difficult,0.44,1842,longview,TX,Southern,49500
western michigan university,11943,14699,public,18313,moderately difficult,0.82,13613,kalamazoo,MI,Midwestern,42300
penn state harrisburg,15190,23692,public,4200,very difficult,0.85,4153,middletown,PA,Northeastern,45700
suffolk university,37510,37510,private,5290,moderately difficult,0.84,8624,boston,MA,Northeastern,42100
georgia state university,10858,29432,public,25455,moderately difficult,0.53,17467,atlanta,GA,Southern,41800
university of north carolina charlotte,7023,20457,public,23404,moderately difficult,0.62,17475,charlotte,NC,Southern,43100
moravian college,42024,42024,private,2006,moderately difficult,0.8,2512,bethlehem,PA,Northeastern,42500
university of arkansas monticello,7462,13312,public,3802,noncompetitive,0.46,2761,monticello,AR,Southern,39200
skidmore college,52596,52596,private,2680,very difficult,0.29,9181,saratoga springs,NY,Northeastern,41600
university of tennessee,12970,31160,public,22139,moderately difficult,0.77,17583,knoxville,TN,Southern,43800
university of wisconsin milwaukee,11008,22288,public,21375,moderately difficult,0.72,9834,milwaukee,WI,Midwestern,42300
sacred heart university,39820,39820,private,5428,moderately difficult,0.57,10017,fairfield,CT,Northeastern,46000
western washington university,7932,22444,public,14592,moderately difficult,0.83,10519,bellingham,WA,Western,42700
florida international university,6558,18956,public,45813,moderately difficult,0.49,17218,miami,FL,Southern,43200
university of wisconsin whitewater,7662,16235,public,11380,moderately difficult,0.81,6228,whitewater,WI,Midwestern,40800
university of toledo,9975,19313,public,16247,noncompetitive,0.94,10842,toledo,OH,Midwestern,43100
gonzaga university,41330,41330,private,5160,moderately difficult,0.67,7324,spokane,WA,Western,44900
university of hawaii,11732,33764,public,13132,moderately difficult,0.8,7861,honolulu,HI,Western,43800
wayne state university,12979,27453,public,17280,moderately difficult,0.81,11093,detroit,MI,Midwestern,42800
state university of new york plattsburgh,7950,17800,public,5215,moderately difficult,0.51,9404,plattsburgh,NY,Northeastern,40800
university of louisiana lafayette,10592,24320,public,15870,moderately difficult,0.55,10899,lafayette,LA,Southern,41100
quinnipiac university,46780,46780,private,7099,moderately difficult,0.76,23492,hamden,CT,Northeastern,43000
grinnell college,50714,50714,private,1699,very difficult,0.2,7370,grinnell,IA,Midwestern,42600
state university of new york oneonta,8166,17816,public,5852,very difficult,0.43,12338,oneonta,NY,Northeastern,37500
montana state university,7223,23927,public,14400,moderately difficult,0.83,15996,bozeman,MT,Western,46600
university of massachusetts dartmouth,13571,28285,public,6999,moderately difficult,0.76,8211,north dartmouth,MA,Northeastern,43200
state university of new york oswego,8191,17841,public,7150,moderately difficult,0.54,10715,oswego,NY,Northeastern,38000
north dakota state university,8546,20572,public,12010,moderately difficult,0.93,5128,fargo,ND,Midwestern,45100
university of maryland baltimore county,11518,25654,public,11142,moderately difficult,0.57,10812,baltimore,MD,Southern,47000
texas christian university,44760,44760,private,8891,very difficult,0.38,19972,fort worth,TX,Southern,45100
west virginia university,8376,23616,public,22350,moderately difficult,0.76,21558,morgantown,WV,Southern,43100
university of massachusetts boston,13828,32985,public,12847,moderately difficult,0.69,9886,boston,MA,Northeastern,45600
wittenberg university,38730,38730,private,1960,moderately difficult,0.78,6906,springfield,OH,Midwestern,39200
university of new hampshire,18067,32637,public,12871,moderately difficult,0.76,20203,durham,NH,Northeastern,41800
university of kentucky,11772,27856,public,22621,moderately difficult,0.91,20480,lexington,KY,Southern,42800
university of oregon,11571,34611,public,20047,moderately difficult,0.78,21821,eugene,OR,Western,42200
university of wyoming,5217,16827,public,10045,moderately difficult,0.96,4657,laramie,WY,Western,44500
utah state university,7174,20726,public,24838,moderately difficult,0.9,15401,logan,UT,Western,43800
juniata college,43875,43875,private,3796,moderately difficult,0.75,2386,huntingdon,PA,Northeastern,41800
kansas state university,10135,25492,public,19472,minimally difficult,0.94,9018,manhattan,KS,Midwestern,43300
colorado state university,11519,29027,public,25688,moderately difficult,0.78,21759,fort collins,CO,Western,44800
adelphi university,37170,37170,private,5205,moderately difficult,0.7,11863,garden city,NY,Northeastern,40600
mississippi state university,8318,22358,public,18090,moderately difficult,0.71,13930,mississippi state,MS,Southern,44500
lamar university,10111,22561,public,9326,minimally difficult,0.76,5613,beaumont,TX,Southern,46500
new mexico state university,7122,22701,public,12027,moderately difficult,0.6,7618,las cruces,NM,Western,44300
university of mississippi,8300,23564,public,18785,moderately difficult,0.79,18059,university,MS,Southern,41400
university of houston,11104,26554,public,35871,moderately difficult,0.59,19860,houston,TX,Southern,46000
ursinus college,50360,50360,private,1556,moderately difficult,0.82,2491,collegeville,PA,Northeastern,42100
tennessee technological university,8873,25529,public,10052,moderately difficult,0.93,4973,cookeville,TN,Southern,46200
whitman college,49780,49780,private,1493,very difficult,0.51,3749,walla walla,WA,Western,43500
philadelphia university,39130,39130,private,2906,moderately difficult,0.64,4129,philadelphia,PA,Northeastern,45100
california state university northridge,6870,18750,public,35552,moderately difficult,0.48,32913,northridge,CA,California,45500
university of north dakota,8447,20324,public,11255,minimally difficult,0.84,5144,grand forks,ND,Midwestern,44000
gustavus adolphus college,44080,44080,private,2386,very difficult,0.67,4657,st peter,MN,Midwestern,44500
embry-riddle aeronautical university,36536,36536,private,5447,moderately difficult,0.71,4901,daytona beach,FL,Southern,52700
oklahoma state university,8738,23776,public,21093,moderately difficult,0.75,13055,stillwater,OK,Southern,42800
university of texas arlington,9952,25152,public,29883,moderately difficult,0.61,10245,arlington,TX,Southern,45400
northern illinois university,12262,21727,public,14079,moderately difficult,0.52,14980,de kalb,IL,Midwestern,43600
university of nebraska,8901,24201,public,20182,moderately difficult,0.76,9724,lincoln,NE,Midwestern,45700
fashion institute of technology,5483,14863,public,9096,moderately difficult,0.4,4632,new york,NY,Northeastern,42800
university of missouri columbia,9787,26506,public,27812,moderately difficult,0.78,21988,columbia,MO,Midwestern,41700
reed college,54200,54200,private,1410,very difficult,0.31,5705,portland,OR,Western,40500
state university of new york geneseo,8408,18058,public,5431,moderately difficult,0.67,8892,geneseo,NY,Northeastern,42300
university of california riverside,13917,41931,public,19799,very difficult,0.66,42629,riverside,CA,California,46800
university of alabama,10780,28100,public,32563,moderately difficult,0.53,38237,tuscaloosa,AL,Southern,41300
colorado college,52818,52818,private,2101,very difficult,0.16,7894,colorado springs,CO,Western,38500
university of puget sound,48090,48090,private,2508,moderately difficult,0.83,6098,tacoma,WA,Western,46600
university of north carolina chapel hill,9005,34588,public,18523,very difficult,0.27,34889,chapel hill,NC,Southern,42900
university of kansas,10824,26592,public,19262,moderately difficult,0.93,15015,lawrence,KS,Midwestern,42400
university of new mexico,7146,22037,public,20522,moderately difficult,0.5,13517,albuquerque,NM,Western,41600
oberlin college,53460,53460,private,2895,very difficult,0.28,8518,oberlin,OH,Midwestern,43400
university buffalo,9828,27338,public,20411,moderately difficult,0.59,26001,buffalo,NY,Northeastern,46200
university of illinois chicago,13704,26560,public,17959,moderately difficult,0.74,17931,chicago,IL,Midwestern,47500
howard university,25997,25997,private,6883,moderately difficult,0.49,15163,washington,DC,Southern,46900
university of idaho,7488,23812,public,9586,moderately difficult,0.76,5953,moscow,ID,Western,44900
