University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
st. ambrose university,30016,30016,private,2398,moderately difficult,0.64,4426,davenport,IA,Midwestern,NA
northwestern college,30200,30200,private,1099,moderately difficult,0.66,2199,orange city,IA,Midwestern,NA
heidelberg university,30200,30200,private,1123,moderately difficult,0.79,1663,tiffin,OH,Midwestern,NA
stephens college,30344,30344,private,706,moderately difficult,0.54,1153,columbia,MO,Midwestern,NA
morningside college,30390,30390,private,1321,moderately difficult,0.57,4561,sioux city,IA,Midwestern,NA
mount mercy university,30582,30582,private,1580,moderately difficult,0.62,1288,cedar rapids,IA,Midwestern,NA
trinity international university,30750,30750,private,968,moderately difficult,0.63,548,deerfield,IL,Midwestern,NA
university of northwestern st. paul,30794,30794,private,3222,moderately difficult,0.7,1356,st paul,MN,Midwestern,NA
lake erie college,30862,30862,private,955,moderately difficult,0.63,1485,painesville,OH,Midwestern,NA
franklin college,30920,30920,private,1016,moderately difficult,0.78,1479,franklin,IN,Midwestern,NA
ohio northern university,30990,30990,private,2259,moderately difficult,0.69,3108,ada,OH,Midwestern,NA
concordia university nebraska,31000,31000,private,1794,moderately difficult,0.73,1396,seward,NE,Midwestern,NA
ohio dominican university,31080,31080,private,1796,moderately difficult,0.52,1969,columbus,OH,Midwestern,NA
carroll university,31144,31144,private,3139,moderately difficult,0.79,2512,waukesha,WI,Midwestern,NA
ursuline college,31210,31210,private,706,minimally difficult,0.66,374,pepper pike,OH,Midwestern,NA
aquinas college,31244,31244,private,1654,moderately difficult,0.91,1706,grand rapids,MI,Midwestern,NA
lewis university,31250,31250,private,4553,moderately difficult,0.59,6199,romeoville,IL,Midwestern,NA
art academy of cincinnati,31290,31290,private,164,moderately difficult,0.21,541,cincinnati,OH,Midwestern,NA
university of st. francis,31470,31470,private,1362,moderately difficult,0.49,1560,joliet,IL,Midwestern,NA
university of st. francis,31470,31470,private,1810,minimally difficult,0.97,977,fort wayne,IN,Midwestern,NA
trine university,31540,31540,private,3372,moderately difficult,0.77,2890,angola,IN,Midwestern,NA
concordia university chicago,31562,31562,private,1530,moderately difficult,0.5,4802,river forest,IL,Midwestern,NA
midland university,31630,31630,private,827,moderately difficult,0.88,920,fremont,NE,Midwestern,NA
manchester university,31660,31660,private,1272,moderately difficult,0.71,2431,north manchester,IN,Midwestern,NA
baldwin wallace university,31668,31668,private,3305,moderately difficult,0.6,4515,berea,OH,Midwestern,NA
bluffton university,31672,31672,private,865,moderately difficult,0.5,1480,bluffton,OH,Midwestern,NA
otterbein university,31874,31874,private,2485,moderately difficult,0.75,2917,westerville,OH,Midwestern,NA
clarke university,31950,31950,private,801,moderately difficult,0.65,1172,dubuque,IA,Midwestern,NA
augustana university,31960,31960,private,1665,moderately difficult,0.69,1464,sioux falls,SD,Midwestern,NA
lawrence technological university,32130,32130,private,2164,moderately difficult,0.69,2318,southfield,MI,Midwestern,NA
illinois college,32140,32140,private,958,moderately difficult,0.54,4462,jacksonville,IL,Midwestern,NA
defiance college,32250,32250,private,582,moderately difficult,0.58,1100,defiance,OH,Midwestern,NA
dominican university,32530,32530,private,2306,moderately difficult,0.64,4568,river forest,IL,Midwestern,NA
university of st. thomas,32560,32560,private,6111,moderately difficult,0.83,6221,st paul,MN,Midwestern,NA
nebraska wesleyan university,32774,32774,private,1816,moderately difficult,0.74,1803,lincoln,NE,Midwestern,NA
hope college,32780,32780,private,3234,moderately difficult,0.84,3899,holland,MI,Midwestern,NA
buena vista university,32854,32854,private,795,moderately difficult,0.64,1256,storm lake,IA,Midwestern,NA
taylor university,32885,32885,private,2131,moderately difficult,0.8,1775,upland,IN,Midwestern,NA
loras college,32886,32886,private,1463,moderately difficult,0.92,1269,dubuque,IA,Midwestern,NA
marian university,33000,33000,private,2147,moderately difficult,0.59,2191,indianapolis,IN,Midwestern,NA
marian university,33000,33000,private,1487,moderately difficult,0.77,1245,fond du lac,WI,Midwestern,NA
westminster college,33040,33040,private,940,moderately difficult,0.64,1789,fulton,MO,Midwestern,NA
calvin college,33100,33100,private,3807,moderately difficult,0.75,3981,grand rapids,MI,Midwestern,NA
millikin university,33166,33166,private,1971,moderately difficult,0.64,3608,decatur,IL,Midwestern,NA
goshen college,33200,33200,private,800,moderately difficult,0.68,1004,goshen,IN,Midwestern,NA
university of findlay,33320,33320,private,3661,moderately difficult,0.73,2976,findlay,OH,Midwestern,NA
saint xavier university,33350,33350,private,2993,moderately difficult,0.83,5520,chicago,IL,Midwestern,NA
saint mary's university of minnesota,33560,33560,private,1590,moderately difficult,0.79,1686,winona,MN,Midwestern,NA
william jewell college,33620,33620,private,992,moderately difficult,0.51,2081,liberty,MO,Midwestern,NA
benedictine university,33900,33900,private,3347,moderately difficult,0.79,1980,lisle,IL,Midwestern,NA
columbus college of art & design,33960,33960,private,1060,moderately difficult,0.79,612,columbus,OH,Midwestern,NA
hiram college,34300,34300,private,1090,moderately difficult,0.54,2521,hiram,OH,Midwestern,NA
capital university,34600,34600,private,2718,moderately difficult,0.69,4287,columbus,OH,Midwestern,NA
olivet nazarene university,34940,34940,private,3358,minimally difficult,0.78,4305,bourbonnais,IL,Midwestern,NA
northland college,35157,35157,private,582,moderately difficult,0.54,1335,ashland,WI,Midwestern,NA
wheaton college,35190,35190,private,2456,very difficult,0.79,1850,wheaton,IL,Midwestern,NA
university of evansville,35396,35396,private,2348,moderately difficult,0.71,4033,evansville,IN,Midwestern,NA
central college,35930,35930,private,1274,moderately difficult,0.64,3071,pella,IA,Midwestern,NA
adrian college,36010,36010,private,1647,moderately difficult,0.56,4675,adrian,MI,Midwestern,NA
marietta college,36040,36040,private,1144,moderately difficult,0.61,2700,marietta,OH,Midwestern,NA
bethel university,36210,36210,private,2965,moderately difficult,0.82,1798,st paul,MN,Midwestern,NA
college of st. scholastica,36212,36212,private,2841,moderately difficult,0.64,3232,duluth,MN,Midwestern,NA
milwaukee institute of art & design,36230,36230,private,630,moderately difficult,0.53,921,milwaukee,WI,Midwestern,NA
westminster college,36230,36230,private,940,moderately difficult,0.64,1789,fulton,MO,Midwestern,NA
monmouth college,36400,36400,private,1147,moderately difficult,0.52,3248,monmouth,IL,Midwestern,NA
hanover college,36520,36520,private,1090,moderately difficult,0.57,3696,hanover,IN,Midwestern,NA
elmhurst college,36570,36570,private,2840,moderately difficult,0.55,3620,elmhurst,IL,Midwestern,NA
st. norbert college,36593,36593,private,2102,moderately difficult,0.81,3605,de pere,WI,Midwestern,NA
research college of nursing,36600,36600,private for profit,340,moderately difficult,0.73,339,kansas city,MO,Midwestern,NA
rockhurst university,36670,36670,private,2042,moderately difficult,0.74,3038,kansas city,MO,Midwestern,NA
xavier university,37230,37230,private,4633,moderately difficult,0.73,11605,cincinnati,OH,Midwestern,NA
augsburg college,37615,37615,private,2550,moderately difficult,0.45,3487,minneapolis,MN,Midwestern,NA
simpson college,37663,37663,private,1543,moderately difficult,0.85,1265,indianola,IA,Midwestern,NA
north central college,37749,37749,private,2716,moderately difficult,0.59,6860,naperville,IL,Midwestern,NA
kansas city art institute,37800,37800,private,635,moderately difficult,0.65,778,kansas city,MO,Midwestern,NA
minneapolis college of art & design,37812,37812,private,690,moderately difficult,0.88,473,minneapolis,MN,Midwestern,NA
sterling college,38038,38038,private,650,minimally difficult,0.37,1033,sterling,KS,Midwestern,NA
st. catherine university,38349,38349,private,3176,moderately difficult,0.69,2853,st paul,MN,Midwestern,NA
concordia college,38378,38378,private,2114,moderately difficult,0.65,3741,moorhead,MN,Midwestern,NA
creighton university,38750,38750,private,4203,moderately difficult,0.71,10352,omaha,NE,Midwestern,NA
valparaiso university,38760,38760,private,3294,moderately difficult,0.83,7484,valparaiso,IN,Midwestern,NA
alma college,38768,38768,private,1451,moderately difficult,0.68,4695,alma,MI,Midwestern,NA
drake university,39062,39062,private,3267,moderately difficult,0.69,4959,des moines,IA,Midwestern,NA
milwaukee school of engineering,39429,39429,private,2675,moderately difficult,0.66,2686,milwaukee,WI,Midwestern,NA
wartburg college,39730,39730,private,1482,moderately difficult,0.68,4028,waverly,IA,Midwestern,NA
john carroll university,39790,39790,private,3026,moderately difficult,0.83,3857,university heights,OH,Midwestern,NA
butler university,40175,40175,private,4290,moderately difficult,0.73,12937,indianapolis,IN,Midwestern,NA
cleveland institute of art,40675,40675,private,625,moderately difficult,0.61,864,cleveland,OH,Midwestern,NA
saint mary's college,40800,40800,private,1625,moderately difficult,0.82,1771,notre dame,IN,Midwestern,NA
hamline university,40822,40822,private,2184,moderately difficult,0.7,4252,st paul,MN,Midwestern,NA
cornell college,40880,40880,private,976,moderately difficult,0.71,1965,mount vernon,IA,Midwestern,NA
augustana college,40908,40908,private,2537,moderately difficult,0.52,6587,rock island,IL,Midwestern,NA
luther college,41020,41020,private,2169,moderately difficult,0.68,3856,decorah,IA,Midwestern,NA
university of st. thomas,41133,41133,private,6111,moderately difficult,0.83,6221,st paul,MN,Midwestern,NA
university of detroit mercy,41158,41158,private,2646,moderately difficult,0.78,4542,detroit,MI,Midwestern,NA
university of dayton,41750,41750,private,8330,moderately difficult,0.58,16968,dayton,OH,Midwestern,NA
ripon college,41835,41835,private,793,moderately difficult,0.65,2553,ripon,WI,Midwestern,NA
carthage college,41950,41950,private,2828,moderately difficult,0.7,6640,kenosha,WI,Midwestern,NA
wabash college,42250,42250,private,842,moderately difficult,0.63,1284,crawfordsville,IN,Midwestern,NA
coe college,42430,42430,private,1409,moderately difficult,0.5,6725,cedar rapids,IA,Midwestern,NA
college for creative studies,42460,42460,private,1401,moderately difficult,0.46,1388,detroit,MI,Midwestern,NA
kettering university,42490,42490,private,1905,very difficult,0.72,2251,flint,MI,Midwestern,NA
albion college,43050,43050,private,1418,moderately difficult,0.72,3338,albion,MI,Midwestern,NA
loyola university chicago,43078,43078,private,11129,moderately difficult,0.73,22712,chicago,IL,Midwestern,NA
saint john's university,43356,43356,private,1754,moderately difficult,0.88,1457,collegeville,MN,Midwestern,NA
college of saint benedict,43738,43738,private,1958,moderately difficult,0.88,1859,saint joseph,MN,Midwestern,NA
ohio wesleyan university,44690,44690,private,1639,very difficult,0.72,4123,delaware,OH,Midwestern,NA
knox college,44958,44958,private,1357,very difficult,0.65,3514,galesburg,IL,Midwestern,NA
lake forest college,45548,45548,private,1540,moderately difficult,0.57,4227,lake forest,IL,Midwestern,NA
earlham college,45750,45750,private,1031,very difficult,0.58,2917,richmond,IN,Midwestern,NA
illinois wesleyan university,45856,45856,private,1771,very difficult,0.58,3841,bloomington,IL,Midwestern,NA
lawrence university,46101,46101,private,1532,very difficult,0.63,3579,appleton,WI,Midwestern,NA
kalamazoo college,46840,46840,private,1443,very difficult,0.66,3626,kalamazoo,MI,Midwestern,NA
school of the art institute of chicago,47420,47420,private,2849,very difficult,0.59,5244,chicago,IL,Midwestern,NA
rose-hulman institute of technology,47997,47997,private,2202,very difficult,0.61,4241,terre haute,IN,Midwestern,NA
college of wooster,48600,48600,private,2003,moderately difficult,0.58,5667,wooster,OH,Midwestern,NA
cleveland institute of music,49106,49106,private,230,very difficult,0.44,437,cleveland,OH,Midwestern,NA
wheaton college,50850,50850,private,2456,very difficult,0.79,1850,wheaton,IL,Midwestern,NA
washington university st. louis,51533,51533,private,7540,most difficult,0.17,29197,st louis,MO,Midwestern,NA
st. john's college,51670,51670,private,122,moderately difficult,0.68,90,springfield,IL,Midwestern,NA
st. john's college,52320,52320,private,122,moderately difficult,0.68,90,springfield,IL,Midwestern,NA
macalester college,52464,52464,private,2146,very difficult,0.37,5946,st paul,MN,Midwestern,NA
kenyon college,53560,53560,private,1708,most difficult,0.29,5927,gambier,OH,Midwestern,NA
talmudical institute of upstate new york,5800,5800,private,22,noncompetitive,1,13,rochester,NY,Northeastern,NA
new york city college of technology,6931,17801,public,17282,noncompetitive,0.75,16846,brooklyn,NY,Northeastern,NA
city college of new york,6940,17810,public,13508,moderately difficult,0.4,24735,new york,NY,Northeastern,NA
medgar evers college,6953,17823,public,6819,noncompetitive,0.98,10105,brooklyn,NY,Northeastern,NA
york college,6957,17827,public,8258,moderately difficult,0.61,13726,jamaica,NY,Northeastern,NA
hunter college,6980,17850,public,16723,moderately difficult,0.39,28510,new york,NY,Northeastern,NA
lehman college,7010,17880,public,11477,moderately difficult,0.32,14318,bronx,NY,Northeastern,NA
brooklyn college,7040,17910,public,14406,moderately difficult,0.37,20608,brooklyn,NY,Northeastern,NA
baruch college,7061,17931,public,15210,very difficult,0.31,20789,new york,NY,Northeastern,NA
john jay college of criminal justice,7070,17940,public,12674,moderately difficult,0.34,13899,new york,NY,Northeastern,NA
suny downstate medical center,7074,16924,public,343,moderately difficult,0.14,1005,brooklyn,NY,Northeastern,NA
queens college,7138,18008,public,16326,very difficult,0.41,18142,queens,NY,Northeastern,NA
empire state college,7185,16835,public,10191,noncompetitive,0.76,904,saratoga springs,NY,Northeastern,NA
state university of new york upstate medical university,7344,17194,public,296,moderately difficult,0.34,477,syracuse,NY,Northeastern,NA
lincoln university,7632,14172,public,1824,minimally difficult,0.87,3685,lincoln university,PA,Northeastern,NA
university of maine machias,7676,19316,public,786,moderately difficult,0.87,449,machias,ME,Northeastern,NA
university of maine presque isle,7760,11870,public,1326,minimally difficult,0.87,1491,presque isle,ME,Northeastern,NA
state university of new york new paltz,7775,17625,public,6717,very difficult,0.43,14042,new paltz,NY,Northeastern,NA
university of maine augusta,7808,17498,public,4683,noncompetitive,0.98,1025,augusta,ME,Northeastern,NA
college old westbury,7883,17533,public,4242,moderately difficult,0.69,3545,old westbury,NY,Northeastern,NA
college brockport,7948,17798,public,7128,moderately difficult,0.55,9211,brockport,NY,Northeastern,NA
university of maine fort kent,7965,12075,public,1904,minimally difficult,0.96,411,fort kent,ME,Northeastern,NA
buffalo state college,7976,17626,public,8482,moderately difficult,0.64,13726,buffalo,NY,Northeastern,NA
state university of new york institute of technology,7998,17648,public,2012,moderately difficult,0.66,2428,utica,NY,Northeastern,NA
state university of new york maritime college,8074,17724,public,1635,very difficult,0.58,1449,throggs neck,NY,Northeastern,NA
state university of new york cortland,8300,17950,public,6304,moderately difficult,0.52,10875,cortland,NY,Northeastern,NA
alfred state college,8327,17977,public,3699,moderately difficult,0.57,4912,alfred,NY,Northeastern,NA
massachusetts maritime academy,8381,25807,public,1677,moderately difficult,0.8,825,buzzards bay,MA,Northeastern,NA
purchase college,8498,18148,public,4121,moderately difficult,0.44,6762,purchase,NY,Northeastern,NA
state university of new york of environmental science & forestry,8543,18193,public,2271,very difficult,0.54,1651,syracuse,NY,Northeastern,NA
rhode island college,8776,21289,public,7398,moderately difficult,0.75,5148,providence,RI,Northeastern,NA
ohr somayach/joseph tanenbaum educational center,9000,9000,private,60,moderately difficult,0.6,100,monsey,NY,Northeastern,NA
cheyney university of pennsylvania,9060,13930,public,997,minimally difficult,0.85,1127,cheyney,PA,Northeastern,NA
granite state college,9435,10575,public,1851,noncompetitive,1,289,concord,NH,Northeastern,NA
worcester state university,9532,15612,public,5381,moderately difficult,0.71,3876,worcester,MA,Northeastern,NA
holy apostles college & seminary,9670,9670,private,58,noncompetitive,1,10,cromwell,CT,Northeastern,NA
westfield state university,9715,15795,public,5610,moderately difficult,0.78,4740,westfield,MA,Northeastern,NA
salem state university,9831,15971,public,7664,minimally difficult,0.72,5216,salem,MA,Northeastern,NA
framingham state university,9920,16000,public,4337,moderately difficult,0.65,6204,framingham,MA,Northeastern,NA
kutztown university of pennsylvania,9987,13733,public,7718,moderately difficult,0.8,7668,kutztown,PA,Northeastern,NA
bridgewater state university,10012,16152,public,9562,moderately difficult,0.81,6007,bridgewater,MA,Northeastern,NA
west chester university of pennsylvania,10064,21302,public,14398,moderately difficult,0.64,12609,west chester,PA,Northeastern,NA
slippery rock university of pennsylvania,10205,13951,public,7664,moderately difficult,0.69,5889,slippery rock,PA,Northeastern,NA
central connecticut state university,10225,22914,public,9538,moderately difficult,0.6,7810,new britain,CT,Northeastern,NA
edinboro university,10282,14668,public,5585,moderately difficult,0.99,3143,edinboro,PA,Northeastern,NA
east stroudsburg university of pennsylvania,10288,21526,public,6159,moderately difficult,0.73,7449,east stroudsburg,PA,Northeastern,NA
massachusetts college of liberal arts,10310,19255,public,1444,moderately difficult,0.77,2013,north adams,MA,Northeastern,NA
western connecticut state university,10418,23107,public,5181,moderately difficult,0.67,5484,danbury,CT,Northeastern,NA
bloomsburg university of pennsylvania,10500,21738,public,8995,minimally difficult,0.78,9330,bloomsburg,PA,Northeastern,NA
southern connecticut state university,10537,21995,public,7963,moderately difficult,0.64,8625,new haven,CT,Northeastern,NA
lock haven university of pennsylvania,10576,19814,public,3845,moderately difficult,0.88,3750,lock haven,PA,Northeastern,NA
california university of pennsylvania,10641,14387,public,5522,moderately difficult,0.94,3202,california,PA,Northeastern,NA
lincoln university,10800,10800,public,1824,minimally difficult,0.87,3685,lincoln university,PA,Northeastern,NA
eastern connecticut state university,10919,22377,public,5097,moderately difficult,0.64,5370,willimantic,CT,Northeastern,NA
boricua college,11025,11025,private,1004,moderately difficult,0.4,924,new york,NY,Northeastern,NA
rabbinical college of america,11100,11100,private,259,minimally difficult,1,60,morristown,NJ,Northeastern,NA
castleton state college,11314,26722,public,1985,moderately difficult,0.78,2397,castleton,VT,Northeastern,NA
lincoln university,11379,16389,public,1824,minimally difficult,0.87,3685,lincoln university,PA,Northeastern,NA
johnson state college,11730,24690,public,1458,moderately difficult,0.86,1291,johnson,VT,Northeastern,NA
lyndon state college,11730,23898,public,1323,moderately difficult,0.93,1021,lyndonville,VT,Northeastern,NA
new jersey city university,11762,21052,public,6663,moderately difficult,0.85,3987,jersey city,NJ,Northeastern,NA
millersville university of pennsylvania,11858,21318,public,6980,moderately difficult,0.69,6943,millersville,PA,Northeastern,NA
kean university,12107,19009,public,11812,moderately difficult,0.74,8785,union,NJ,Northeastern,NA
indiana university of pennsylvania,12146,15882,public,10618,minimally difficult,0.92,8943,indiana,PA,Northeastern,NA
mansfield university of pennsylvania,12316,21766,public,2112,moderately difficult,0.66,2997,mansfield,PA,Northeastern,NA
rabbinical academy mesivta rabbi chaim berlin,12450,12450,private,146,moderately difficult,1,20,brooklyn,NY,Northeastern,NA
montclair state university,12455,20567,public,16810,moderately difficult,0.7,11990,montclair,NJ,Northeastern,NA
massachusetts college of art & design,12700,34400,public,1835,moderately difficult,0.71,1531,boston,MA,Northeastern,NA
william paterson university,12804,20842,public,9103,moderately difficult,0.76,10787,wayne,NJ,Northeastern,NA
maine maritime academy,13278,26628,public,1037,moderately difficult,0.79,805,castine,ME,Northeastern,NA
penn state shenango,13324,20810,public,462,moderately difficult,0.72,198,sharon,PA,Northeastern,NA
stockton university,13404,20357,public,7854,very difficult,0.77,4826,galloway,NJ,Northeastern,NA
rowan university,13422,21890,public,14363,moderately difficult,0.58,13382,glassboro,NJ,Northeastern,NA
penn state fayette the eberly campus,13632,21266,public,643,moderately difficult,0.8,593,lemont furnace,PA,Northeastern,NA
penn state dubois,13632,21266,public,608,moderately difficult,0.86,373,dubois,PA,Northeastern,NA
penn state mont alto,13694,21328,public,902,moderately difficult,0.78,711,mont alto,PA,Northeastern,NA
penn state new kensington,13694,21328,public,686,moderately difficult,0.83,499,new kensington,PA,Northeastern,NA
penn state greater allegheny,13694,21328,public,550,moderately difficult,0.86,489,mckeesport,PA,Northeastern,NA
penn state beaver,13694,21328,public,726,moderately difficult,0.86,737,monaca,PA,Northeastern,NA
plymouth state university,13770,22230,public,4125,moderately difficult,0.79,6864,plymouth,NH,Northeastern,NA
keene state college,13868,22614,public,4165,moderately difficult,0.83,5466,keene,NH,Northeastern,NA
university of pittsburgh greensburg,13870,25114,public,1520,moderately difficult,0.76,2670,greensburg,PA,Northeastern,NA
university of pittsburgh johnstown,13876,25120,public,2769,moderately difficult,0.88,1613,johnstown,PA,Northeastern,NA
university of pittsburgh bradford,13900,25144,public,1476,minimally difficult,0.53,2955,bradford,PA,Northeastern,NA
ramapo college of new jersey,14080,23214,public,5762,moderately difficult,0.53,7172,mahwah,NJ,Northeastern,NA
rutgers university newark,14085,30026,public,8170,moderately difficult,0.62,4693,newark,NJ,Northeastern,NA
penn state schuylkill,14398,22316,public,759,moderately difficult,0.76,631,schuylkill haven,PA,Northeastern,NA
penn state worthington scranton,14460,22378,public,1019,moderately difficult,0.8,739,dunmore,PA,Northeastern,NA
penn state hazleton,14460,22378,public,863,moderately difficult,0.82,731,hazleton,PA,Northeastern,NA
penn state brandywine,14460,22378,public,1379,moderately difficult,0.83,1238,media,PA,Northeastern,NA
penn state york,14460,22378,public,1060,moderately difficult,0.83,1196,york,PA,Northeastern,NA
penn state lehigh valley,14460,22378,public,868,moderately difficult,0.87,966,center valley,PA,Northeastern,NA
rutgers university camden,14501,29924,public,5021,moderately difficult,0.57,8725,camden,NJ,Northeastern,NA
penn state abington,14516,22558,public,3950,very difficult,0.82,3794,abington,PA,Northeastern,NA
vermont technical college,14690,27002,public,1625,moderately difficult,0.7,584,randolph center,VT,Northeastern,NA
university of new hampshire manchester,14850,29420,public,762,moderately difficult,0.73,205,manchester,NH,Northeastern,NA
cambridge college,14940,14940,private,1090,noncompetitive,0.64,107,cambridge,MA,Northeastern,NA
monroe college,14976,14976,private for profit,6137,moderately difficult,0.45,4146,bronx,NY,Northeastern,NA
penn state berks,15190,23692,public,2888,very difficult,0.87,2164,reading,PA,Northeastern,NA
penn state erie the behrend college,15190,23692,public,4420,very difficult,0.88,3853,erie,PA,Northeastern,NA
penn state altoona,15190,23692,public,3491,very difficult,0.89,5120,altoona,PA,Northeastern,NA
the college of new jersey,16149,27578,public,6787,very difficult,0.49,11825,ewing,NJ,Northeastern,NA
goddard college,16260,16260,private,194,minimally difficult,0.56,16,plainfield,VT,Northeastern,NA
pennsylvania college of technology,16350,23280,public,5432,noncompetitive,0.67,6366,williamsport,PA,Northeastern,NA
temple university,16658,28418,public,29275,moderately difficult,0.52,33139,philadelphia,PA,Northeastern,NA
davis college,16800,16800,private,216,minimally difficult,0.52,120,johnson city,NY,Northeastern,NA
new jersey institute of technology,16898,31918,public,8008,moderately difficult,0.61,6045,newark,NJ,Northeastern,NA
grove city college,17254,17254,private,2392,moderately difficult,0.82,1517,grove city,PA,Northeastern,NA
husson university,17561,17561,private,2834,moderately difficult,0.8,2460,bangor,ME,Northeastern,NA
york college,18760,18760,public,8258,moderately difficult,0.61,13726,jamaica,NY,Northeastern,NA
university of pittsburgh,19080,30642,public,19123,very difficult,0.55,29175,pittsburgh,PA,Northeastern,NA
metropolitan college of new york,19180,19180,private,697,moderately difficult,0.4,257,new york,NY,Northeastern,NA
five towns college,19380,19380,private for profit,654,moderately difficult,0.62,382,dix hills,NY,Northeastern,NA
york college of pennsylvania,19430,19430,private,4537,moderately difficult,0.43,13235,york,PA,Northeastern,NA
rosemont college,19480,19480,private,646,moderately difficult,0.69,1404,rosemont,PA,Northeastern,NA
touro college,19870,19870,private,6912,moderately difficult,0.34,2201,new york,NY,Northeastern,NA
st. charles borromeo seminary overbrook,20655,20655,private,98,moderately difficult,1,8,wynnewood,PA,Northeastern,NA
utica college,20676,20676,private,3550,moderately difficult,0.82,5419,utica,NY,Northeastern,NA
thomas more college of liberal arts,21000,21000,private,99,moderately difficult,0.7,100,merrimack,NH,Northeastern,NA
bryn athyn college,21071,21071,private,295,minimally difficult,0.42,439,bryn athyn,PA,Northeastern,NA
boston architectural college,21174,21174,private,472,noncompetitive,0.16,152,boston,MA,Northeastern,NA
valley forge university,21271,21271,private,810,minimally difficult,0.79,465,phoenixville,PA,Northeastern,NA
the jewish theological seminary,21740,21740,private,190,very difficult,0.6,124,new york,NY,Northeastern,NA
hilbert college,21800,21800,private,809,minimally difficult,0.81,968,hamburg,NY,Northeastern,NA
hellenic college,22490,22490,private,92,minimally difficult,0.65,68,brookline,MA,Northeastern,NA
baptist bible college & seminary,23170,23170,private,722,minimally difficult,0.38,424,south abington township,PA,Northeastern,NA
lancaster bible college,23400,23400,private,786,minimally difficult,0.57,192,lancaster,PA,Northeastern,NA
college of st. joseph,24000,24000,private,237,minimally difficult,0.69,146,rutland,VT,Northeastern,NA
waynesburg university,24010,24010,private,1400,moderately difficult,0.94,1478,waynesburg,PA,Northeastern,NA
wilson college,24452,24452,private,571,moderately difficult,0.53,450,chambersburg,PA,Northeastern,NA
vaughn college of aeronautics & technology,24710,24710,private,1540,moderately difficult,0.69,800,flushing,NY,Northeastern,NA
pennsylvania college of art & design,25000,25000,private,232,moderately difficult,0.45,419,lancaster,PA,Northeastern,NA
nyack college,25350,25350,private,1451,minimally difficult,1,455,nyack,NY,Northeastern,NA
southern vermont college,25675,25675,private,475,noncompetitive,0.63,499,bennington,VT,Northeastern,NA
d'youville college,25870,25870,private,1716,moderately difficult,0.83,927,buffalo,NY,Northeastern,NA
westminster college,25940,25940,private,1168,moderately difficult,0.91,2125,new wilmington,PA,Northeastern,NA
geneva college,26070,26070,private,1457,moderately difficult,0.71,1587,beaver falls,PA,Northeastern,NA
cairn university,26493,26493,private,744,moderately difficult,0.98,338,langhorne,PA,Northeastern,NA
st. joseph's college brooklyn campus,26544,26544,private,965,moderately difficult,0.62,1903,brooklyn,NY,Northeastern,NA
st. joseph's college long island campus,26554,26554,private,3075,moderately difficult,0.72,1770,patchogue,NY,Northeastern,NA
keystone college,26670,26670,private,1459,minimally difficult,0.92,981,la plume,PA,Northeastern,NA
immaculata university,27350,27350,private,1555,moderately difficult,0.82,1582,immaculata,PA,Northeastern,NA
paul smith's college,27621,27621,private,875,minimally difficult,0.73,1103,paul smiths,NY,Northeastern,NA
la roche college,27720,27720,private,1406,minimally difficult,0.92,1320,pittsburgh,PA,Northeastern,NA
daemen college,27990,27990,private,1993,moderately difficult,0.52,3219,amherst,NY,Northeastern,NA
unity college,28350,28350,private,709,moderately difficult,0.91,1011,unity,ME,Northeastern,NA
medaille college,28360,28360,private,1803,moderately difficult,0.54,1505,buffalo,NY,Northeastern,NA
dominican college,28448,28448,private,1478,noncompetitive,0.75,1751,orangeburg,NY,Northeastern,NA
carlow university,28596,28596,private,1408,minimally difficult,0.86,806,pittsburgh,PA,Northeastern,NA
new york school of interior design,29250,29250,private,381,moderately difficult,0.42,155,new york,NY,Northeastern,NA
bloomfield college,29300,29300,private,1947,moderately difficult,0.62,3623,bloomfield,NJ,Northeastern,NA
post university,29550,29550,private for profit,828,moderately difficult,0.47,1244,waterbury,CT,Northeastern,NA
mount st. mary college,29920,29920,private,2128,moderately difficult,0.9,3747,newburgh,NY,Northeastern,NA
neumann university,30050,30050,private,2278,minimally difficult,0.94,1486,aston,PA,Northeastern,NA
point park university,30130,30130,private,3276,moderately difficult,0.71,4073,pittsburgh,PA,Northeastern,NA
molloy college,30290,30290,private,3598,moderately difficult,0.77,4030,rockville centre,NY,Northeastern,NA
holy family university,30346,30346,private,1950,minimally difficult,0.68,1441,philadelphia,PA,Northeastern,NA
rivier university,30740,30740,private,1526,moderately difficult,0.1,1688,nashua,NH,Northeastern,NA
st. thomas aquinas college,30750,30750,private,1721,moderately difficult,0.79,1953,sparkill,NY,Northeastern,NA
thiel college,30830,30830,private,926,moderately difficult,0.61,2275,greenville,PA,Northeastern,NA
gannon university,30932,30932,private,3098,moderately difficult,0.78,4710,erie,PA,Northeastern,NA
roberts wesleyan college,30936,30936,private,1316,moderately difficult,0.65,1270,rochester,NY,Northeastern,NA
keuka college,30946,30946,private,1730,moderately difficult,0.94,1996,keuka park,NY,Northeastern,NA
southern new hampshire university,31136,31136,private,3020,moderately difficult,0.93,4207,manchester,NH,Northeastern,NA
johnson & wales university,31158,31158,private,8718,moderately difficult,0.82,11971,providence,RI,Northeastern,NA
pine manor college,31160,31160,private,447,moderately difficult,0.69,784,chestnut hill,MA,Northeastern,NA
