"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"university of arkansas monticello",7462,13312,"public",3802,"noncompetitive",0.46,2761,"monticello","AR"
"university of arkansas pine bluff",7212,13464,"public",2545,"",0.46,4452,"pine bluff","AR"
"armstrong state university",6430,19506,"public",6397,"",NA,NA,"savannah","GA"
"asbury university",29500,29500,"private",1624,"moderately difficult",0.7,1285,"wilmore","KY"
"barton college",29998,29998,"private",988,"minimally difficult",0.41,2828,"wilson","NC"
"baptist college of florida",11100,11100,"private",440,"noncompetitive",0.6,119,"graceville","FL"
"auburn university",10968,29640,"public",22658,"moderately difficult",0.81,18256,"auburn university","AL"
"auburn university montgomery",9910,21310,"public",4273,"moderately difficult",0.77,2905,"montgomery","AL"
"austin peay state university",8225,24221,"public",9513,"moderately difficult",0.89,6255,"clarksville","TN"
"averett university",33350,33350,"private",859,"moderately difficult",0.55,2238,"danville","VA"
"university of baltimore",8824,20704,"public",3526,"minimally difficult",0.6,806,"baltimore","MD"
"charleston southern university",24800,24800,"private",3206,"moderately difficult",0.61,4399,"charleston","SC"
"barry university",29700,29700,"private",3541,"moderately difficult",0.62,4982,"miami shores","FL"
"belhaven university",24250,24250,"private",2715,"moderately difficult",0.43,2474,"jackson","MS"
"bellarmine university",40350,40350,"private",2650,"moderately difficult",0.82,6212,"louisville","KY"
"belmont abbey college",18500,18500,"private",1524,"moderately difficult",NA,NA,"belmont","NC"
"belmont university",32820,32820,"private",6293,"moderately difficult",0.87,6765,"nashville","TN"
"benedict college",19958,19958,"private",2641,"minimally difficult",NA,NA,"columbia","SC"
"bennett college",18513,18513,"private",474,"minimally difficult",0.98,1488,"greensboro","NC"
"berea college",25760,25760,"private",1665,"moderately difficult",0.33,1744,"berea","KY"
"berry college",35176,35176,"private",2073,"moderately difficult",0.62,3477,"mount berry","GA"
"bethany college",28454,28454,"private",710,"moderately difficult",0.7,1168,"bethany","WV"
"bethany college",28454,28454,"private",665,"moderately difficult",0.59,1139,"lindsborg","KS"
"bethel university",16552,16552,"private",2965,"moderately difficult",0.82,1798,"st paul","MN"
"bethel university",16552,16552,"private",4239,"minimally difficult",0.62,1573,"mckenzie","TN"
"bethune-cookman university",14410,14410,"private",3796,"minimally difficult",0.53,13007,"daytona beach","FL"
"birmingham-southern college",35791,35791,"private",1231,"moderately difficult",0.65,1846,"birmingham","AL"
"blue mountain college",11760,11760,"private",544,"moderately difficult",0.48,386,"blue mountain","MS"
"bluefield college",24800,24800,"private",969,"",NA,NA,"bluefield","VA"
"bluefield state college",6728,13032,"public",1362,"noncompetitive",0.83,653,"bluefield","WV"
"lynn university",37510,37510,"private",2095,"moderately difficult",0.82,3514,"boca raton","FL"
"bowie state university",8064,18653,"public",4711,"minimally difficult",0.41,6720,"bowie","MD"
"brenau university",28510,28510,"private",1653,"moderately difficult",0.36,1975,"gainesville","GA"
"brescia university",21850,21850,"private",1272,"moderately difficult",0.47,4438,"owensboro","KY"
"bryan college",25600,25600,"private",1422,"moderately difficult",0.42,1041,"dayton","TN"
"new york school of interior design",29250,29250,"private",381,"moderately difficult",0.42,155,"new york","NY"
"university of new hampshire manchester",14850,29420,"public",762,"moderately difficult",0.73,205,"manchester","NH"
"southeastern baptist theological seminary",10500,10500,"private",414,"noncompetitive",0.76,46,"wake forest","NC"
"mt. sierra college",15688,15688,"private for profit",511,"moderately difficult",NA,NA,"monrovia","CA"
"culinary institute of america",31616,31616,"private",2774,"moderately difficult",0.94,1045,"hyde park","NY"
"paier college of art",17070,17070,"private for profit",128,"",NA,NA,"hamden","CT"
"schiller international university",NA,NA,"private for profit",191,"minimally difficult",NA,NA,"largo","FL"
"brevard college",28850,28850,"private",705,"minimally difficult",0.43,2858,"brevard","NC"
"florida college",17142,17142,"private",533,"moderately difficult",0.79,284,"temple terrace","FL"
"south university savannah",NA,NA,"private for profit",NA,"",NA,NA,"savannah","GA"
"charles r. drew university of medicine & science",17440,17440,"private",230,"moderately difficult",0.21,872,"los angeles","CA"
"florida gulf coast university",6171,25214,"public",13711,"moderately difficult",0.56,15152,"fort myers","FL"
"fairleigh dickinson university college florham",41780,41780,"private",2513,"moderately difficult",0.79,4179,"madison","NJ"
"coleman university",20725,20725,"private",477,"moderately difficult",1,12,"san diego","CA"
"university of advancing technology",23150,23150,"private for profit",1013,"",NA,NA,"tempe","AZ"
"university of the potomac",NA,NA,"private for profit",165,"noncompetitive",NA,NA,"washington","DC"
"platt college",NA,NA,"private for profit",134,"noncompetitive",NA,NA,"aurora","CO"
"art institute of california san diego",NA,NA,"private for profit",NA,"",NA,NA,"san diego","CA"
"laguna college of art + design",29800,29800,"private",567,"very difficult",0.39,472,"laguna beach","CA"
"columbia college hollywood",21789,21789,"private",359,"minimally difficult",0.57,196,"tarzana","CA"
"art institute of california san francisco",NA,NA,"private for profit",NA,"",NA,NA,"san francisco","CA"
"newschool of architecture & design",26463,26463,"private for profit",408,"moderately difficult",0.79,39,"san diego","CA"
"pacific states university",16005,16005,"private",19,"noncompetitive",NA,NA,"los angeles","CA"
"rocky mountain college of art & design",15870,15870,"private for profit",1079,"moderately difficult",NA,NA,"lakewood","CO"
"hodges university",17300,17300,"private",1487,"minimally difficult",NA,NA,"naples","FL"
"trinity college of florida",16640,16640,"private",202,"noncompetitive",0.71,75,"trinity","FL"
"illinois institute of art chicago",NA,NA,"private for profit",NA,"",NA,NA,"chicago","IL"
"st. john's college",22005,22005,"private",122,"moderately difficult",0.68,90,"springfield","IL"
"st. john's college",22005,22005,"private",326,"moderately difficult",0.63,298,"santa fe","NM"
"st. john's college",22005,22005,"private",434,"moderately difficult",0.53,612,"annapolis","MD"
"waldorf college",21674,21674,"private",2058,"moderately difficult",0.67,748,"forest city","IA"
"cambridge college",14940,14940,"private",1090,"noncompetitive",0.64,107,"cambridge","MA"
"newbury college",34470,34470,"private",862,"minimally difficult",0.7,3162,"brookline","MA"
"finlandia university",22758,22758,"private",545,"minimally difficult",0.67,646,"hancock","MI"
"thomas more college of liberal arts",21000,21000,"private",99,"moderately difficult",0.7,100,"merrimack","NH"
"st. gregory's university",22050,22050,"private",636,"minimally difficult",0.85,184,"shawnee","OK"
"utah valley university",5652,16066,"public",34706,"noncompetitive",1,10339,"orem","UT"
"vermont technical college",14690,27002,"public",1625,"moderately difficult",0.7,584,"randolph center","VT"
"northwest college of art & design",19075,19075,"private for profit",114,"",NA,NA,"poulsbo","WA"
"northwestern polytechnic university",10700,10700,"private",164,"",1,249,"fremont","CA"
"devry university new york",17512,17512,"private for profit",915,"minimally difficult",NA,NA,"new york","NY"
"sterling college",38038,38038,"private",119,"",NA,NA,"craftsbury common","VT"
"sterling college",38038,38038,"private",650,"minimally difficult",0.37,1033,"sterling","KS"
"penn state abington",14516,22558,"public",3950,"very difficult",0.82,3794,"abington","PA"
"international fine arts college",22105,22105,"private for profit",NA,"",NA,NA,"miami","FL"
"illinois institute of art schaumburg",NA,NA,"private for profit",NA,"",NA,NA,"schaumburg","IL"
"shasta bible college",13040,13040,"private",44,"noncompetitive",0.83,18,"redding","CA"
"beulah heights university",9830,9830,"private",454,"noncompetitive",NA,NA,"atlanta","GA"
"everest university",NA,NA,NA,3386,"minimally difficult",0.74,2225,"tampa","FL"
"devry university north brunswick",17512,17512,"private for profit",583,"minimally difficult",NA,NA,"north brunswick","NJ"
"art institute of pittsburgh",23376,23376,"private for profit",NA,"",NA,NA,"pittsburgh","PA"
"dixie state college",5080,14548,"public",8993,"noncompetitive",1,15486,"st george","UT"
"johnson & wales university",31508,31508,"private",8718,"moderately difficult",0.82,11971,"providence","RI"
"johnson & wales university",31508,31508,"private",1356,"moderately difficult",0.81,2319,"denver","CO"
"johnson & wales university",31508,31508,"private",1752,"moderately difficult",0.76,4049,"north miami","FL"
"penn state schuylkill",14398,22316,"public",759,"moderately difficult",0.76,631,"schuylkill haven","PA"
"penn state lehigh valley",14460,22378,"public",868,"moderately difficult",0.87,966,"center valley","PA"
"penn state berks",15190,23692,"public",2888,"very difficult",0.87,2164,"reading","PA"
"devry university orlando",17512,17512,"private for profit",534,"minimally difficult",NA,NA,"orlando","FL"
"penn state altoona",15190,23692,"public",3491,"very difficult",0.89,5120,"altoona","PA"
"peirce college",18660,18660,"private",1491,"noncompetitive",NA,NA,"philadelphia","PA"
"art institute of california orange county",NA,NA,"private for profit",NA,"",NA,NA,"santa ana","CA"
"art institute of washington",23328,23328,"private for profit",NA,"",NA,NA,"arlington","VA"
"mitchell college",32442,32442,"private",723,"minimally difficult",0.74,787,"new london","CT"
"stevens-henager college ogden",NA,NA,"private for profit",364,"noncompetitive",NA,NA,"west haven","UT"
"bethany lutheran college",26830,26830,"private",587,"moderately difficult",0.8,328,"mankato","MN"
"paul smith's college",27621,27621,"private",875,"minimally difficult",0.73,1103,"paul smiths","NY"
"university of arkansas fort smith",6935,15776,"public",6823,"minimally difficult",0.56,4001,"fort smith","AR"
"devry university crystal city",17512,17512,"private for profit",252,"minimally difficult",NA,NA,"arlington","VA"
"cabarrus college of health sciences",13416,13416,"private",443,"moderately difficult",1,28,"concord","NC"
"muhlenberg college",50830,50830,"private",2408,"very difficult",0.48,4862,"allentown","PA"
"california state university sacramento",7204,19084,"public",27876,"moderately difficult",0.72,23944,"sacramento","CA"
"nazareth college",34724,34724,"private",2159,"moderately difficult",0.72,4118,"rochester","NY"
"neumann university",30050,30050,"private",2278,"minimally difficult",0.94,1486,"aston","PA"
"bellevue university",9340,9340,"private",6828,"noncompetitive",NA,NA,"bellevue","NE"
"misericordia university",31660,31660,"private",2195,"moderately difficult",0.74,1823,"dallas","PA"
"new england college",36954,36954,"private",1756,"minimally difficult",0.99,4204,"henniker","NH"
"art center college of design",42008,42008,"private",1915,"very difficult",0.8,610,"pasadena","CA"
"augustana university",31960,31960,"private",1665,"moderately difficult",0.69,1464,"sioux falls","SD"
"colorado school of mines",18386,37436,"public",4612,"very difficult",0.4,12284,"golden","CO"
"university of california santa barbara",14409,42423,"public",21574,"very difficult",0.36,77098,"santa barbara","CA"
"chaminade university of honolulu",24114,24114,"private",1183,"moderately difficult",0.91,842,"honolulu","HI"
"university of alaska anchorage",7374,22764,"public",16463,"noncompetitive",0.8,3533,"anchorage","AK"
"concordia university nebraska",31000,31000,"private",1794,"moderately difficult",0.73,1396,"seward","NE"
"east central university",6719,15839,"public",3455,"minimally difficult",0.58,1423,"ada","OK"
"alaska pacific university",20830,20830,"private",294,"minimally difficult",0.55,474,"anchorage","AK"
"montana state university billings",5833,18598,"public",3972,"minimally difficult",1,1478,"billings","MT"
"eastern new mexico university",5918,11693,"public",4600,"noncompetitive",0.63,2217,"portales","NM"
"university of great falls",25050,25050,"private",881,"noncompetitive",0.76,805,"great falls","MT"
"eastern oregon university",8362,19682,"public",2873,"minimally difficult",0.97,1043,"la grande","OR"
"fort lewis college",8609,18761,"public",3556,"moderately difficult",0.92,4164,"durango","CO"
"jamestown college",21158,21158,"private",955,"minimally difficult",0.57,1560,"jamestown","ND"
"university of colorado colorado springs",10201,24181,"public",10414,"moderately difficult",0.93,9664,"colorado springs","CO"
"embry-riddle aeronautical university prescott",35916,35916,"private",2377,"moderately difficult",0.76,2130,"prescott","AZ"
"university of california davis",14382,42396,"public",29546,"very difficult",0.42,67472,"davis","CA"
"montana state university",7223,23927,"public",14400,"moderately difficult",0.83,15996,"bozeman","MT"
"hawaii pacific university",24500,24500,"private",3436,"moderately difficult",0.75,5452,"honolulu","HI"
"midland university",31630,31630,"private",827,"moderately difficult",0.88,920,"fremont","NE"
"california state university east bay",6834,18714,"public",13340,"moderately difficult",0.7,15670,"hayward","CA"
"university of mary hardin-baylor",27700,27700,"private",3278,"moderately difficult",0.79,8954,"belton","TX"
"california maritime academy",7060,18940,"public",1107,"moderately difficult",0.68,1217,"vallejo","CA"
"grand canyon university",17170,17170,"private for profit",NA,"moderately difficult",NA,NA,"phoenix","AZ"
"caldwell university",33900,33900,"private",1633,"moderately difficult",0.85,2831,"caldwell","NJ"
"abilene christian university",33330,33330,"private",3758,"moderately difficult",0.51,10252,"abilene","TX"
"creighton university",38750,38750,"private",4203,"moderately difficult",0.71,10352,"omaha","NE"
"chapman university",50594,50594,"private",6410,"very difficult",0.54,12821,"orange","CA"
"azusa pacific university",37506,37506,"private",5770,"moderately difficult",0.84,6605,"azusa","CA"
"humboldt state university",7494,19374,"public",7968,"moderately difficult",0.76,12967,"arcata","CA"
"bethany college",27472,27472,"private",710,"moderately difficult",0.7,1168,"bethany","WV"
"bethany college",27472,27472,"private",665,"moderately difficult",0.59,1139,"lindsborg","KS"
"texas a&m international university",8320,20704,"public",6591,"moderately difficult",0.54,6306,"laredo","TX"
"cal poly san luis obispo",9432,21312,"public",20426,"moderately difficult",0.29,48162,"san luis obispo","CA"
"newman university",29360,29360,"private",2535,"minimally difficult",0.58,1331,"wichita","KS"
"college of idaho",28755,28755,"private",962,"moderately difficult",0.85,975,"caldwell","ID"
"colorado college",52818,52818,"private",2101,"very difficult",0.16,7894,"colorado springs","CO"
"colorado technical university",NA,NA,"private for profit",1896,"minimally difficult",NA,NA,"colorado springs","CO"
"dakota wesleyan university",27000,27000,"private",759,"moderately difficult",0.73,659,"mitchell","SD"
"marylhurst university",20835,20835,"private",398,"noncompetitive",1,2,"marylhurst","OR"
"university of nevada reno",7538,21726,"public",18191,"moderately difficult",0.83,9644,"reno","NV"
"mount marty college",26310,26310,"private",1006,"minimally difficult",0.65,473,"yankton","SD"
"mcmurry university",26712,26712,"private",1073,"moderately difficult",0.48,1884,"abilene","TX"
"willamette university",48158,48158,"private",2002,"very difficult",0.78,6181,"salem","OR"
"austin college",38825,38825,"private",1278,"very difficult",0.53,3352,"sherman","TX"
"university of texas of the permian basin",7124,19574,"public",5663,"moderately difficult",0.81,1307,"odessa","TX"
"biola university",38448,38448,"private",4091,"moderately difficult",0.69,3941,"la mirada","CA"
"texas a&m university corpus christi",9269,21567,"public",10212,"moderately difficult",0.86,9002,"corpus christi","TX"
"chadron state college",7031,7061,"public",2199,"noncompetitive",NA,NA,"chadron","NE"
"western oregon university",9855,25638,"public",4833,"moderately difficult",0.88,2901,"monmouth","OR"
"montana tech of the university of montana",7139,21969,"public",2594,"moderately difficult",0.89,894,"butte","MT"
"union college",23070,23070,"private",2203,"very difficult",0.37,6648,"schenectady","NY"
"union college",23070,23070,"private",805,"moderately difficult",0.64,1811,"lincoln","NE"
"union college",23070,23070,"private",975,"moderately difficult",0.67,1344,"barbourville","KY"
"university of idaho",7488,23812,"public",9586,"moderately difficult",0.76,5953,"moscow","ID"
"menlo college",41350,41350,"private",777,"moderately difficult",0.41,2195,"atherton","CA"
"texas christian university",44760,44760,"private",8891,"very difficult",0.38,19972,"fort worth","TX"
"northwest christian university",28680,28680,"private",566,"minimally difficult",0.67,427,"eugene","OR"
"concordia university portland",30020,30020,"private",1369,"moderately difficult",0.54,1961,"portland","OR"
"whitworth university",42186,42186,"private",2308,"moderately difficult",0.89,3262,"spokane","WA"
"evergreen state college",7591,25051,"public",3787,"moderately difficult",0.97,1901,"olympia","WA"
"university of denver",48669,48669,"private",5754,"moderately difficult",0.53,20322,"denver","CO"
"regis university",34450,34450,"private",4070,"moderately difficult",0.57,6756,"denver","CO"
"rocky mountain college",27566,27566,"private",908,"moderately difficult",0.62,1545,"billings","MT"
"southeastern oklahoma state university",6750,15390,"public",3132,"moderately difficult",0.77,1107,"durant","OK"
"devry university phoenix",17512,17512,"private for profit",515,"minimally difficult",NA,NA,"phoenix","AZ"
"devry university pomona",17512,17512,"private for profit",784,"minimally difficult",NA,NA,"pomona","CA"
"westmont college",44044,44044,"private",1298,"moderately difficult",0.83,2001,"santa barbara","CA"
"united states air force academy",NA,NA,"public",4237,"most difficult",0.15,9894,"usaf academy","CO"
"devry university irving",17512,17512,"private for profit",403,"minimally difficult",NA,NA,"irving","TX"
"oklahoma christian university",21670,21670,"private",1974,"moderately difficult",0.61,2256,"oklahoma city","OK"
"houston baptist university",31730,31730,"private",2332,"moderately difficult",0.35,15256,"houston","TX"
"texas a&m university kingsville",8462,20912,"public",6811,"moderately difficult",0.82,7373,"kingsville","TX"
"university of alaska fairbanks",7518,22908,"public",7239,"minimally difficult",0.73,1557,"fairbanks","AK"
"california institute of technology",49908,49908,"private",979,"most difficult",0.08,6855,"pasadena","CA"
"university of utah",8824,28067,"public",23789,"moderately difficult",0.76,14308,"salt lake city","UT"
"university of north texas",10905,23355,"public",31209,"moderately difficult",0.72,16826,"denton","TX"
"san francisco conservatory of music",44810,44810,"private",188,"",NA,NA,"san francisco","CA"
"university of hawaii west oahu",7440,20400,"public",2692,"moderately difficult",0.7,892,"kapolei","HI"
"valley city state university",7406,16579,"public",1295,"noncompetitive",0.98,372,"valley city","ND"
"academy of art university",26490,26490,"private for profit",8303,"noncompetitive",1,2761,"san francisco","CA"
"holy names university",38188,38188,"private",526,"moderately difficult",0.49,972,"oakland","CA"
"university of wyoming",5217,16827,"public",10045,"moderately difficult",0.96,4657,"laramie","WY"
"washington state university",10078,24504,"public",17716,"moderately difficult",0.73,21410,"pullman","WA"
"claremont mckenna college",52825,52825,"private",1347,"most difficult",0.09,6342,"claremont","CA"
"oregon institute of technology",9541,26831,"public",3881,"moderately difficult",0.93,713,"klamath falls","OR"
"prescott college",30501,30501,"private",356,"moderately difficult",0.8,167,"prescott","AZ"
"weber state university",5712,15260,"public",26112,"noncompetitive",1,6199,"ogden","UT"
"alliant international university",17640,17640,"private",163,"minimally difficult",NA,NA,"san diego","CA"
"university of sioux falls",27980,27980,"private",1243,"moderately difficult",0.97,645,"sioux falls","SD"
"fort hays state university",5008,14831,"public",11831,"",NA,NA,"hays","KS"
"bethel college",27920,27920,"private",1388,"minimally difficult",0.98,1168,"mishawaka","IN"
"bethel college",27920,27920,"private",460,"moderately difficult",0.56,770,"north newton","KS"
"st. edward's university",43300,43300,"private",4056,"moderately difficult",0.74,6046,"austin","TX"
"simpson university",27700,27700,"private",790,"moderately difficult",0.52,627,"redding","CA"
"linfield college",41612,41612,"private",1632,"moderately difficult",0.81,2296,"mcminnville","OR"
"otis college of art & design",43270,43270,"private",1032,"moderately difficult",0.46,1584,"los angeles","CA"
"national american university rapid city",17175,17175,"private for profit",481,"noncompetitive",NA,NA,"rapid city","SD"
"western state colorado university",9802,21274,"public",2495,"moderately difficult",0.92,2191,"gunnison","CO"
"university of california irvine",15516,43530,"public",27331,"very difficult",0.41,77810,"irvine","CA"
"rice university",45608,45608,"private",3893,"most difficult",0.15,18236,"houston","TX"
"gonzaga university",41330,41330,"private",5160,"moderately difficult",0.67,7324,"spokane","WA"
"university of nevada las vegas",7430,21618,"public",24714,"moderately difficult",0.83,8533,"las vegas","NV"
"cogswell polytechnical college",19648,19648,"private for profit",656,"moderately difficult",0.83,281,"san jose","CA"
"university of north dakota",8447,20324,"public",11255,"minimally difficult",0.84,5144,"grand forks","ND"
"thomas aquinas college",24500,24500,"private",389,"very difficult",0.74,193,"santa paula","CA"
"american jewish university",30938,30938,"private",112,"minimally difficult",0.61,41,"bel air","CA"
"university of science & arts of oklahoma",7200,17550,"public",888,"moderately difficult",0.66,706,"chickasha","OK"
"university of texas arlington",9952,25152,"public",29883,"moderately difficult",0.61,10245,"arlington","TX"
"texas lutheran university",29960,29960,"private",1283,"",NA,NA,"seguin","TX"
"whitman college",49780,49780,"private",1493,"very difficult",0.51,3749,"walla walla","WA"
"university of arizona",11877,35307,"public",34072,"moderately difficult",0.79,36166,"tucson","AZ"
"southern california institute of architecture",43800,43800,"private",255,"moderately difficult",0.73,214,"los angeles","CA"
"kansas state university",10135,25492,"public",19472,"minimally difficult",0.94,9018,"manhattan","KS"
"university of st. mary",27720,27720,"private",837,"moderately difficult",0.49,888,"leavenworth","KS"
"university of la verne",41450,41450,"private",2809,"moderately difficult",0.48,8072,"la verne","CA"
"colorado state university",11519,29027,"public",25688,"moderately difficult",0.78,21759,"fort collins","CO"
"university of oklahoma",11538,26919,"public",21609,"moderately difficult",0.7,14522,"norman","OK"
"university of tulsa",41459,41459,"private",3406,"very difficult",0.37,8089,"tulsa","OK"
"north dakota state university",8546,20572,"public",12010,"moderately difficult",0.93,5128,"fargo","ND"
"oklahoma city university",30726,30726,"private",1764,"",NA,NA,"oklahoma city","OK"
"point loma nazarene university",34600,34600,"private",3053,"moderately difficult",0.69,3162,"san diego","CA"
"loyola marymount university",46386,46386,"private",6261,"",NA,NA,"los angeles","CA"
"trinity university",41344,41344,"private",2334,"very difficult",0.27,7255,"san antonio","TX"
"university of oregon",11571,34611,"public",20047,"moderately difficult",0.78,21821,"eugene","OR"
"pacific university",42594,42594,"private",1924,"moderately difficult",0.79,3004,"forest grove","OR"
"walla walla university",27495,27495,"private",1700,"moderately difficult",NA,NA,"college place","WA"
"university of houston",11104,26554,"public",35871,"moderately difficult",0.59,19860,"houston","TX"
"texas a&m university",10403,37154,"public",50735,"moderately difficult",0.66,35494,"college station","TX"
"patten university",3432,3432,"private",994,"noncompetitive",NA,NA,"oakland","CA"
"new mexico highlands university",5954,9288,"public",2181,"minimally difficult",1,1158,"las vegas","NM"
"university of portland",44026,44026,"private",3770,"moderately difficult",0.62,11202,"portland","OR"
"pittsburg state university",7100,18152,"public",5905,"minimally difficult",0.87,2503,"pittsburg","KS"
"university of washington",10974,35538,"public",30933,"very difficult",0.45,43517,"seattle","WA"
"reed college",54200,54200,"private",1410,"very difficult",0.31,5705,"portland","OR"
"southwestern adventist university",20732,20732,"private",789,"moderately difficult",0.5,1551,"keene","TX"
"st. mary's university",29300,29300,"private",2309,"moderately difficult",0.55,5832,"san antonio","TX"
"san jose state university",7721,18881,"public",26822,"very difficult",0.55,30583,"san jose","CA"
"sierra nevada college",32639,32639,"private",479,"moderately difficult",0.51,851,"incline village","NV"
"scripps college",52966,52966,"private",1039,"very difficult",0.3,3032,"claremont","CA"
"university of montana",7063,24871,"public",10778,"moderately difficult",0.84,2401,"missoula","MT"
"seattle university",42885,42885,"private",4776,"moderately difficult",0.74,8149,"seattle","WA"
"southwestern oklahoma state university",6705,13605,"public",4510,"minimally difficult",0.91,3131,"weatherford","OK"
"south dakota state university",8441,11689,"public",10959,"minimally difficult",0.91,5173,"brookings","SD"
"san francisco state university",7254,19134,"public",25945,"moderately difficult",0.68,36223,"san francisco","CA"
"santa clara university",49858,49858,"private",5438,"very difficult",0.48,15834,"santa clara","CA"
"wayland baptist university",19430,19430,"private",3776,"minimally difficult",1,651,"plainview","TX"
"southern nazarene university",25188,25188,"private",1647,"noncompetitive",0.33,979,"bethany","OK"
"sul ross state university",8071,20521,"public",1359,"noncompetitive",0.8,1143,"alpine","TX"
"southern oregon university",9286,24630,"public",5314,"moderately difficult",0.78,2766,"ashland","OR"
"stanford university",49617,49617,"private",7034,"most difficult",0.05,43997,"stanford","CA"
"stephen f. austin state university",9537,21987,"public",11140,"moderately difficult",0.62,11382,"nacogdoches","TX"
"university of the southwest",16000,16000,"private",450,"moderately difficult",0.66,263,"hobbs","NM"
"texas state university",10621,23071,"public",34244,"moderately difficult",0.71,21524,"san marcos","TX"
"southwestern university",40560,40560,"private",1486,"very difficult",0.45,3773,"georgetown","TX"
"fashion institute of technology",5483,14863,"public",9096,"moderately difficult",0.4,4632,"new york","NY"
"cornell university",52853,52853,"private",14566,"most difficult",0.14,44965,"ithaca","NY"
"university of texas austin",10136,35766,"public",40168,"moderately difficult",0.4,47501,"austin","TX"
"brooklyn college",7040,17910,"public",14406,"moderately difficult",0.37,20608,"brooklyn","NY"
"college of saint mary",19950,19950,"private",760,"minimally difficult",0.53,333,"omaha","NE"
"york college",6957,17827,"public",8258,"moderately difficult",0.61,13726,"jamaica","NY"
"york college",6957,17827,"private",430,"moderately difficult",0.6,485,"york","NE"
"east stroudsburg university of pennsylvania",10288,21526,"public",6159,"moderately difficult",0.73,7449,"east stroudsburg","PA"
"gettysburg college",52640,52640,"private",2384,"most difficult",0.43,6816,"gettysburg","PA"
"lehigh university",50740,50740,"private",5080,"most difficult",0.26,13403,"bethlehem","PA"
"hartwick college",44534,44534,"private",1396,"moderately difficult",0.94,3085,"oneonta","NY"
"gwynedd-mercy college",35520,35520,"private",2035,"moderately difficult",0.91,904,"gwynedd valley","PA"
"college of the holy cross",50630,50630,"private",2941,"very difficult",0.38,6693,"worcester","MA"
"king's college",35830,35830,"private",2082,"moderately difficult",0.71,3852,"wilkes barre","PA"
"lafayette college",50850,50850,"private",2550,"",NA,NA,"easton","PA"
"elizabethtown college",45350,45350,"private",1737,"moderately difficult",0.73,2904,"elizabethtown","PA"
"lancaster bible college",23400,23400,"private",786,"minimally difficult",0.57,192,"lancaster","PA"
"sonoma state university",7724,19604,"public",8606,"moderately difficult",0.76,16487,"rohnert park","CA"
"dominican university",32530,32530,"private",2306,"moderately difficult",0.64,4568,"river forest","IL"
"governors state university",10516,18676,"public",3517,"moderately difficult",0.42,1176,"university park","IL"
"indiana wesleyan university",25980,25980,"private",2933,"moderately difficult",0.96,2444,"marion","IN"
"illinois state university",14061,25168,"public",18643,"moderately difficult",0.89,12078,"normal","IL"
"erskine college",34560,34560,"private",622,"moderately difficult",0.64,991,"due west","SC"
"iowa wesleyan college",30000,30000,"private",473,"moderately difficult",0.41,1696,"mount pleasant","IA"
"loyola university chicago",43078,43078,"private",11129,"moderately difficult",0.73,22712,"chicago","IL"
"kenyon college",53560,53560,"private",1708,"most difficult",0.29,5927,"gambier","OH"
"roosevelt university",28963,28963,"private",3239,"moderately difficult",0.72,3303,"chicago","IL"
"john carroll university",39790,39790,"private",3026,"moderately difficult",0.83,3857,"university heights","OH"
"crown college",25430,25430,"private",1088,"minimally difficult",0.56,838,"st bonifacius","MN"
"knox college",44958,44958,"private",1357,"very difficult",0.65,3514,"galesburg","IL"
"indiana university bloomington",10533,34845,"public",39184,"moderately difficult",0.79,34646,"bloomington","IN"
"ripon college",41835,41835,"private",793,"moderately difficult",0.65,2553,"ripon","WI"
"florida state university",6507,21673,"public",32929,"very difficult",0.58,29027,"tallahassee","FL"
"university of michigan dearborn",12472,24706,"public",7141,"moderately difficult",0.65,5328,"dearborn","MI"
"missouri university of science & technology",9839,27701,"public",6909,"very difficult",0.79,4166,"rolla","MO"
"northern illinois university",12262,21727,"public",14079,"moderately difficult",0.52,14980,"de kalb","IL"
"university of the pacific",46346,46346,"private",3483,"moderately difficult",0.66,8870,"stockton","CA"
"colorado christian university",30370,30370,"private",1306,"moderately difficult",0.63,1917,"lakewood","CO"
"florida international university",6558,18956,"public",45813,"moderately difficult",0.49,17218,"miami","FL"
"cameron university",6180,15510,"public",4444,"noncompetitive",1,1102,"lawton","OK"
"william carey university",12300,12300,"private",2090,"moderately difficult",0.93,465,"hattiesburg","MS"
"mcdaniel college",41800,41800,"private",1559,"moderately difficult",0.79,2385,"westminster","MD"
"fontbonne university",25460,25460,"private",1099,"moderately difficult",0.97,494,"st louis","MO"
"wheeling jesuit university",28110,28110,"private",945,"moderately difficult",0.93,1020,"wheeling","WV"
"university of missouri kansas city",9763,24490,"public",11708,"moderately difficult",0.62,5138,"kansas city","MO"
"saint mary-of-the-woods college",29510,29510,"private",690,"minimally difficult",0.73,367,"saint mary of the woods","IN"
"cornerstone university",27520,27520,"private",1856,"minimally difficult",0.63,2892,"grand rapids","MI"
"eastern university",32315,32315,"private",2082,"moderately difficult",0.61,1992,"st davids","PA"
"georgian court university",32260,32260,"private",1591,"moderately difficult",0.78,526,"lakewood","NJ"
"new york city college of technology",6931,17801,"public",17282,"noncompetitive",0.75,16846,"brooklyn","NY"
"hunter college",6980,17850,"public",16723,"moderately difficult",0.39,28510,"new york","NY"
"monmouth college",36400,36400,"private",1147,"moderately difficult",0.52,3248,"monmouth","IL"
