"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"suffolk university",37510,37510,"private",5290,"moderately difficult",0.84,8624,"boston","MA"
"philadelphia university",39130,39130,"private",2906,"moderately difficult",0.64,4129,"philadelphia","PA"
"university albany",9550,24430,"public",12908,"very difficult",0.56,22337,"albany","NY"
"pine manor college",31160,31160,"private",447,"moderately difficult",0.69,784,"chestnut hill","MA"
"rider university",41310,41310,"private",4128,"moderately difficult",0.69,9851,"lawrenceville","NJ"
"binghamton university",9523,24403,"public",13632,"very difficult",0.41,32139,"binghamton","NY"
"university buffalo",9828,27338,"public",20411,"moderately difficult",0.59,26001,"buffalo","NY"
"university of pittsburgh",19080,30642,"public",19123,"very difficult",0.55,29175,"pittsburgh","PA"
"stony brook university",9257,26767,"public",17026,"very difficult",0.41,34999,"stony brook","NY"
"college brockport",7948,17798,"public",7128,"moderately difficult",0.55,9211,"brockport","NY"
"rivier university",30740,30740,"private",1526,"moderately difficult",0.1,1688,"nashua","NH"
"university of pittsburgh bradford",13900,25144,"public",1476,"minimally difficult",0.53,2955,"bradford","PA"
"buffalo state college",7976,17626,"public",8482,"moderately difficult",0.64,13726,"buffalo","NY"
"university of pittsburgh johnstown",13876,25120,"public",2769,"moderately difficult",0.88,1613,"johnstown","PA"
"state university of new york cortland",8300,17950,"public",6304,"moderately difficult",0.52,10875,"cortland","NY"
"robert morris university",29420,29420,"private",4384,"minimally difficult",0.8,7164,"moon township","PA"
"robert morris university",29420,29420,"private",2352,"minimally difficult",0.23,2732,"chicago","IL"
"state university of new york of environmental science & forestry",8543,18193,"public",2271,"very difficult",0.54,1651,"syracuse","NY"
"state university of new york fredonia",8286,17936,"public",4386,"moderately difficult",0.62,5381,"fredonia","NY"
"plymouth state university",13770,22230,"public",4125,"moderately difficult",0.79,6864,"plymouth","NH"
"roberts wesleyan college",30936,30936,"private",1316,"moderately difficult",0.65,1270,"rochester","NY"
"state university of new york geneseo",8408,18058,"public",5431,"moderately difficult",0.67,8892,"geneseo","NY"
"point park university",30130,30130,"private",3276,"moderately difficult",0.71,4073,"pittsburgh","PA"
"state university of new york new paltz",7775,17625,"public",6717,"very difficult",0.43,14042,"new paltz","NY"
"college old westbury",7883,17533,"public",4242,"moderately difficult",0.69,3545,"old westbury","NY"
"state university of new york oneonta",8166,17816,"public",5852,"very difficult",0.43,12338,"oneonta","NY"
"maine college of art",34000,34000,"private",369,"",NA,NA,"portland","ME"
"state university of new york oswego",8191,17841,"public",7150,"moderately difficult",0.54,10715,"oswego","NY"
"post university",29550,29550,"private for profit",828,"moderately difficult",0.47,1244,"waterbury","CT"
"state university of new york plattsburgh",7950,17800,"public",5215,"moderately difficult",0.51,9404,"plattsburgh","NY"
"rochester institute of technology",40068,40068,"private",13384,"moderately difficult",0.55,19824,"rochester","NY"
"pratt institute",50038,50038,"private",3310,"very difficult",0.52,5711,"brooklyn","NY"
"state university of new york potsdam",8220,17870,"public",3416,"moderately difficult",0.72,5454,"potsdam","NY"
"princeton university",47140,47140,"private",5400,"most difficult",0.07,29303,"princeton","NJ"
"purchase college",8498,18148,"public",4121,"moderately difficult",0.44,6762,"purchase","NY"
"providence college",48760,48760,"private",4270,"",NA,NA,"providence","RI"
"state university of new york institute of technology",7998,17648,"public",2012,"moderately difficult",0.66,2428,"utica","NY"
"quinnipiac university",46780,46780,"private",7099,"moderately difficult",0.76,23492,"hamden","CT"
"bard college",54496,54496,"private",1995,"moderately difficult",0.56,5181,"annandale on hudson","NY"
"university of rochester",52020,52020,"private",6345,"very difficult",0.35,17484,"rochester","NY"
"state university of new york maritime college",8074,17724,"public",1635,"very difficult",0.58,1449,"throggs neck","NY"
